"Table 13-4. Median annual salaries of employed U.S. scientists and engineers with a doctorate as the highest degree, by field of highest degree, sex, ethnicity, and race: 2013",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Level and field of highest degree             ,  ,,Sex,,,,,,Not Hispanic or Latinob,,,,,,,,,
,Employed scientists and engineers,,Male,,Female,,Hispanic or Latinoa,,American Indian or Alaska Native,,Asian,,Black or African American,,White,,Other racec,
               Aerospace/ related engineering,"119,000","1,500","119,000","1,500",*,*,*,*,D,D,"114,000","7,500",*,*,"125,000","10,000",D,D
               Chemical engineering,"115,000","7,000","120,000","5,500","94,000","6,000","115,000","9,500",D,D,"109,000","7,500",*,*,"120,000","5,500",*,*
               Civil/ architectural engineering,"100,000","4,500","103,000","3,500","78,000","6,500","93,000","16,000",D,D,"98,000","8,500",*,*,"106,000","6,000",D,D
               Electrical/ computer engineering,"125,000","2,000","125,000","4,500","116,000","9,000","106,000","9,500",D,D,"120,000","2,000","102,000","1,000","135,000","3,000",*,*
               Industrial engineering,"104,000","7,000","104,000","8,000","102,000","6,000",S,S,D,D,"116,000","5,500",*,*,"99,000","4,500",D,D
               Mechanical engineering,"102,000","3,500","104,000","4,000","82,000","12,000","106,000","1,000",D,D,"99,000","3,000",S,S,"110,000","3,000",*,*
               Other engineering,"104,000","2,500","108,000","2,500","91,000","4,500","96,000","6,000",D,D,"100,000","1,500","88,000","4,000","108,000","4,000",*,*
     S&E-related field,"86,000","5,500","100,000","12,000","79,000","6,500",S,S,S,S,"82,000","19,500","74,000","7,500","90,000","6,500","83,000","11,500"
          Health,"89,000","5,500","109,000","19,500","80,000","6,000",S,S,S,S,"87,000","13,500","86,000","5,500","92,000","7,500","83,000","11,500"
          Science/ mathematics teacher education,"64,000","8,500",S,S,"72,000","11,000",D,D,D,D,S,S,S,S,"63,000","10,000",D,D
          Technology/ technical fields,"100,000","18,000","99,000","12,500",D,D,D,D,D,D,D,D,D,D,"98,000","12,500",D,D
          Other S&E-related fields,"48,000","14,000","45,000","14,000",D,D,D,D,D,D,D,D,D,D,D,D,D,D
     Non-S&E field,"75,000","5,000","77,000","3,500","66,000","6,000","64,000","9,000",D,D,"75,000","5,000","80,000","6,000","75,000","4,000",S,S
          Art/ humanities fields,"63,000","4,000","65,000","6,000","62,000","4,500","31,000","8,000",D,D,D,D,D,D,"65,000","5,000",D,D
"          Education, except science/ math teacher education","76,000","2,500","78,000","5,500","68,000","12,500","72,000","3,500",D,D,"73,000","15,000","79,000","5,500","78,000","4,500",S,S
          Management/ administration,"101,000","8,000","102,000","5,500",S,S,S,S,D,D,"96,000","15,000",*,*,"103,000","10,000",D,D
          Sales/ marketing,"74,000","36,500",S,S,S,S,D,D,D,D,D,D,D,D,S,S,D,D
          Social service/ related,"68,000","7,500","70,000","5,500","58,000","10,500",D,D,D,D,"51,000","10,500","66,000","13,500","69,000","5,500",D,D
          Other non-S&E field,"77,000","13,500","72,000","19,500","82,000","15,000","56,000","5,500",D,D,"60,000","9,000",D,D,"72,000","18,500",D,D
,,,,,,,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
a Hispanic or Latino may be of any race.,,,,,,,,,,,,,,,,,,
"b American Indian or Alaska Native, Asian, black or African American, and white are single race.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
c Other race includes Native Hawaiian or Other Pacific Islander and persons reporting more than one race who are not of Hispanic or Latino ethnicity.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"NOTES: Salaries are for principal job and rounded to the nearest $1,000. Standard errors for salaries are rounded up to the nearest $500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification. The doctorate estimates are from the Scientists and Engineers Statistical Data System (SESTAT), which represents the total U.S. college educated population. This is in contrast to the doctorate estimates from the Survey of Doctorate Recipients, which represent the population of U.S. doctorate degree recipients.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
