"Table 14-2. Median annual salaries of employed U.S. scientists and engineers with a bachelor's as the highest degree, by occupation, citizenship status, and employment sector: 2013",,,,,,,,,,
,,,,,,,,,,
"Level of highest degree, occupation, and citizenship status             ",,,Sector of employment,,,,,,,
,Employed scientists and engineers,,Business/ industry,,4-year college/ university,,Other educational institution,,Government,
                         Naturalized,"89,000","2,000","75,000","9,000",D,D,D,D,"90,000","4,500"
                    Non-U.S. citizen,"56,000","11,500","62,000","8,000",D,D,D,D,D,D
                         Permanent resident,"64,000","3,000","64,000","4,000",D,D,D,D,D,D
                         Temporary resident,"28,000","4,500",D,D,D,D,D,D,D,D
               Electrical/ computer hardware engineers,"91,000","2,500","93,000","3,000",S,S,S,S,"90,000","5,000"
                    U.S. citizen,"90,000","2,000","91,000","4,000",S,S,D,D,"90,000","5,000"
                         Native-born,"90,000","2,500","92,000","4,000",S,S,D,D,"90,000","8,000"
                         Naturalized,"88,000","4,500","87,000","6,000",D,D,D,D,"90,000","3,000"
                    Non-U.S. citizen,"100,000","9,000","104,000","9,000",*,*,D,D,D,D
                         Permanent resident,"104,000","8,000","104,000","8,500",D,D,D,D,D,D
                         Temporary resident,"93,000","4,000","94,000","5,000",*,*,D,D,D,D
               Industrial engineers,"76,000","4,000","76,000","3,000",D,D,D,D,S,S
                    U.S. citizen,"76,000","4,000","76,000","3,500",D,D,D,D,S,S
                         Native-born,"75,000","3,500","75,000","4,000",D,D,D,D,S,S
                         Naturalized,"79,000","1,500","79,000","1,500",D,D,D,D,D,D
                    Non-U.S. citizen,"71,000","5,500","71,000","5,500",D,D,D,D,D,D
                         Permanent resident,S,S,S,S,D,D,D,D,D,D
                         Temporary resident,S,S,S,S,D,D,D,D,D,D
               Mechanical engineers,"82,000","3,000","82,000","2,500","22,000","1,500",D,D,"84,000","7,500"
                    U.S. citizen,"82,000","2,500","82,000","2,500","21,000","2,000",D,D,"84,000","7,500"
                         Native-born,"82,000","2,500","82,000","3,000","22,000","3,500",D,D,"85,000","8,000"
                         Naturalized,"80,000","3,000","80,000","5,000",D,D,D,D,"71,000","30,000"
                    Non-U.S. citizen,"60,000","13,000","70,000","12,500",D,D,D,D,D,D
                         Permanent resident,"82,000","11,500","82,000","11,500",D,D,D,D,D,D
                         Temporary resident,"57,000","2,500","58,000","8,000",D,D,D,D,D,D
               Postsecondary teachers - engineering,"23,000","4,000",D,D,"22,000","11,000",D,D,D,D
                    U.S. citizen,"25,000","4,500",D,D,"24,000","4,500",D,D,D,D
                         Native-born,"25,000","5,000",D,D,"24,000","3,000",D,D,D,D
                         Naturalized,D,D,D,D,D,D,D,D,D,D
                    Non-U.S. citizen,S,S,D,D,S,S,D,D,D,D
                         Permanent resident,D,D,D,D,D,D,D,D,D,D
                         Temporary resident,S,S,D,D,S,S,D,D,D,D
               Other engineers,"90,000","3,500","90,000","1,000","25,000","1,000",D,D,"82,000","5,000"
                    U.S. citizen,"90,000","2,500","90,000","1,500","25,000","1,000",D,D,"82,000","5,000"
                         Native-born,"90,000","2,000","90,000","3,000","24,000","2,000",D,D,"83,000","4,000"
                         Naturalized,"84,000","7,500","87,000","2,000",D,D,D,D,D,D
                    Non-U.S. citizen,"75,000","6,000","78,000","13,000","22,000","2,000",D,D,D,D
                         Permanent resident,"103,000","41,000","104,000","38,000",D,D,D,D,D,D
                         Temporary resident,"45,000","6,000","45,000","10,500",D,D,D,D,D,D
     S&E-related occupations,"58,000","2,000","60,000",500,"55,000","4,000","42,000","1,000","59,000","2,000"
          U.S. citizen,"57,000","2,000","60,000",500,"57,000","5,000","42,000","1,000","59,000","2,500"
               Native-born,"56,000","1,000","60,000",500,"53,000","4,500","42,000","1,500","58,000","1,500"
               Naturalized,"60,000","2,000","60,000","2,500","74,000",500,S,S,"68,000","3,500"
          Non-U.S. citizen,"64,000","5,000","69,000","3,000","24,000","3,500","44,000","2,000","55,000","19,500"
               Permanent resident,"59,000","1,500","60,000","3,000",S,S,"44,000","1,000","46,000","20,000"
               Temporary resident,"81,000","6,000","85,000","1,500","20,000","1,000",S,S,D,D
          Health and related,"53,000","2,000","53,000","2,500","57,000","5,000","47,000","1,000","51,000","4,500"
               U.S. citizen,"52,000","1,500","52,000","2,000","57,000","5,000","47,000",500,"51,000","4,000"
                    Native-born,"51,000","2,500","52,000","1,500","53,000","4,500","47,000","1,000","50,000","2,500"
                    Naturalized,"59,000","3,000","56,000","6,000","74,000",500,D,D,"64,000","12,500"
               Non-U.S. citizen,"59,000","2,000","59,000","3,000",S,S,D,D,D,D
                    Permanent resident,"58,000","3,500","58,000","3,500",S,S,D,D,D,D
                    Temporary resident,"83,000","2,500","84,000","2,500",D,D,D,D,D,D
          S&E manager,"104,000","3,500","109,000","2,000","94,000","25,500",D,D,"85,000","3,000"
               U.S. citizen,"104,000","3,500","110,000","2,000","94,000","25,500",D,D,"85,000","3,000"
                    Native-born,"104,000","3,500","109,000","2,000","80,000","24,500",D,D,"85,000","2,000"
                    Naturalized,"105,000","15,500","110,000","20,500",D,D,D,D,"93,000","2,000"
               Non-U.S. citizen,"101,000","15,500","102,000","16,500",D,D,D,D,D,D
                    Permanent resident,"123,000","9,000","123,000","8,500",D,D,D,D,D,D
                    Temporary resident,"83,000","12,000","83,000","12,000",D,D,D,D,D,D
          S&E precollege teacher,"41,000","2,000",D,D,D,D,"41,000","2,000",D,D
               U.S. citizen,"40,000","2,500",D,D,D,D,"40,000","2,500",D,D
                    Native-born,"41,000","2,000",D,D,D,D,"41,000","2,000",D,D
                    Naturalized,S,S,D,D,D,D,S,S,D,D
               Non-U.S. citizen,S,S,D,D,D,D,S,S,D,D
                    Permanent resident,S,S,D,D,D,D,S,S,D,D
                    Temporary resident,S,S,D,D,D,D,S,S,D,D
          S&E technician/ technologist,"65,000","2,000","70,000","2,500","37,000","2,000",S,S,"59,000","4,500"
               U.S. citizen,"65,000","1,500","68,000","4,000","39,000","2,000",D,D,"59,000","5,000"
                    Native-born,"65,000","2,500","70,000","2,000","39,000","2,000",D,D,"58,000","3,000"
                    Naturalized,"63,000","5,000","60,000","7,000","46,000","4,000",D,D,"68,000","3,000"
               Non-U.S. citizen,"71,000","14,000","76,000","4,500","20,000","2,000",D,D,D,D
                    Permanent resident,"62,000","9,500","73,000","18,000",S,S,D,D,D,D
                    Temporary resident,"73,000","8,000","77,000","3,000","20,000",500,D,D,D,D
          Other S&E-related,"69,000","6,500","65,000","10,500",D,D,S,S,"70,000","19,500"
               U.S. citizen,"70,000","6,500","68,000","10,000",D,D,D,D,"70,000","19,500"
                    Native-born,"70,000","7,000","66,000","10,500",D,D,D,D,"73,000","21,500"
                    Naturalized,"66,000","20,000","70,000","22,000",D,D,D,D,D,D
               Non-U.S. citizen,"63,000","30,000","63,000","24,000",D,D,D,D,D,D
                    Permanent resident,"63,000","18,500",D,D,D,D,D,D,D,D
                    Temporary resident,D,D,S,S,D,D,D,D,D,D
     Non-S&E occupations,"48,000",500,"50,000","1,500","35,000","2,500","33,000","3,000","54,000","2,500"
          U.S. citizen,"48,000","1,000","50,000",500,"35,000","3,000","34,000","3,000","55,000","2,000"
               Native-born,"49,000","2,000","50,000",500,"36,000","3,000","35,000","2,000","55,000","2,500"
               Naturalized,"42,000","2,500","42,000","3,500","32,000","13,000","22,000","1,000","55,000","2,500"
          Non-U.S. citizen,"31,000","4,000","34,000","5,500","15,000","6,000","21,000","3,000",S,S
               Permanent resident,"30,000","2,500","30,000","1,000","36,000","10,500","22,000","3,000",S,S
               Temporary resident,"48,000","2,500","49,000","6,000","10,000","3,000",S,S,D,D
          Arts/ humanities/ related,"35,000","5,000","35,000","6,500","23,000","10,000",D,D,"56,000","20,500"
               U.S. citizen,"35,000","5,000","35,000","6,500","23,000","10,000",D,D,"56,000","20,500"
                    Native-born,"38,000","6,000","39,000","6,000","20,000","8,500",D,D,"56,000","20,500"
                    Naturalized,S,S,"18,000","8,000",D,D,D,D,D,D
               Non-U.S. citizen,S,S,S,S,D,D,D,D,D,D
                    Permanent resident,D,D,D,D,D,D,D,D,D,D
                    Temporary resident,D,D,D,D,D,D,D,D,D,D
          Management-related,"65,000",500,"65,000","1,500","47,000","13,500","41,000","2,500","65,000","5,000"
               U.S. citizen,"65,000",500,"65,000","1,000","46,000","13,000","41,000","3,000","65,000","5,000"
                    Native-born,"66,000","3,000","68,000","3,500","45,000","13,000","41,000","2,500","65,000","6,000"
                    Naturalized,"52,000","5,000","50,000","1,500",D,D,"37,000","18,500","65,000","4,000"
               Non-U.S. citizen,"65,000","20,000","66,000","21,500",D,D,D,D,D,D
                    Permanent resident,"55,000","15,000","58,000","14,500",D,D,D,D,D,D
                    Temporary resident,"115,000","29,000","116,000","28,500",D,D,D,D,D,D
          Non-S&E manager,"100,000","3,000","104,000","2,500","80,000","9,500","52,000","8,000","91,000","8,500"
               U.S. citizen,"100,000","3,500","104,000","2,000","80,000","9,500","51,000","8,500","91,000","8,500"
                    Native-born,"100,000","4,000","104,000","2,000","80,000","12,500","51,000","8,000","90,000","8,500"
                    Naturalized,"100,000","5,000","100,000","6,500",D,D,D,D,"94,000","25,000"
               Non-U.S. citizen,"96,000","8,500","96,000","8,000",D,D,D,D,D,D
                    Permanent resident,"100,000","21,000","99,000","19,500",D,D,D,D,D,D
                    Temporary resident,S,S,S,S,D,D,D,D,D,D
          Non-S&E postsecondary teacher,"20,000","5,500",D,D,"12,000","4,500","52,000","24,000",D,D
               U.S. citizen,"18,000","5,500",D,D,"12,000","5,500",S,S,D,D
                    Native-born,"18,000","6,500",D,D,"14,000","6,000",S,S,D,D
                    Naturalized,S,S,D,D,D,D,D,D,D,D
               Non-U.S. citizen,D,D,D,D,S,S,D,D,D,D
                    Permanent resident,D,D,D,D,D,D,D,D,D,D
                    Temporary resident,D,D,D,D,D,D,D,D,D,D
          Non-S&E precollege/ other teacher,"31,000","2,500",D,D,D,D,"31,000","2,500",D,D
               U.S. citizen,"32,000","3,000",D,D,D,D,"32,000","3,000",D,D
                    Native-born,"34,000","2,500",D,D,D,D,"34,000","2,500",D,D
                    Naturalized,"21,000","2,000",D,D,D,D,"21,000","2,000",D,D
               Non-U.S. citizen,"20,000","2,500",D,D,D,D,"20,000","2,500",D,D
                    Permanent resident,"20,000","3,000",D,D,D,D,"20,000","3,000",D,D
                    Temporary resident,D,D,D,D,D,D,D,D,D,D
          Sales/ marketing,"48,000","2,000","48,000","2,000","32,000","7,000",S,S,"49,000","18,000"
               U.S. citizen,"48,000","3,000","48,000","3,000",S,S,S,S,"49,000","18,000"
                    Native-born,"50,000","3,000","50,000","2,000",S,S,S,S,"39,000","13,000"
                    Naturalized,"40,000","7,000","40,000","7,000",D,D,D,D,S,S
               Non-U.S. citizen,"24,000","3,500","24,000","3,500",D,D,D,D,D,D
                    Permanent resident,"24,000","3,500","24,000","3,500",D,D,D,D,D,D
                    Temporary resident,S,S,S,S,D,D,D,D,D,D
          Social service-related,"34,000","1,500","30,000","1,000","39,000","1,500","36,000","8,500","43,000","5,000"
               U.S. citizen,"34,000","1,500","30,000","1,000","39,000","1,500","36,000","6,500","43,000","4,500"
                    Native-born,"34,000","1,500","30,000","1,000","39,000","1,000","37,000","4,000","40,000","4,000"
                    Naturalized,"41,000","4,000","33,000","6,000",S,S,D,D,"42,000","2,500"
               Non-U.S. citizen,S,S,S,S,D,D,D,D,S,S
                    Permanent resident,S,S,S,S,D,D,D,D,D,D
                    Temporary resident,D,D,D,D,D,D,D,D,D,D
          Other non-S&E,"35,000","1,500","32,000","1,000","31,000","3,000","29,000","2,500","51,000","2,500"
               U.S. citizen,"36,000","1,500","32,000","2,000","31,000","2,500","29,000","3,000","52,000","2,500"
                    Native-born,"36,000","1,500","32,000","1,000","31,000","3,000","30,000","3,000","51,000","2,500"
