Occupation and age (years)             ,,,,,,,,,,,,
,Employed scientists and engineers,,Computer applications,,"Management, sales, administration",,Research and development,,Teaching,,Other,
                         40–49,"708,000","27,000","444,000","21,000","319,000","14,500","289,000","15,000","16,000","3,000","145,000","10,500"
                         50–59,"466,000","19,500","292,000","14,500","199,000","11,500","193,000","12,500","11,000","2,500","91,000","9,000"
                         60–75,"160,000","10,500","101,000","8,500","66,000","7,000","60,000","6,000","8,000","2,000","31,000","4,000"
                    Mathematical scientists,"127,000","13,000","40,000","5,500","55,000","9,500","91,000","9,500","2,000","1,000","24,000","4,000"
                         < 30,"34,000","8,500","8,000","2,500","17,000","6,500","25,000","7,000",S,S,"5,000","2,000"
                         30–39,"38,000","5,500","14,000","3,000","11,000","2,500","30,000","4,000",*,*,"6,000","2,000"
                         40–49,"30,000","4,500","12,000","3,000","16,000","4,000","18,000","3,000",*,*,"6,000","2,000"
                         50–59,"16,000","3,000","3,000","1,000","7,000","2,000","12,000","2,500",D,D,"5,000","2,000"
                         60–75,"10,000","2,000","3,000","1,500","3,000","1,500","6,000","1,500",S,S,"1,000",500
                    Postsecondary teachers - computer/ math sciences,"109,000","8,500","7,000","1,500","19,000","3,000","42,000","3,500","103,000","8,500","12,000","2,500"
                         < 30,"18,000","4,500","1,000",500,S,S,"6,000","1,500","18,000","4,500",S,S
                         30–39,"29,000","4,000","1,000",500,"4,000","1,500","14,000","2,000","27,000","4,000","4,000","1,500"
                         40–49,"16,000","2,000","2,000","1,000","4,000","1,000","7,000","1,500","15,000","2,000","1,000","1,000"
                         50–59,"22,000","3,000","2,000","1,000","5,000","1,500","8,000","1,500","21,000","3,000","3,000","1,000"
                         60–75,"24,000","3,000","1,000",500,"5,000","2,000","6,000","1,500","22,000","3,000","2,000","1,000"
               Physical/ related scientists,"319,000","11,000","19,000","2,000","114,000","6,500","223,000","7,500","63,000","4,000","79,000","5,000"
                    < 30,"58,000","4,500","5,000","1,000","11,000","2,000","46,000","3,500","12,000","2,500","16,000","2,500"
                    30–39,"78,000","4,000","5,000","1,000","27,000","2,000","56,000","3,500","12,000","1,500","18,000","2,000"
                    40–49,"69,000","4,000","3,000",500,"30,000","2,500","48,000","3,000","13,000","1,500","15,000","2,000"
                    50–59,"69,000","4,000","3,000","1,000","31,000","3,000","45,000","3,000","14,000","1,500","18,000","2,000"
                    60–75,"45,000","3,500","3,000","1,000","15,000","2,500","30,000","2,500","12,000","2,000","12,000","2,000"
"                    Chemists, except biochemists","105,000","7,000","1,000",500,"38,000","4,000","74,000","5,000","2,000",500,"35,000","3,500"
                         < 30,"24,000","3,000",D,D,"5,000","1,500","20,000","2,500",S,S,"10,000","2,000"
                         30–39,"26,000","2,500",*,*,"9,000","1,500","19,000","2,500",*,*,"8,000","1,500"
                         40–49,"24,000","2,500",*,*,"11,000","2,000","16,000","2,000",*,*,"6,000","1,000"
                         50–59,"20,000","2,000",*,*,"9,000","1,500","13,000","1,500",*,*,"7,000","1,500"
                         60–75,"11,000","2,000",D,D,"5,000","2,000","7,000","1,000",D,D,"5,000","1,500"
                    Earth/ atmospheric/ ocean scientists,"70,000","4,500","7,000","1,000","31,000","3,000","53,000","3,500","1,000",500,"18,000","2,000"
                         < 30,"9,000","1,500","2,000","1,000","2,000",500,"7,000","1,000",*,*,"3,000","1,000"
                         30–39,"16,000","1,500","2,000",500,"7,000","1,500","12,000","1,500",D,D,"4,000","1,000"
                         40–49,"13,000","1,500","1,000",500,"8,000","1,500","10,000","1,500",D,D,"3,000","1,000"
                         50–59,"20,000","2,500","1,000",500,"11,000","1,500","14,000","2,000",*,*,"6,000","1,500"
                         60–75,"12,000","2,000","1,000",500,"4,000","1,000","10,000","1,500","1,000",500,"2,000","1,000"
                    Physicists and astronomers,"36,000","2,500","9,000","1,500","8,000","1,000","32,000","2,500","1,000",500,"6,000","1,000"
                         < 30,"8,000","1,500","2,000","1,000","1,000",500,"7,000","1,500",S,S,"1,000",500
                         30–39,"11,000","1,500","3,000","1,000","1,000",500,"10,000","1,500",*,*,"1,000",500
                         40–49,"6,000","1,000","1,000",500,"2,000",500,"5,000","1,000",D,D,"1,000",500
                         50–59,"7,000","1,000","1,000","1,000","2,000",500,"6,000","1,000",D,D,"1,000",500
                         60–75,"5,000","1,000","1,000",500,"2,000","1,000","3,000",500,D,D,"2,000","1,000"
                    Postsecondary teachers - physical/ related sciences,"63,000","4,000",S,S,"13,000","1,500","38,000","3,000","58,000","4,000","5,000","1,000"
                         < 30,"11,000","2,500",D,D,"1,000","1,000","6,000","1,500","10,000","2,500","1,000",500
                         30–39,"13,000","1,500",D,D,"2,000",500,"8,000","1,500","12,000","1,500","1,000",500
                         40–49,"13,000","1,500",*,*,"3,000",500,"9,000","1,000","12,000","1,500","1,000",500
                         50–59,"14,000","1,500",D,D,"3,000",500,"8,000","1,000","13,000","1,500","1,000",500
                         60–75,"12,000","2,000",S,S,"3,000","1,000","7,000","2,000","11,000","1,500","1,000",500
                    Other physical/ related scientists,"45,000","4,500","1,000",500,"25,000","3,000","27,000","3,000","1,000",500,"16,000","2,500"
                         < 30,"7,000","1,500",*,*,"3,000","1,000","5,000","1,500",D,D,"2,000","1,000"
                         30–39,"13,000","2,000",*,*,"7,000","1,500","7,000","1,500",D,D,"4,000","1,500"
                         40–49,"13,000","2,000",*,*,"6,000","1,500","8,000","2,000",*,*,"5,000","1,500"
                         50–59,"9,000","2,000",*,*,"7,000","2,000","4,000","1,000",*,*,"3,000","1,500"
                         60–75,"4,000","1,000",D,D,"1,000",500,"3,000","1,000",D,D,"2,000","1,000"
"               Social science, psychology","581,000","25,500","15,000","2,500","191,000","15,000","273,000","11,000","188,000","9,500","266,000","14,500"
                    < 30,"97,000","10,000","3,000","1,500","32,000","7,000","61,000","6,000","23,000","3,000","36,000","6,000"
                    30–39,"160,000","9,500","6,000","2,000","50,000","5,500","88,000","6,000","46,000","4,000","72,000","7,000"
                    40–49,"111,000","7,000","5,000","1,500","38,000","4,000","53,000","5,000","37,000","3,000","50,000","4,500"
                    50–59,"111,000","10,500","1,000",500,"39,000","6,000","39,000","4,000","40,000","5,500","57,000","5,500"
                    60–75,"101,000","6,500","1,000",500,"31,000","4,000","33,000","3,000","42,000","4,000","51,000","4,500"
                    Economists,"37,000","5,500","5,000","2,000","14,000","4,500","26,000","3,000","1,000",500,"12,000","2,000"
                         < 30,"10,000","2,500","1,000",500,"3,000","1,500","9,000","2,000",D,D,"4,000","1,500"
                         30–39,"10,000","2,000","3,000","2,000","2,000",500,"8,000","2,000",D,D,"3,000","1,000"
                         40–49,"5,000","1,000",*,*,"2,000",500,"4,000","1,000",D,D,"2,000",500
                         50–59,"9,000","4,000",*,*,S,S,"3,000","1,000",D,D,"2,000",500
                         60–75,"3,000",500,*,*,"1,000",500,"2,000",500,*,*,"1,000",500
                    Political scientists,"18,000","3,500",*,*,"6,000","2,000","15,000","3,500",D,D,"8,000","3,000"
                         < 30,"5,000","1,500",D,D,S,S,"5,000","1,500",D,D,S,S
                         30–39,"9,000","3,000",D,D,"2,000","1,000","8,000","2,500",D,D,"5,000","2,500"
                         40–49,"3,000","1,500",D,D,S,S,S,S,D,D,S,S
                         50–59,"1,000",500,D,D,*,*,*,*,D,D,"1,000",500
                         60–75,S,S,D,D,S,S,*,*,D,D,D,D
                    Postsecondary teachers - social/ related sciences,"172,000","8,500","1,000",500,"31,000","3,500","92,000","5,000","159,000","8,000","22,000","3,500"
                         < 30,"19,000","3,000",D,D,"2,000",500,"11,000","2,500","18,000","3,000","2,000","1,000"
                         30–39,"41,000","3,500",*,*,"9,000","2,500","25,000","3,000","37,000","3,000","5,000","1,500"
                         40–49,"37,000","3,000",D,D,"6,000","1,000","23,000","2,500","33,000","3,000","6,000","1,500"
                         50–59,"35,000","4,500",D,D,"9,000","2,000","15,000","1,500","33,000","4,500","3,000","1,000"
                         60–75,"39,000","4,000",D,D,"5,000","1,000","18,000","2,500","38,000","4,000","5,000","2,500"
                    Psychologists,"208,000","13,500","1,000",500,"70,000","7,000","62,000","6,000","20,000","3,000","171,000","12,000"
                         < 30,"39,000","7,500",D,D,"16,000","5,000","21,000","4,000","3,000","1,500","24,000","6,000"
                         30–39,"49,000","4,500",*,*,"15,000","2,000","15,000","2,500","6,000","1,500","39,000","4,000"
                         40–49,"36,000","4,000",*,*,"12,000","2,000","9,000","2,500","4,000","1,500","31,000","3,500"
                         50–59,"43,000","4,000",D,D,"14,000","2,000","11,000","2,500","4,000","1,000","39,000","4,000"
                         60–75,"42,000","3,500",*,*,"14,000","2,000","6,000","1,500","4,000","1,000","38,000","3,500"
                    Sociologists and anthropologists,"21,000","3,000","1,000",500,"8,000","1,500","17,000","2,500",*,*,"5,000","1,500"
                         < 30,"4,000","1,000",D,D,"2,000","1,000","3,000","1,000",D,D,"1,000",500
                         30–39,"8,000","1,500",S,S,"3,000","1,000","6,000","1,500",D,D,"2,000","1,000"
                         40–49,"4,000","1,000",D,D,"2,000",500,"3,000","1,000",D,D,"1,000",500
                         50–59,"4,000","2,000",D,D,"1,000","1,000","3,000","1,500",*,*,"1,000",500
                         60–75,"2,000",500,D,D,*,*,"1,000",500,D,D,*,*
                    Other social and related scientists,"125,000","14,500","7,000","2,000","63,000","9,500","62,000","6,000","7,000","2,500","49,000","7,500"
                         < 30,"20,000","5,000",S,S,"9,000","4,000","12,000","2,500","1,000",500,"4,000","1,000"
                         30–39,"44,000","6,500","1,000","1,000","20,000","4,000","26,000","4,000",S,S,"19,000","4,500"
                         40–49,"26,000","5,000","4,000","1,500","15,000","3,000","13,000","3,500",D,D,"10,000","2,500"
                         50–59,"20,000","4,500",*,*,"9,000","2,500","7,000","2,000","4,000","2,000","12,000","4,000"
                         60–75,"14,000","3,500",D,D,"9,000","3,500","4,000","1,000",*,*,"5,000","2,000"
          Engineering occupations,"1,564,000","41,500","180,000","9,500","831,000","28,000","1,041,000","27,500","64,000","4,000","350,000","13,000"
               < 30,"265,000","14,500","39,000","4,000","106,000","7,000","204,000","12,000","9,000","2,000","55,000","5,000"
               30–39,"383,000","13,500","49,000","4,500","201,000","10,000","269,000","10,000","14,000","2,000","74,000","5,500"
               40–49,"371,000","15,500","40,000","4,500","211,000","10,000","238,000","11,000","16,000","2,500","84,000","5,500"
               50–59,"378,000","14,000","37,000","4,000","225,000","12,000","228,000","9,000","16,000","2,500","89,000","6,500"
               60–75,"167,000","7,000","15,000","2,500","88,000","5,500","101,000","5,000","10,000","1,500","48,000","4,000"
               Aeronautical/ aerospace/ astronautical engineers,"98,000","6,500","15,000","2,500","50,000","5,000","72,000","5,500","2,000","1,000","17,000","2,500"
                    < 30,"15,000","3,000","5,000","2,000","5,000","2,000","12,000","3,000",*,*,"3,000","1,000"
                    30–39,"22,000","2,500","3,000","1,000","10,000","2,000","18,000","2,500",D,D,"5,000","1,500"
                    40–49,"17,000","2,500","2,000","1,000","11,000","2,000","12,000","2,000",D,D,"2,000","1,000"
                    50–59,"36,000","4,000","4,000","1,500","20,000","3,000","25,000","3,000",D,D,"6,000","1,500"
                    60–75,"8,000","1,500",S,S,"4,000","1,500","6,000","1,500",D,D,"1,000","1,000"
               Chemical engineers,"66,000","4,500","5,000","1,500","32,000","3,000","49,000","3,500",S,S,"16,000","2,000"
                    < 30,"13,000","2,000",S,S,"4,000","1,000","10,000","1,500",D,D,"3,000","1,000"
                    30–39,"18,000","2,000","1,000",500,"10,000","2,000","13,000","1,500",D,D,"3,000","1,000"
                    40–49,"12,000","2,000","1,000",500,"7,000","1,500","9,000","1,500",D,D,"3,000","1,000"
                    50–59,"15,000","2,500","1,000",500,"7,000","1,500","11,000","2,000",D,D,"4,000","1,500"
                    60–75,"8,000","1,500",*,*,"3,000","1,000","6,000","1,500",D,D,"2,000","1,000"
"               Civil, including architectural/ sanitary engineers","223,000","10,500","15,000","3,000","146,000","8,500","119,000","6,000","2,000","1,000","65,000","5,000"
                    < 30,"39,000","3,000","5,000","1,500","17,000","2,000","28,000","3,000",*,*,"10,000","1,500"
                    30–39,"53,000","4,000","3,000","1,000","36,000","3,500","32,000","2,500",S,S,"17,000","2,500"
                    40–49,"52,000","4,500","2,000","1,000","36,000","4,000","24,000","3,000",D,D,"16,000","2,500"
                    50–59,"51,000","5,000","3,000","1,000","39,000","4,500","21,000","2,500","1,000",500,"14,000","2,500"
                    60–75,"28,000","3,000","2,000","1,000","19,000","2,500","14,000","2,000",D,D,"10,000","2,000"
               Electrical/ computer hardware engineers,"345,000","13,500","97,000","6,500","127,000","7,000","264,000","11,500","2,000",500,"62,000","4,500"
                    < 30,"53,000","4,500","16,000","2,500","18,000","3,000","44,000","4,500",D,D,"8,000","1,500"
                    30–39,"89,000","6,500","31,000","4,000","34,000","4,000","65,000","5,000",D,D,"11,000","2,000"
                    40–49,"88,000","6,000","24,000","3,500","29,000","2,500","65,000","5,000",*,*,"20,000","3,000"
                    50–59,"84,000","5,500","19,000","2,500","35,000","4,000","64,000","4,500","1,000",500,"15,000","2,500"
                    60–75,"31,000","3,000","7,000","1,500","11,000","1,500","25,000","2,500",*,*,"8,000","1,500"
               Industrial engineers,"70,000","6,000","8,000","2,000","48,000","5,000","36,000","4,000","2,000","1,000","19,000","2,500"
                    < 30,"15,000","3,000","2,000","1,000","8,000","2,000","9,000","2,000",D,D,"4,000","1,500"
                    30–39,"13,000","2,500","1,000",500,"10,000","2,000","8,000","2,000",D,D,"4,000","1,500"
                    40–49,"19,000","3,500","3,000","1,500","14,000","3,000","10,000","2,000",S,S,"4,000","1,500"
                    50–59,"17,000","3,000",D,D,"12,000","2,500","7,000","2,000",*,*,"5,000","1,500"
                    60–75,"6,000","1,500",*,*,"4,000","1,500","3,000","1,000",D,D,"1,000",500
               Mechanical engineers,"302,000","15,000","13,000","1,500","146,000","9,500","243,000","12,000","3,000","1,000","62,000","6,000"
                    < 30,"62,000","4,000","4,000","1,000","23,000","2,500","54,000","4,000",S,S,"12,000","2,000"
                    30–39,"78,000","6,000","2,000",500,"38,000","4,000","68,000","5,000",S,S,"12,000","2,000"
                    40–49,"68,000","5,500","3,000","1,000","35,000","3,500","55,000","5,000",S,S,"13,000","2,500"
                    50–59,"67,000","6,000","1,000",500,"41,000","5,000","49,000","4,500",D,D,"17,000","3,500"
                    60–75,"26,000","3,000","3,000","1,000","9,000","2,000","18,000","2,500",S,S,"9,000","2,000"
               Postsecondary teachers - engineering,"42,000","3,000","1,000",500,"11,000","1,500","24,000","2,000","36,000","3,000","4,000","1,000"
                    < 30,"7,000","2,000",D,D,"2,000","1,500","3,000","1,000","7,000","2,000",D,D
                    30–39,"10,000","1,500",S,S,"2,000",500,"8,000","1,500","8,000","1,500",*,*
                    40–49,"7,000","1,000",D,D,"2,000",500,"5,000","1,000","6,000","1,000",S,S
                    50–59,"10,000","1,500",D,D,"3,000","1,000","6,000","1,000","9,000","1,500","1,000","1,000"
                    60–75,"7,000","1,000",*,*,"2,000","1,000","3,000",500,"6,000","1,000",*,*
               Other engineers,"419,000","19,500","26,000","3,500","271,000","15,000","232,000","12,000","16,000","3,000","105,000","7,500"
                    < 30,"62,000","8,000","5,000","1,500","30,000","4,500","45,000","6,000","1,000",500,"15,000","3,000"
                    30–39,"99,000","7,000","8,000","2,000","61,000","5,000","58,000","4,500","3,000","1,500","22,000","3,500"
                    40–49,"107,000","8,500","5,000","1,500","77,000","7,000","58,000","6,000","7,000","2,500","25,000","3,500"
                    50–59,"98,000","7,000","6,000","2,000","69,000","6,000","46,000","4,000","4,000","1,500","26,000","3,500"
                    60–75,"53,000","5,000","1,000","1,000","35,000","4,500","25,000","3,500",S,S,"17,000","3,000"
     S&E-related occupations,"7,439,000","126,500","403,000","19,500","3,498,000","78,500","1,526,000","40,500","2,017,000","53,500","4,639,000","94,000"
          < 30,"964,000","39,500","44,000","6,500","355,000","21,000","238,000","17,500","280,000","19,000","643,000","31,500"
          30–39,"1,889,000","52,500","120,000","10,500","924,000","38,500","439,000","20,500","520,000","25,500","1,159,000","39,500"
          40–49,"1,861,000","48,500","123,000","11,000","934,000","33,000","356,000","20,000","510,000","26,000","1,101,000","38,000"
          50–59,"1,826,000","51,500","85,000","9,000","887,000","33,500","353,000","18,000","457,000","30,500","1,148,000","36,500"
          60–75,"899,000","30,000","31,000","5,000","399,000","21,500","139,000","13,000","249,000","18,000","588,000","24,500"
          Health occupations,"4,590,000","99,000","55,000","8,500","1,786,000","58,500","660,000","29,500","1,020,000","32,000","3,930,000","86,500"
               < 30,"654,000","33,000","5,000","2,500","225,000","17,000","124,000","13,000","144,000","11,500","574,000","30,500"
               30–39,"1,168,000","43,000","13,000","4,000","461,000","27,500","206,000","17,000","262,000","17,000","989,000","37,500"
               40–49,"1,044,000","37,500","8,000","3,000","409,000","24,500","103,000","11,000","246,000","18,000","906,000","35,000"
               50–59,"1,135,000","38,000","24,000","6,500","467,000","27,500","161,000","12,000","234,000","15,500","957,000","34,500"
               60–75,"588,000","25,500","5,000","2,500","224,000","17,500","67,000","9,000","134,000","11,000","503,000","23,000"
"          S&E managers, including health","902,000","35,500","94,000","10,000","902,000","35,500","194,000","13,000","15,000","4,000","248,000","15,500"
               < 30,"35,000","5,500","8,000","3,500","35,000","5,500","6,000","1,500",D,D,"11,000","3,000"
               30–39,"224,000","15,000","35,000","6,000","224,000","15,000","48,000","6,000",S,S,"66,000","9,000"
               40–49,"297,000","17,000","33,000","5,500","297,000","17,000","67,000","7,500",D,D,"81,000","8,500"
               50–59,"266,000","17,500","15,000","3,500","266,000","17,500","56,000","7,000","9,000","3,500","70,000","8,500"
               60–75,"79,000","8,000","4,000","2,000","79,000","8,000","17,000","3,000",S,S,"21,000","4,000"
          S&E precollege teacher,"968,000","46,500","10,000","2,500","346,000","23,000","188,000","17,500","964,000","46,500","83,000","11,000"
               < 30,"136,000","16,500",D,D,"39,000","6,500","29,000","6,500","135,000","16,500","7,000","1,500"
               30–39,"253,000","21,000","3,000","1,500","115,000","16,500","59,000","8,500","251,000","21,000","24,000","6,500"
               40–49,"260,000","20,500","2,000","1,500","99,000","11,000","50,000","12,000","260,000","20,500","27,000","7,000"
               50–59,"206,000","23,500","3,000","1,500","56,000","9,000","35,000","7,000","206,000","23,500","14,000","4,000"
               60–75,"113,000","14,500",S,S,"36,000","8,000","16,000","6,000","112,000","14,500","11,000","4,000"
          S&E technician/ technologist,"778,000","26,500","233,000","14,500","332,000","18,000","366,000","18,000","17,000","3,500","297,000","17,500"
               < 30,"104,000","10,500","30,000","5,000","39,000","6,000","55,000","6,500","1,000",500,"41,000","6,000"
               30–39,"194,000","13,500","66,000","8,000","91,000","10,500","99,000","8,500",S,S,"58,000","7,500"
               40–49,"209,000","15,000","76,000","9,000","92,000","10,000","106,000","10,000","4,000","2,000","70,000","9,500"
               50–59,"180,000","12,500","43,000","5,500","70,000","7,000","80,000","8,500","7,000","2,500","86,000","10,000"
               60–75,"91,000","8,500","19,000","4,000","40,000","6,000","26,000","4,000","2,000","1,000","42,000","6,500"
          Other S&E-related,"201,000","14,000","11,000","4,000","132,000","11,500","118,000","10,500",S,S,"81,000","8,500"
               < 30,"34,000","6,000","2,000",500,"17,000","4,500","25,000","5,500",D,D,"10,000","3,000"
               30–39,"51,000","7,500",S,S,"33,000","5,500","28,000","5,000",D,D,"23,000","5,000"
               40–49,"50,000","7,000",S,S,"37,000","6,500","31,000","6,000",D,D,"17,000","4,500"
               50–59,"39,000","6,500",D,D,"27,000","6,000","21,000","5,000",D,D,"20,000","4,000"
               60–75,"27,000","4,500",D,D,"19,000","4,000","14,000","3,500",D,D,"12,000","3,000"
     Non-S&E occupations,"10,368,000","180,500","319,000","20,500","7,607,000","139,000","1,601,000","44,500","1,621,000","54,000","4,030,000","75,000"
          < 30,"1,333,000","49,000","47,000","6,500","898,000","37,000","280,000","18,000","210,000","13,000","563,000","25,500"
          30–39,"2,440,000","55,500","87,000","13,000","1,800,000","47,000","396,000","20,000","390,000","19,500","939,000","33,000"
          40–49,"2,539,000","64,000","86,000","8,500","1,941,000","53,000","424,000","21,000","381,000","24,000","887,000","32,500"
          50–59,"2,369,000","54,000","57,000","8,000","1,778,000","44,500","312,000","17,000","365,000","20,500","938,000","35,000"
          60–75,"1,687,000","44,000","42,000","6,500","1,190,000","36,500","189,000","12,000","275,000","16,500","702,000","24,500"
          Arts/ humanities/ related,"316,000","20,500","23,000","5,500","191,000","16,500","94,000","11,000","19,000","4,000","161,000","13,500"
               < 30,"45,000","6,500","9,000","3,000","30,000","6,000","18,000","5,000","2,000","1,000","16,000","4,000"
               30–39,"82,000","10,500",S,S,"61,000","9,000","20,000","5,500","4,000","2,000","45,000","7,500"
               40–49,"61,000","9,500","4,000","2,500","38,000","7,500","24,000","6,000",S,S,"29,000","7,500"
               50–59,"68,000","9,000",D,D,"38,000","6,500","13,000","3,500","4,000","2,000","37,000","6,500"
               60–75,"59,000","8,000",S,S,"24,000","4,500","19,000","5,500","7,000","3,000","34,000","6,000"
          Management-related,"1,794,000","52,500","78,000","7,500","1,604,000","49,500","343,000","16,500","54,000","7,000","509,000","22,000"
               < 30,"226,000","15,000","14,000","3,500","193,000","13,500","56,000","6,000","4,000","1,500","71,000","7,500"
               30–39,"445,000","20,000","18,000","3,000","388,000","18,500","99,000","8,500","16,000","4,000","121,000","10,000"
