"Table 9-4. Employed U.S. scientists and engineers with a doctorate as the highest degree, by occupation, citizenship status, and employment sector: 2013",,,,,,,,,,
,,,,,,,,,,
"Level of highest degree, occupation, and citizenship status             ",,,Sector of employment,,,,,,,
,Employed scientists and engineers,,Business/ industry,,4-year college/ university,,Other educational institution,,Government,
               Biological/ agricultural/ other life scientists,"202,000","5,000","65,000","3,000","111,000","4,000","5,000","1,000","21,000","1,500"
                    U.S. citizen,"142,000","3,000","46,000","2,000","75,000","2,500","4,000",500,"17,000","1,500"
                         Native-born,"107,000","2,500","32,000","1,500","59,000","2,000","4,000",500,"13,000","1,000"
                         Naturalized,"35,000","2,500","14,000","1,500","16,000","1,500",*,*,"4,000","1,000"
                    Non-U.S. citizen,"60,000","3,500","20,000","2,000","36,000","3,000","1,000",500,"4,000","1,000"
                         Permanent resident,"36,000","2,500","13,000","2,000","21,000","2,000","1,000",500,"2,000",500
                         Temporary resident,"24,000","3,000","7,000","1,500","15,000","2,500",D,D,"2,000","1,000"
                    Agricultural/ food scientists,"10,000","1,000","5,000","1,000","3,000",500,D,D,"2,000",500
                         U.S. citizen,"8,000","1,000","4,000",500,"2,000",500,D,D,"2,000",500
                              Native-born,"7,000",500,"3,000",500,"2,000",500,D,D,"1,000",500
                              Naturalized,"1,000",500,"1,000",500,*,*,D,D,*,*
                         Non-U.S. citizen,"2,000",500,"1,000",500,"1,000",500,D,D,D,D
                              Permanent resident,"1,000",500,"1,000",500,"1,000",500,D,D,D,D
                              Temporary resident,"1,000",500,*,*,"1,000",500,D,D,D,D
                    Biological and medical scientists,"138,000","4,500","60,000","3,000","60,000","3,500",*,*,"18,000","1,500"
                         U.S. citizen,"88,000","2,500","41,000","2,000","33,000","1,500",*,*,"15,000","1,500"
                              Native-born,"63,000","2,000","28,000","1,500","24,000","1,500",*,*,"11,000","1,000"
                              Naturalized,"25,000","2,000","13,000","1,500","8,000","1,000",D,D,"4,000","1,000"
                         Non-U.S. citizen,"50,000","3,500","19,000","2,000","27,000","3,000",D,D,"4,000","1,000"
                              Permanent resident,"27,000","2,500","12,000","1,500","13,000","2,000",D,D,"2,000",500
                              Temporary resident,"23,000","3,000","7,000","1,500","14,000","2,500",D,D,"2,000","1,000"
                    Environmental life scientists,"2,000",500,"1,000",500,*,*,D,D,"1,000",500
                         U.S. citizen,"2,000",500,"1,000",500,*,*,D,D,"1,000",500
                              Native-born,"1,000",500,*,*,*,*,D,D,"1,000",500
                              Naturalized,*,*,D,D,D,D,D,D,D,D
                         Non-U.S. citizen,*,*,D,D,*,*,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,D,D,D,D,D,D,D,D,D,D
                    Postsecondary teachers - life/ related sciences,"52,000","2,000",D,D,"48,000","2,000","4,000","1,000",D,D
                         U.S. citizen,"44,000","2,000",D,D,"40,000","2,000","4,000",500,D,D
                              Native-born,"36,000","1,500",D,D,"32,000","1,500","4,000",500,D,D
                              Naturalized,"8,000","1,500",D,D,"8,000","1,500",*,*,D,D
                         Non-U.S. citizen,"8,000","1,500",D,D,"7,000","1,500","1,000",500,D,D
                              Permanent resident,"7,000","1,500",D,D,"7,000","1,500","1,000",500,D,D
                              Temporary resident,"1,000",500,D,D,"1,000",500,D,D,D,D
               Computer/ mathematical scientists,"107,000","4,000","55,000","2,500","44,000","3,000","3,000","1,000","5,000","1,000"
                    U.S. citizen,"76,000","3,000","38,000","2,000","31,000","2,000","2,000","1,000","5,000","1,000"
                         Native-born,"52,000","3,000","23,000","2,000","23,000","2,000","2,000","1,000","3,000","1,000"
                         Naturalized,"25,000","1,500","15,000","1,500","8,000","1,000","1,000",500,"1,000",500
                    Non-U.S. citizen,"31,000","2,500","17,000","2,000","12,000","2,000",*,*,"1,000",500
                         Permanent resident,"19,000","2,000","12,000","1,500","7,000","1,000",*,*,*,*
                         Temporary resident,"11,000","2,000","5,000","1,000","5,000","2,000",D,D,*,*
                    Computer and information scientists,"53,000","3,500","44,000","2,500","6,000","1,500",D,D,"3,000",500
                         U.S. citizen,"37,000","2,500","31,000","2,000","4,000","1,500",D,D,"2,000",500
                              Native-born,"23,000","2,500","18,000","1,500","3,000","1,500",D,D,"2,000",500
                              Naturalized,"14,000","1,500","13,000","1,500","1,000",500,D,D,"1,000",500
                         Non-U.S. citizen,"16,000","2,000","13,000","2,000","3,000","1,000",D,D,*,*
                              Permanent resident,"10,000","1,500","9,000","1,500","1,000","1,000",D,D,*,*
                              Temporary resident,"6,000","1,500","4,000","1,000",S,S,D,D,*,*
                    Mathematical scientists,"18,000","1,500","11,000","1,000","4,000","1,500",*,*,"3,000",500
                         U.S. citizen,"12,000","1,000","7,000","1,000","2,000",500,*,*,"2,000",500
                              Native-born,"8,000","1,000","5,000","1,000","1,000",500,D,D,"2,000",500
                              Naturalized,"4,000",500,"2,000",500,"1,000",500,D,D,"1,000",500
                         Non-U.S. citizen,"6,000","1,500","4,000",500,"2,000","1,000",D,D,*,*
                              Permanent resident,"3,000",500,"3,000",500,"1,000",500,D,D,*,*
                              Temporary resident,"3,000","1,000","1,000",500,S,S,D,D,D,D
                    Postsecondary teachers - computer/ math sciences,"35,000","2,500",D,D,"33,000","2,500","2,000","1,000",D,D
                         U.S. citizen,"27,000","2,000",D,D,"25,000","1,500","2,000","1,000",D,D
                              Native-born,"21,000","1,500",D,D,"19,000","1,500","2,000","1,000",D,D
                              Naturalized,"7,000","1,000",D,D,"6,000",500,*,*,D,D
                         Non-U.S. citizen,"8,000","1,500",D,D,"8,000","1,500",*,*,D,D
                              Permanent resident,"6,000","1,000",D,D,"5,000","1,000",*,*,D,D
                              Temporary resident,"2,000","1,500",D,D,"2,000","1,500",D,D,D,D
               Physical/ related scientists,"107,000","3,000","36,000","2,000","52,000","2,500","5,000","1,000","14,000","1,500"
                    U.S. citizen,"83,000","2,500","30,000","1,500","38,000","2,000","4,000","1,000","10,000","1,000"
                         Native-born,"64,000","2,000","22,000","1,500","31,000","1,500","3,000",500,"8,000","1,000"
                         Naturalized,"19,000","2,000","8,000","1,500","7,000","1,500","1,000",500,"2,000",500
                    Non-U.S. citizen,"24,000","2,000","7,000","1,000","13,000","1,500",*,*,"4,000","1,500"
                         Permanent resident,"16,000","1,500","5,000","1,000","9,000","1,000",*,*,"2,000","1,000"
                         Temporary resident,"8,000","1,500","2,000",500,"5,000","1,000",D,D,"2,000","1,000"
"                    Chemists, except biochemists","26,000","1,500","19,000","1,500","4,000","1,000",D,D,"3,000",500
                         U.S. citizen,"20,000","1,500","16,000","1,500","2,000",500,D,D,"3,000",500
                              Native-born,"14,000","1,000","11,000","1,000","1,000",500,D,D,"2,000",500
                              Naturalized,"6,000","1,000","5,000","1,000",*,*,D,D,"1,000",500
                         Non-U.S. citizen,"6,000","1,000","3,000","1,000","2,000","1,000",D,D,*,*
                              Permanent resident,"3,000",500,"2,000",500,*,*,D,D,D,D
                              Temporary resident,"3,000","1,000","1,000",500,"2,000","1,000",D,D,*,*
                    Earth/ atmospheric/ ocean scientists,"14,000","1,000","5,000",500,"5,000","1,000",D,D,"4,000",500
                         U.S. citizen,"11,000","1,000","4,000",500,"3,000","1,000",D,D,"4,000",500
                              Native-born,"9,000","1,000","3,000",500,"3,000","1,000",D,D,"3,000",500
                              Naturalized,"2,000",500,"1,000",500,*,*,D,D,"1,000",500
                         Non-U.S. citizen,"3,000",500,"1,000",500,"1,000",500,D,D,*,*
                              Permanent resident,"2,000",500,"1,000",500,"1,000",500,D,D,D,D
                              Temporary resident,"1,000",500,*,*,*,*,D,D,*,*
                    Physicists and astronomers,"21,000","2,000","9,000","1,000","5,000","1,000",D,D,"6,000","1,500"
                         U.S. citizen,"14,000","1,000","7,000","1,000","3,000",500,D,D,"3,000",500
                              Native-born,"10,000","1,000","5,000",500,"3,000",500,D,D,"2,000",500
                              Naturalized,"3,000","1,000","2,000","1,000","1,000",500,D,D,"1,000",500
                         Non-U.S. citizen,"7,000","1,500","2,000",500,"2,000","1,000",D,D,"3,000","1,500"
                              Permanent resident,"3,000","1,000","1,000",500,"1,000",500,D,D,S,S
                              Temporary resident,"4,000","1,000",*,*,"1,000","1,000",D,D,"2,000","1,000"
                    Postsecondary teachers - physical/ related sciences,"40,000","2,000",D,D,"36,000","2,000","4,000","1,000",D,D
                         U.S. citizen,"33,000","1,500",D,D,"29,000","1,500","4,000","1,000",D,D
                              Native-born,"26,000","1,000",D,D,"23,000","1,000","3,000",500,D,D
                              Naturalized,"7,000","1,500",D,D,"6,000","1,000","1,000",500,D,D
                         Non-U.S. citizen,"7,000","1,000",D,D,"7,000","1,000",*,*,D,D
                              Permanent resident,"7,000","1,000",D,D,"6,000","1,000",*,*,D,D
                              Temporary resident,"1,000",500,D,D,"1,000",500,D,D,D,D
                    Other physical/ related scientists,"6,000","1,000","3,000",500,"1,000",500,D,D,"1,000",500
                         U.S. citizen,"5,000","1,000","3,000",500,"1,000",500,D,D,"1,000",500
                              Native-born,"4,000",500,"2,000",500,"1,000",500,D,D,"1,000",500
                              Naturalized,"1,000",500,"1,000",500,*,*,D,D,*,*
                         Non-U.S. citizen,"1,000",500,"1,000",500,*,*,D,D,D,D
                              Permanent resident,"1,000",500,*,*,*,*,D,D,D,D
                              Temporary resident,*,*,*,*,*,*,D,D,D,D
"               Social science, psychology","174,000","4,000","52,000","2,000","98,000","3,500","8,000","1,000","16,000","1,500"
                    U.S. citizen,"160,000","4,000","48,000","2,000","88,000","3,500","7,000","1,000","16,000","1,500"
                         Native-born,"145,000","4,000","44,000","2,000","80,000","3,000","6,000","1,000","14,000","1,000"
                         Naturalized,"14,000","1,500","3,000",500,"8,000","1,000","1,000",500,"2,000","1,000"
                    Non-U.S. citizen,"15,000","1,500","4,000","1,000","10,000","1,000","1,000",500,*,*
                         Permanent resident,"10,000","1,500","2,000",500,"7,000","1,000",*,*,*,*
                         Temporary resident,"5,000","1,000","2,000",500,"3,000",500,D,D,D,D
                    Economists,"10,000","1,000","6,000","1,000","1,000",500,D,D,"2,000",500
                         U.S. citizen,"7,000","1,000","4,000",500,"1,000",500,D,D,"2,000",500
                              Native-born,"6,000",500,"3,000",500,"1,000",500,D,D,"2,000",500
                              Naturalized,"1,000",500,"1,000",500,D,D,D,D,*,*
                         Non-U.S. citizen,"3,000","1,000","2,000",500,*,*,D,D,*,*
                              Permanent resident,"1,000",500,"1,000",500,*,*,D,D,*,*
                              Temporary resident,"2,000",500,"2,000",500,*,*,D,D,D,D
                    Political scientists,"1,000",500,"1,000",500,*,*,D,D,D,D
                         U.S. citizen,"1,000",500,"1,000",500,*,*,D,D,D,D
                              Native-born,"1,000",500,"1,000",500,*,*,D,D,D,D
                              Naturalized,D,D,D,D,D,D,D,D,D,D
                         Non-U.S. citizen,D,D,D,D,D,D,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,D,D,D,D,D,D,D,D,D,D
                    Postsecondary teachers - social/ related sciences,"87,000","3,500",D,D,"82,000","3,500","5,000","1,000",D,D
                         U.S. citizen,"79,000","3,500",D,D,"75,000","3,500","4,000","1,000",D,D
                              Native-born,"71,000","3,000",D,D,"67,000","3,000","4,000","1,000",D,D
                              Naturalized,"8,000","1,000",D,D,"7,000","1,000","1,000",500,D,D
                         Non-U.S. citizen,"8,000","1,000",D,D,"8,000","1,000",*,*,D,D
                              Permanent resident,"7,000","1,000",D,D,"6,000","1,000",*,*,D,D
                              Temporary resident,"2,000",500,D,D,"2,000",500,D,D,D,D
                    Psychologists,"60,000","2,000","38,000","2,000","7,000","1,000","3,000",500,"11,000","1,500"
                         U.S. citizen,"58,000","2,000","38,000","2,000","7,000","1,000","3,000",500,"11,000","1,500"
                              Native-born,"54,000","2,000","35,000","1,500","6,000","1,000","2,000",500,"10,000","1,000"
                              Naturalized,"4,000","1,000","2,000",500,*,*,*,*,"2,000","1,000"
                         Non-U.S. citizen,"1,000",500,"1,000",500,*,*,D,D,D,D
                              Permanent resident,"1,000",500,"1,000",500,*,*,D,D,D,D
                              Temporary resident,*,*,*,*,*,*,D,D,D,D
                    Sociologists and anthropologists,"5,000","1,000","1,000",500,"3,000","1,000",D,D,"1,000",500
                         U.S. citizen,"5,000","1,000","1,000",500,"3,000","1,000",D,D,"1,000",500
                              Native-born,"5,000","1,000","1,000",500,"3,000","1,000",D,D,"1,000",500
                              Naturalized,*,*,*,*,*,*,D,D,D,D
                         Non-U.S. citizen,*,*,D,D,*,*,D,D,D,D
                              Permanent resident,*,*,D,D,D,D,D,D,D,D
                              Temporary resident,D,D,D,D,D,D,D,D,D,D
                    Other social and related scientists,"11,000","1,500","5,000","1,000","4,000","1,000",*,*,"2,000",500
                         U.S. citizen,"9,000","1,000","4,000","1,000","3,000","1,000",*,*,"2,000",500
                              Native-born,"9,000","1,000","4,000","1,000","3,000","1,000",*,*,"1,000",500
                              Naturalized,"1,000",500,*,*,*,*,*,*,*,*
                         Non-U.S. citizen,"2,000","1,000","1,000",500,"1,000",500,D,D,D,D
                              Permanent resident,"1,000",500,S,S,*,*,D,D,D,D
                              Temporary resident,S,S,D,D,S,S,D,D,D,D
          Engineering occupations,"118,000","3,000","73,000","2,500","35,000","2,000",*,*,"9,000","1,000"
               U.S. citizen,"81,000","2,000","49,000","2,000","24,000","1,000",*,*,"7,000","1,000"
                    Native-born,"51,000","1,500","30,000","1,500","16,000","1,000",*,*,"5,000",500
                    Naturalized,"30,000","1,500","19,000","1,500","8,000","1,000",D,D,"2,000",500
               Non-U.S. citizen,"37,000","2,000","24,000","1,500","12,000","1,500",D,D,"1,000",500
                    Permanent resident,"21,000","1,500","15,000","1,000","6,000","1,000",D,D,"1,000",500
                    Temporary resident,"16,000","2,000","9,000","1,500","6,000","1,500",D,D,S,S
               Aeronautical/ aerospace/ astronautical engineers,"6,000","1,000","5,000",500,*,*,D,D,"2,000",500
                    U.S. citizen,"6,000","1,000","4,000",500,*,*,D,D,"2,000",500
                         Native-born,"4,000",500,"3,000",500,*,*,D,D,"1,000",500
                         Naturalized,"2,000",500,"1,000",500,D,D,D,D,*,*
                    Non-U.S. citizen,"1,000",500,*,*,D,D,D,D,D,D
                         Permanent resident,*,*,*,*,D,D,D,D,D,D
                         Temporary resident,*,*,D,D,D,D,D,D,D,D
               Chemical engineers,"10,000","1,000","8,000","1,000","1,000",500,D,D,*,*
                    U.S. citizen,"7,000","1,000","6,000","1,000",*,*,D,D,*,*
                         Native-born,"5,000","1,000","4,000","1,000",*,*,D,D,*,*
                         Naturalized,"2,000",500,"2,000",500,D,D,D,D,D,D
                    Non-U.S. citizen,"3,000","1,000","2,000",500,"1,000",500,D,D,D,D
                         Permanent resident,"2,000",500,"1,000",500,*,*,D,D,D,D
                         Temporary resident,"1,000",500,"1,000",500,S,S,D,D,D,D
"               Civil, including architectural/ sanitary engineers","6,000","1,000","4,000",500,"1,000",500,D,D,"1,000",500
                    U.S. citizen,"4,000",500,"2,000",500,*,*,D,D,"1,000",500
                         Native-born,"2,000",500,"1,000",500,*,*,D,D,"1,000",500
                         Naturalized,"1,000",500,"1,000",500,D,D,D,D,*,*
                    Non-U.S. citizen,"2,000",500,"1,000",500,"1,000",500,D,D,*,*
                         Permanent resident,"1,000",500,"1,000",500,D,D,D,D,*,*
                         Temporary resident,"1,000",500,"1,000",500,*,*,D,D,D,D
               Electrical/ computer hardware engineers,"26,000","1,500","23,000","1,500","2,000","1,000",D,D,"1,000",500
                    U.S. citizen,"16,000","1,000","13,000","1,000","1,000",500,D,D,"1,000",500
                         Native-born,"8,000","1,000","7,000","1,000","1,000",500,D,D,"1,000",500
                         Naturalized,"7,000","1,000","7,000","1,000",*,*,D,D,*,*
                    Non-U.S. citizen,"11,000","1,500","10,000","1,000",S,S,D,D,D,D
                         Permanent resident,"7,000","1,000","6,000","1,000",S,S,D,D,D,D
                         Temporary resident,"4,000","1,000","4,000","1,000",*,*,D,D,D,D
               Industrial engineers,"2,000",500,"1,000",500,S,S,D,D,D,D
                    U.S. citizen,"1,000",500,"1,000",500,D,D,D,D,D,D
                         Native-born,"1,000",500,*,*,D,D,D,D,D,D
                         Naturalized,*,*,*,*,D,D,D,D,D,D
                    Non-U.S. citizen,"1,000",500,*,*,S,S,D,D,D,D
                         Permanent resident,*,*,*,*,D,D,D,D,D,D
                         Temporary resident,S,S,D,D,S,S,D,D,D,D
               Mechanical engineers,"13,000","1,500","10,000","1,000","2,000","1,000",D,D,"1,000",500
                    U.S. citizen,"8,000","1,000","7,000","1,000","1,000",500,D,D,"1,000",500
                         Native-born,"5,000","1,000","4,000","1,000",*,*,D,D,*,*
                         Naturalized,"3,000",500,"3,000",500,*,*,D,D,*,*
                    Non-U.S. citizen,"5,000","1,000","3,000",500,"1,000","1,000",D,D,D,D
                         Permanent resident,"2,000",500,"2,000",500,*,*,D,D,D,D
                         Temporary resident,"3,000","1,000","1,000",500,S,S,D,D,D,D
               Postsecondary teachers - engineering,"24,000","1,000",D,D,"24,000","1,000",*,*,D,D
                    U.S. citizen,"19,000","1,000",D,D,"19,000","1,000",*,*,D,D
                         Native-born,"12,000","1,000",D,D,"12,000","1,000",*,*,D,D
                         Naturalized,"7,000","1,000",D,D,"7,000","1,000",D,D,D,D
                    Non-U.S. citizen,"5,000",500,D,D,"5,000",500,D,D,D,D
                         Permanent resident,"4,000",500,D,D,"4,000",500,D,D,D,D
                         Temporary resident,"1,000",500,D,D,"1,000",500,D,D,D,D
               Other engineers,"31,000","1,500","23,000","1,500","4,000","1,000",D,D,"3,000",500
                    U.S. citizen,"21,000","1,000","16,000","1,000","2,000",500,D,D,"3,000",500
                         Native-born,"14,000","1,000","10,000","1,000","1,000",500,D,D,"2,000",500
                         Naturalized,"7,000","1,000","6,000","1,000",*,*,D,D,"1,000",500
                    Non-U.S. citizen,"10,000","1,500","7,000","1,000","2,000","1,000",D,D,*,*
                         Permanent resident,"6,000","1,000","5,000","1,000","1,000",500,D,D,*,*
                         Temporary resident,"4,000","1,000","3,000","1,000","2,000","1,000",D,D,D,D
     S&E-related occupations,"168,000","10,500","79,000","7,500","49,000","3,000","25,000","6,000","15,000","2,500"
          U.S. citizen,"141,000","9,000","64,000","6,000","40,000","2,500","24,000","6,000","13,000","2,000"
               Native-born,"110,000","8,000","46,000","4,500","33,000","2,500","23,000","6,000","9,000","1,500"
               Naturalized,"31,000","4,500","18,000","3,500","7,000","1,000","1,000",500,"4,000","2,000"
          Non-U.S. citizen,"26,000","4,500","15,000","4,000","9,000","2,000",*,*,S,S
               Permanent resident,"20,000","4,000","13,000","4,000","6,000","1,500",*,*,S,S
               Temporary resident,"6,000","2,000","2,000",500,"4,000","1,500",*,*,*,*
          Health and related,"92,000","7,000","41,000","6,500","42,000","3,000","3,000","1,500","6,000","2,000"
               U.S. citizen,"76,000","6,000","33,000","5,500","35,000","2,500","3,000","1,500","5,000","1,500"
                    Native-born,"59,000","4,500","25,000","4,000","29,000","2,500","3,000","1,500","3,000","1,000"
                    Naturalized,"17,000","4,000","8,000","3,500","6,000","1,000",D,D,S,S
               Non-U.S. citizen,"16,000","4,500","8,000","3,500","7,000","2,000",D,D,D,D
                    Permanent resident,"14,000","4,000","8,000","3,500","5,000","1,500",D,D,D,D
                    Temporary resident,S,S,*,*,S,S,D,D,D,D
          S&E manager,"39,000","3,000","28,000","2,500","4,000","1,000",*,*,"7,000","1,500"
               U.S. citizen,"35,000","3,000","24,000","2,500","4,000",500,*,*,"6,000","1,500"
                    Native-born,"28,000","2,500","19,000","2,000","3,000",500,*,*,"6,000","1,500"
                    Naturalized,"7,000","1,000","6,000","1,000",*,*,D,D,"1,000",500
               Non-U.S. citizen,"5,000","1,000","4,000","1,000",*,*,D,D,S,S
                    Permanent resident,"4,000","1,000","3,000","1,000",*,*,D,D,D,D
                    Temporary resident,"1,000",500,*,*,D,D,D,D,D,D
          S&E precollege teacher,"22,000","5,500",D,D,D,D,"22,000","5,500",D,D
               U.S. citizen,"21,000","5,500",D,D,D,D,"21,000","5,500",D,D
                    Native-born,"20,000","5,500",D,D,D,D,"20,000","5,500",D,D
                    Naturalized,"1,000",500,D,D,D,D,"1,000",500,D,D
               Non-U.S. citizen,*,*,D,D,D,D,*,*,D,D
                    Permanent resident,*,*,D,D,D,D,*,*,D,D
                    Temporary resident,*,*,D,D,D,D,*,*,D,D
          S&E technician/ technologist,"13,000","2,000","9,000","1,500","3,000","1,000",D,D,S,S
               U.S. citizen,"9,000","1,500","6,000","1,500","1,000",500,D,D,S,S
                    Native-born,"3,000","1,000","2,000","1,000","1,000",500,D,D,D,D
                    Naturalized,"6,000","1,500","4,000","1,000",S,S,D,D,S,S
               Non-U.S. citizen,"5,000","1,000","3,000","1,000","2,000","1,000",D,D,D,D
                    Permanent resident,"2,000","1,000","2,000","1,000",*,*,D,D,D,D
                    Temporary resident,"2,000","1,000","1,000",500,"1,000","1,000",D,D,D,D
          Other S&E-related,"1,000",500,"1,000",500,D,D,D,D,D,D
               U.S. citizen,"1,000",500,"1,000",500,D,D,D,D,D,D
                    Native-born,"1,000",500,"1,000",500,D,D,D,D,D,D
                    Naturalized,S,S,*,*,D,D,D,D,D,D
               Non-U.S. citizen,D,D,D,D,D,D,D,D,D,D
                    Permanent resident,D,D,D,D,D,D,D,D,D,D
                    Temporary resident,D,D,D,D,D,D,D,D,D,D
     Non-S&E occupations,"279,000","9,000","140,000","6,500","103,000","6,000","23,000","3,500","13,000","1,500"
          U.S. citizen,"250,000","8,500","123,000","6,000","92,000","6,000","23,000","3,500","13,000","1,500"
               Native-born,"209,000","8,000","95,000","5,000","82,000","5,500","21,000","3,500","11,000","1,500"
               Naturalized,"41,000","3,000","28,000","3,000","10,000","1,500","2,000",500,"2,000",500
          Non-U.S. citizen,"29,000","3,000","17,000","2,500","11,000","1,500",*,*,*,*
               Permanent resident,"23,000","3,000","14,000","2,500","9,000","1,500",*,*,*,*
               Temporary resident,"5,000","1,000","3,000","1,000","2,000","1,000",D,D,D,D
          Arts/ humanities/ related,"11,000","1,500","10,000","1,500","1,000",500,D,D,*,*
               U.S. citizen,"10,000","1,500","9,000","1,500","1,000",500,D,D,*,*
                    Native-born,"9,000","1,500","8,000","1,500","1,000",500,D,D,*,*
                    Naturalized,"1,000",500,"1,000",500,D,D,D,D,D,D
               Non-U.S. citizen,S,S,S,S,D,D,D,D,D,D
                    Permanent resident,S,S,S,S,D,D,D,D,D,D
                    Temporary resident,D,D,D,D,D,D,D,D,D,D
          Management-related,"37,000","2,500","26,000","2,500","5,000","1,000","1,000",500,"4,000","1,000"
               U.S. citizen,"33,000","2,500","23,000","2,500","5,000","1,000","1,000",500,"4,000","1,000"
                    Native-born,"26,000","2,500","18,000","2,000","4,000","1,000","1,000",500,"4,000","1,000"
                    Naturalized,"7,000","1,500","5,000","1,000","1,000",500,D,D,"1,000",500
               Non-U.S. citizen,"4,000","1,000","4,000","1,000",*,*,D,D,D,D
                    Permanent resident,"3,000","1,000","2,000","1,000",*,*,D,D,D,D
                    Temporary resident,"2,000","1,000","1,000","1,000",D,D,D,D,D,D
          Non-S&E manager,"90,000","4,500","51,000","3,000","28,000","3,000","8,000","2,000","4,000","1,000"
               U.S. citizen,"83,000","4,000","45,000","2,500","27,000","3,000","8,000","2,000","4,000","1,000"
                    Native-born,"67,000","4,000","31,000","2,000","25,000","2,500","7,000","2,000","3,000","1,000"
                    Naturalized,"16,000","1,500","13,000","1,500","2,000",500,*,*,*,*
               Non-U.S. citizen,"7,000","1,500","6,000","1,500",S,S,D,D,D,D
                    Permanent resident,"6,000","1,500","5,000","1,500",S,S,D,D,D,D
                    Temporary resident,"1,000",500,"1,000",500,D,D,D,D,D,D
          Non-S&E postsecondary teacher,"64,000","4,500",D,D,"60,000","4,500","4,000","1,000",D,D
               U.S. citizen,"56,000","4,500",D,D,"52,000","4,500","4,000","1,000",D,D
                    Native-born,"48,000","4,500",D,D,"45,000","4,000","3,000","1,000",D,D
                    Naturalized,"8,000","1,500",D,D,"7,000","1,500",S,S,D,D
               Non-U.S. citizen,"8,000","1,500",D,D,"8,000","1,500",D,D,D,D
                    Permanent resident,"6,000","1,500",D,D,"6,000","1,500",D,D,D,D
                    Temporary resident,"2,000","1,000",D,D,"2,000","1,000",D,D,D,D
          Non-S&E precollege/ other teacher,"8,000","2,500",D,D,D,D,"8,000","2,500",D,D
               U.S. citizen,"8,000","2,500",D,D,D,D,"8,000","2,500",D,D
                    Native-born,"7,000","2,500",D,D,D,D,"7,000","2,500",D,D
                    Naturalized,"1,000",500,D,D,D,D,"1,000",500,D,D
               Non-U.S. citizen,D,D,D,D,D,D,D,D,D,D
                    Permanent resident,D,D,D,D,D,D,D,D,D,D
                    Temporary resident,D,D,D,D,D,D,D,D,D,D
          Sales/ marketing,"15,000","2,500","14,000","2,500",D,D,D,D,D,D
               U.S. citizen,"14,000","2,500","14,000","2,500",D,D,D,D,D,D
                    Native-born,"11,000","2,500","11,000","2,500",D,D,D,D,D,D
                    Naturalized,"3,000",500,"3,000",500,D,D,D,D,D,D
               Non-U.S. citizen,"1,000",500,"1,000",500,D,D,D,D,D,D
                    Permanent resident,"1,000",500,"1,000",500,D,D,D,D,D,D
                    Temporary resident,*,*,*,*,D,D,D,D,D,D
          Social service/ related,"20,000","3,000","15,000","3,000","3,000","1,000",S,S,S,S
               U.S. citizen,"20,000","3,000","14,000","3,000","3,000","1,000",S,S,S,S
