"Table 14-4. Median annual salaries of employed U.S. scientists and engineers with a doctorate as the highest degree, by occupation, citizenship status, and employment sector: 2013",,,,,,,,,,
,,,,,,,,,,
"Level of highest degree, occupation, and citizenship status             ",,,Sector of employment,,,,,,,
,Employed scientists and engineers,,Business/ industry,,4-year college/ university,,Other educational institution,,Government,
               Computer/ mathematical scientists,"100,000",500,"115,000","2,000","78,000","4,000","60,000","11,000","109,000","6,500"
                    U.S. citizen,"100,000",500,"117,000","4,500","80,000","2,500","62,000","15,000","110,000","8,000"
                         Native-born,"90,000","4,500","115,000","6,500","73,000","5,500",S,S,"105,000","7,500"
                         Naturalized,"110,000","4,000","117,000","4,500","92,000","5,500","69,000","10,000","120,000","3,000"
                    Non-U.S. citizen,"99,000","5,000","115,000",500,"70,000","9,500",*,*,"93,000","10,000"
                         Permanent resident,"101,000","8,000","115,000","3,000","83,000","5,000",*,*,*,*
                         Temporary resident,"84,000","4,000","106,000","6,000","55,000","11,000",D,D,*,*
                    Computer and information scientists,"112,000","4,000","115,000","1,500","56,000","17,500",D,D,"115,000","6,000"
                         U.S. citizen,"112,000","3,500","115,000","5,000","70,000","32,000",D,D,"116,000","2,000"
                              Native-born,"106,000","7,000","114,000","7,500",S,S,D,D,"115,000","2,500"
                              Naturalized,"116,000","3,500","117,000","4,000","100,000","21,000",D,D,"117,000","10,000"
                         Non-U.S. citizen,"110,000","9,000","115,000","1,000","52,000","5,500",D,D,*,*
                              Permanent resident,"114,000","1,000","115,000","3,500","85,000","30,500",D,D,*,*
                              Temporary resident,"100,000","4,000","108,000","4,500",S,S,D,D,*,*
                    Mathematical scientists,"100,000","7,000","117,000","4,500","59,000","7,500",*,*,"101,000","10,000"
                         U.S. citizen,"110,000","3,500","119,000","3,000","71,000","7,000",*,*,"103,000","12,500"
                              Native-born,"106,000","7,000","119,000","3,000","65,000","5,500",D,D,"90,000","7,000"
                              Naturalized,"115,000","7,500","120,000","8,000","76,000","16,500",D,D,"123,000","7,000"
                         Non-U.S. citizen,"90,000","7,500","112,000","5,500","44,000","20,000",D,D,*,*
                              Permanent resident,"100,000","15,000","116,000","4,500","73,000","1,500",D,D,*,*
                              Temporary resident,"58,000","18,000","94,000","6,500",S,S,D,D,D,D
                    Postsecondary teachers - computer/ math sciences,"80,000","1,000",D,D,"81,000","3,500","55,000","16,000",D,D
                         U.S. citizen,"80,000","2,500",D,D,"80,000","2,500","58,000","24,000",D,D
                              Native-born,"73,000","6,000",D,D,"75,000","5,000",S,S,D,D
                              Naturalized,"90,000","3,000",D,D,"92,000","5,000",*,*,D,D
                         Non-U.S. citizen,"83,000","6,000",D,D,"83,000","3,500",*,*,D,D
                              Permanent resident,"83,000","4,500",D,D,"85,000","5,500",*,*,D,D
                              Temporary resident,"81,000","25,000",D,D,"83,000","25,500",D,D,D,D
               Physical/ related scientists,"90,000","1,000","110,000",500,"72,000","2,000","58,000","4,500","108,000",500
                    U.S. citizen,"96,000","2,500","113,000","4,000","78,000","3,000","55,000","9,000","110,000","3,500"
                         Native-born,"90,000","2,500","115,000","2,000","75,000","2,500","58,000","3,500","109,000","2,500"
                         Naturalized,"108,000","3,500","110,000","1,000","95,000","12,000","50,000","3,500","114,000","1,500"
                    Non-U.S. citizen,"75,000","2,500","99,000","6,000","59,000","4,000",*,*,"107,000","8,000"
                         Permanent resident,"84,000","6,000","105,000","9,000","71,000","4,500",*,*,"116,000","3,500"
                         Temporary resident,"53,000","7,000","75,000","11,000","43,000","2,500",D,D,"85,000","12,500"
"                    Chemists, except biochemists","101,000","4,000","109,000","1,500","41,000","4,500",D,D,"99,000","7,500"
                         U.S. citizen,"109,000","1,000","110,000",500,"54,000","8,000",D,D,"105,000","8,500"
                              Native-born,"108,000","6,000","111,000","3,000","49,000","8,500",D,D,"97,000","6,000"
                              Naturalized,"110,000",500,"110,000","1,000",*,*,D,D,"114,000","2,000"
                         Non-U.S. citizen,"69,000","9,500","90,000","5,000","38,000","4,000",D,D,*,*
                              Permanent resident,"89,000","4,500","96,000","3,500",*,*,D,D,D,D
                              Temporary resident,"45,000","9,500","74,000","33,500","37,000","4,000",D,D,*,*
                    Earth/ atmospheric/ ocean scientists,"96,000","8,500","120,000","7,000","60,000","8,500",D,D,"106,000","4,000"
                         U.S. citizen,"99,000","5,000","119,000","4,500","59,000","8,000",D,D,"109,000","3,500"
                              Native-born,"99,000","7,500","117,000","4,500","53,000","12,500",D,D,"111,000","7,000"
                              Naturalized,"99,000","7,500","120,000","27,500",*,*,D,D,"108,000","4,500"
                         Non-U.S. citizen,"80,000","6,500","137,000","17,000","67,000","7,000",D,D,*,*
                              Permanent resident,"101,000","14,500","144,000","31,500","73,000","11,500",D,D,D,D
                              Temporary resident,"53,000","10,000",*,*,*,*,D,D,*,*
                    Physicists and astronomers,"108,000","1,000","119,000","2,500","55,000","2,500",D,D,"109,000","6,000"
                         U.S. citizen,"112,000","4,500","120,000","6,000","60,000","3,500",D,D,"117,000","6,000"
                              Native-born,"110,000","2,500","123,000","3,500","59,000","3,000",D,D,"113,000","5,500"
                              Naturalized,"120,000","6,000","118,000","6,500","88,000","34,500",D,D,"134,000","1,500"
                         Non-U.S. citizen,"94,000","25,000","100,000","4,500","44,000","7,000",D,D,"107,000","2,500"
                              Permanent resident,"116,000","8,000","111,000","12,000",S,S,D,D,S,S
                              Temporary resident,"63,000","20,500",*,*,"43,000","6,000",D,D,D,D
                    Postsecondary teachers - physical/ related sciences,"75,000","2,500",D,D,"78,000","3,000","57,000","6,000",D,D
                         U.S. citizen,"79,000","2,500",D,D,"81,000","2,500","55,000","9,000",D,D
                              Native-born,"75,000","1,500",D,D,"78,000","2,000","58,000","3,500",D,D
                              Naturalized,"95,000","13,500",D,D,"101,000","8,000","50,000","3,500",D,D
                         Non-U.S. citizen,"68,000","5,000",D,D,"68,000","6,000",*,*,D,D
                              Permanent resident,"70,000","8,000",D,D,"71,000","7,500",*,*,D,D
                              Temporary resident,"52,000","4,000",D,D,"53,000","4,500",D,D,D,D
                    Other physical/ related scientists,"105,000","6,000","116,000","7,500","79,000","6,000",D,D,"104,000","6,000"
                         U.S. citizen,"105,000","6,000","116,000","13,500","83,000","7,000",D,D,"105,000","6,000"
                              Native-born,"108,000","8,500","117,000","8,500","89,000","11,500",D,D,"105,000","5,500"
                              Naturalized,"88,000","16,500",S,S,*,*,D,D,*,*
                         Non-U.S. citizen,"97,000","16,500","116,000","10,500",*,*,D,D,D,D
                              Permanent resident,"114,000","17,500",*,*,*,*,D,D,D,D
                              Temporary resident,*,*,*,*,*,*,D,D,D,D
"               Social science, psychology","75,000",500,"85,000","1,000","70,000","2,000","66,000","5,000","92,000","2,500"
                    U.S. citizen,"75,000","1,500","84,000","4,500","70,000","2,500","69,000","4,500","92,000","2,500"
                         Native-born,"74,000","3,000","84,000","5,000","69,000","1,500","69,000","4,500","92,000","1,500"
                         Naturalized,"80,000","4,000","85,000","9,500","79,000","7,000","63,000","10,000","83,000","26,500"
                    Non-U.S. citizen,"75,000","2,500","112,000","15,000","70,000","4,500",S,S,*,*
                         Permanent resident,"75,000","1,500","98,000","16,000","75,000","4,000",*,*,*,*
                         Temporary resident,"78,000","11,500","121,000","40,500","58,000","7,500",D,D,D,D
                    Economists,"127,000","8,500","139,000","8,000","72,000","11,500",D,D,"129,000","3,500"
                         U.S. citizen,"129,000","6,500","138,000","13,500","80,000","6,500",D,D,"129,000","4,000"
                              Native-born,"128,000","7,000","137,000","15,000","80,000","6,000",D,D,"129,000","4,000"
                              Naturalized,"128,000","30,000","125,000","28,500",D,D,D,D,*,*
                         Non-U.S. citizen,"120,000","17,000","139,000","20,500",*,*,D,D,*,*
                              Permanent resident,"129,000","15,000","134,000","11,000",*,*,D,D,*,*
                              Temporary resident,"118,000","21,500","150,000","51,500",*,*,D,D,D,D
                    Political scientists,"121,000","11,500","125,000","20,000",*,*,D,D,D,D
                         U.S. citizen,"123,000","15,500","128,000","22,500",*,*,D,D,D,D
                              Native-born,"124,000","14,500","128,000","22,500",*,*,D,D,D,D
                              Naturalized,D,D,D,D,D,D,D,D,D,D
                         Non-U.S. citizen,D,D,D,D,D,D,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,D,D,D,D,D,D,D,D,D,D
                    Postsecondary teachers - social/ related sciences,"70,000","2,000",D,D,"71,000","2,500","61,000","4,500",D,D
                         U.S. citizen,"70,000","1,500",D,D,"71,000","2,500","62,000","4,000",D,D
                              Native-born,"70,000","1,000",D,D,"70,000","2,500","58,000","8,000",D,D
                              Naturalized,"75,000","7,500",D,D,"79,000","8,000","63,000",500,D,D
                         Non-U.S. citizen,"73,000","4,000",D,D,"75,000","3,000",*,*,D,D
                              Permanent resident,"72,000","5,000",D,D,"75,000","3,500",*,*,D,D
                              Temporary resident,"73,000","2,000",D,D,"73,000","2,000",D,D,D,D
                    Psychologists,"77,000","3,000","77,000","4,000","56,000","3,500","81,000","3,500","86,000","6,000"
                         U.S. citizen,"77,000","3,000","78,000","4,000","56,000","3,500","81,000","2,500","85,000","6,000"
                              Native-born,"78,000","3,000","78,000","6,000","56,000","3,500","81,000","2,500","89,000","4,000"
                              Naturalized,"72,000","10,500","77,000","3,000",*,*,*,*,D,D
                         Non-U.S. citizen,"61,000","17,500","57,000","24,000",*,*,D,D,D,D
                              Permanent resident,"61,000","23,500","49,000","17,000",*,*,D,D,D,D
                              Temporary resident,*,*,*,*,*,*,D,D,D,D
                    Sociologists and anthropologists,"51,000","16,500","74,000","16,000","40,000",500,D,D,"97,000","8,500"
                         U.S. citizen,"49,000","18,500","73,000","20,500","40,000",500,D,D,"97,000","8,500"
                              Native-born,"45,000","20,000","85,000","18,000","40,000",500,D,D,"97,000","9,500"
                              Naturalized,*,*,*,*,*,*,D,D,D,D
                         Non-U.S. citizen,*,*,D,D,*,*,D,D,D,D
                              Permanent resident,*,*,D,D,D,D,D,D,D,D
                              Temporary resident,D,D,D,D,D,D,D,D,D,D
                    Other social and related scientists,"83,000","5,000","100,000","10,500","57,000","10,500",*,*,"87,000","7,000"
                         U.S. citizen,"84,000","4,000","104,000","10,500","65,000","4,500",*,*,"88,000","6,000"
                              Native-born,"84,000","4,000","106,000","11,500","62,000","9,500",*,*,"87,000","6,500"
                              Naturalized,"96,000","5,000",*,*,*,*,*,*,*,*
                         Non-U.S. citizen,"56,000","13,500","89,000","26,000","42,000","1,500",D,D,D,D
                              Permanent resident,"76,000","35,000",S,S,*,*,D,D,D,D
                              Temporary resident,S,S,D,D,S,S,D,D,D,D
          Engineering occupations,"109,000","2,000","120,000","1,000","90,000",500,*,*,"106,000","3,500"
               U.S. citizen,"120,000",500,"125,000","3,500","100,000","2,500",*,*,"113,000","5,000"
                    Native-born,"115,000","2,000","121,000","3,500","99,000","1,500",*,*,"114,000","4,000"
                    Naturalized,"122,000","3,500","130,000",500,"109,000","5,000",D,D,"109,000","6,500"
               Non-U.S. citizen,"91,000","3,500","100,000",500,"64,000","7,000",D,D,"70,000","8,000"
                    Permanent resident,"100,000","2,000","110,000","2,000","85,000","6,000",D,D,"76,000","6,000"
                    Temporary resident,"79,000","1,000","90,000","1,500","43,000","2,500",D,D,S,S
               Aeronautical/ aerospace/ astronautical engineers,"125,000","4,500","131,000","6,000",*,*,D,D,"117,000","3,500"
                    U.S. citizen,"128,000","3,000","139,000","8,000",*,*,D,D,"117,000","3,000"
                         Native-born,"125,000","4,000","133,000","8,500",*,*,D,D,"115,000","10,500"
                         Naturalized,"137,000","15,000","135,000","5,500",D,D,D,D,*,*
                    Non-U.S. citizen,"99,000","1,500",*,*,D,D,D,D,D,D
                         Permanent resident,*,*,*,*,D,D,D,D,D,D
                         Temporary resident,*,*,D,D,D,D,D,D,D,D
               Chemical engineers,"113,000","7,000","119,000","3,500","44,000","1,500",D,D,*,*
                    U.S. citizen,"124,000","9,000","130,000","5,500",*,*,D,D,*,*
                         Native-born,"121,000","9,000","127,000","10,500",*,*,D,D,*,*
                         Naturalized,"130,000","5,500","131,000","7,500",D,D,D,D,D,D
                    Non-U.S. citizen,"88,000","5,000","98,000","4,000","44,000","3,000",D,D,D,D
                         Permanent resident,"99,000","2,000","103,000","8,500",*,*,D,D,D,D
                         Temporary resident,"71,000","19,000","85,000","3,500",S,S,D,D,D,D
"               Civil, including architectural/ sanitary engineers","94,000","6,500","98,000","8,500","67,000","15,000",D,D,"97,000","8,500"
                    U.S. citizen,"102,000","6,000","106,000","4,500",*,*,D,D,"99,000","2,500"
                         Native-born,"87,000","7,000","84,000","4,500",*,*,D,D,"100,000","6,000"
                         Naturalized,"110,000","7,500","121,000","21,500",D,D,D,D,*,*
                    Non-U.S. citizen,"81,000","7,000","85,000","11,000","61,000","30,000",D,D,*,*
                         Permanent resident,"84,000","6,000","85,000","8,500",D,D,D,D,*,*
                         Temporary resident,"75,000","16,500","86,000","26,500",*,*,D,D,D,D
               Electrical/ computer hardware engineers,"125,000","3,000","129,000","2,500","87,000","1,500",D,D,"126,000","11,000"
                    U.S. citizen,"135,000","4,500","139,000","2,500","94,000","14,000",D,D,"128,000","4,500"
                         Native-born,"130,000","2,000","136,000","3,000","94,000","14,000",D,D,"124,000","10,000"
                         Naturalized,"139,000","4,500","139,000","3,000",*,*,D,D,*,*
                    Non-U.S. citizen,"109,000","4,000","111,000","5,000",S,S,D,D,D,D
                         Permanent resident,"120,000","2,500","127,000","9,500",S,S,D,D,D,D
                         Temporary resident,"98,000","8,000","98,000","5,000",*,*,D,D,D,D
               Industrial engineers,"84,000","28,500","103,000","7,000",S,S,D,D,D,D
                    U.S. citizen,"101,000","8,000","100,000","7,000",D,D,D,D,D,D
                         Native-born,"103,000","12,000",*,*,D,D,D,D,D,D
                         Naturalized,*,*,*,*,D,D,D,D,D,D
                    Non-U.S. citizen,D,D,*,*,S,S,D,D,D,D
                         Permanent resident,*,*,*,*,D,D,D,D,D,D
                         Temporary resident,S,S,D,D,S,S,D,D,D,D
               Mechanical engineers,"102,000","6,500","109,000","2,000",S,S,D,D,"88,000","11,500"
                    U.S. citizen,"114,000","4,000","115,000","4,500","95,000","11,500",D,D,"116,000","11,500"
                         Native-born,"113,000","5,500","113,000","5,000",*,*,D,D,*,*
                         Naturalized,"123,000","9,000","126,000","7,500",*,*,D,D,*,*
                    Non-U.S. citizen,"85,000","12,000","94,000","2,000",S,S,D,D,D,D
                         Permanent resident,"99,000","5,000","99,000","11,000",*,*,D,D,D,D
                         Temporary resident,"64,000","16,500","91,000","4,000",S,S,D,D,D,D
               Postsecondary teachers - engineering,"100,000",500,D,D,"100,000",500,*,*,D,D
                    U.S. citizen,"105,000","2,500",D,D,"105,000","2,500",*,*,D,D
                         Native-born,"101,000","2,500",D,D,"101,000","2,500",*,*,D,D
                         Naturalized,"112,000","8,000",D,D,"114,000","8,000",D,D,D,D
                    Non-U.S. citizen,"80,000","1,500",D,D,"80,000","2,000",D,D,D,D
                         Permanent resident,"84,000","6,000",D,D,"84,000","6,000",D,D,D,D
                         Temporary resident,"67,000","8,500",D,D,"67,000","8,500",D,D,D,D
               Other engineers,"101,000","5,000","109,000","3,500","48,000","8,500",D,D,"103,000","8,000"
                    U.S. citizen,"112,000","4,000","120,000","2,000","75,000","14,000",D,D,"106,000","5,500"
                         Native-born,"112,000","4,500","119,000","4,500","79,000","6,500",D,D,"110,000","9,500"
                         Naturalized,"112,000","7,500","119,000","2,500",*,*,D,D,"105,000","6,500"
                    Non-U.S. citizen,"80,000","7,500","94,000","8,000","43,000","3,500",D,D,*,*
                         Permanent resident,"98,000","4,000","100,000","3,500","70,000","11,500",D,D,*,*
                         Temporary resident,"76,000","2,500","79,000","2,500","42,000","2,000",D,D,D,D
     S&E-related occupations,"94,000","3,500","115,000","12,500","85,000","4,000","59,000","10,500","120,000","4,500"
          U.S. citizen,"95,000","3,500","120,000","8,500","88,000","4,500","59,000","11,000","128,000","17,500"
               Native-born,"88,000","5,500","102,000","4,000","86,000","5,000","59,000","11,000","129,000","14,000"
               Naturalized,"134,000","4,000","135,000","13,500","95,000","10,000","65,000","9,000",S,S
          Non-U.S. citizen,"91,000","3,500","91,000","3,500","64,000","17,500",*,*,S,S
               Permanent resident,"92,000","13,000","91,000","4,500",S,S,*,*,S,S
               Temporary resident,"54,000","9,500","88,000","10,500","52,000","3,000",*,*,*,*
          Health and related,"92,000","3,000","92,000","3,000","87,000","5,000",S,S,"120,000","13,000"
               U.S. citizen,"94,000","3,500","95,000","16,500","87,000","4,500",S,S,"136,000","26,500"
                    Native-born,"86,000","6,500","90,000","19,000","84,000","2,500",S,S,"110,000","9,000"
                    Naturalized,"135,000","5,500","134,000","7,500","100,000","5,500",D,D,S,S
               Non-U.S. citizen,"91,000","9,000","90,000","23,500","90,000","35,000",D,D,D,D
                    Permanent resident,"91,000","3,000","90,000","24,500",S,S,D,D,D,D
                    Temporary resident,S,S,*,*,S,S,D,D,D,D
          S&E manager,"136,000","8,500","140,000","6,500","108,000","6,000",*,*,"129,000","14,000"
               U.S. citizen,"139,000","6,500","143,000","9,000","114,000","11,000",*,*,"138,000","16,000"
                    Native-born,"133,000","10,000","134,000","12,500","114,000","13,000",*,*,"140,000","14,500"
                    Naturalized,"149,000","7,000","156,000","9,500",*,*,D,D,"122,000","3,500"
               Non-U.S. citizen,"117,000","11,000","131,000","17,000",*,*,D,D,S,S
                    Permanent resident,"129,000","16,000","139,000","6,000",*,*,D,D,D,D
                    Temporary resident,"80,000","4,500",*,*,D,D,D,D,D,D
          S&E precollege teacher,"59,000","10,500",D,D,D,D,"59,000","10,000",D,D
               U.S. citizen,"59,000","10,500",D,D,D,D,"59,000","10,500",D,D
                    Native-born,"59,000","11,000",D,D,D,D,"59,000","11,000",D,D
                    Naturalized,"60,000","11,000",D,D,D,D,"60,000","11,000",D,D
               Non-U.S. citizen,*,*,D,D,D,D,*,*,D,D
                    Permanent resident,*,*,D,D,D,D,*,*,D,D
                    Temporary resident,*,*,D,D,D,D,*,*,D,D
          S&E technician/ technologist,"95,000","8,500","119,000","7,500","47,000","5,000",D,D,S,S
               U.S. citizen,"102,000","25,000","123,000","11,000","49,000","1,000",D,D,S,S
                    Native-born,"89,000","7,000","95,000","7,500",S,S,D,D,D,D
                    Naturalized,"119,000","16,000","131,000","7,500",S,S,D,D,S,S
               Non-U.S. citizen,"77,000","7,500","98,000","4,500","41,000","6,000",D,D,D,D
                    Permanent resident,"97,000","8,500","100,000","12,500",*,*,D,D,D,D
                    Temporary resident,"61,000","6,500","87,000","13,500",D,D,D,D,D,D
          Other S&E-related,S,S,S,S,D,D,D,D,D,D
               U.S. citizen,"48,000","11,500",S,S,D,D,D,D,D,D
                    Native-born,"45,000","17,000","43,000","18,500",D,D,D,D,D,D
                    Naturalized,S,S,*,*,D,D,D,D,D,D
               Non-U.S. citizen,D,D,D,D,D,D,D,D,D,D
                    Permanent resident,D,D,D,D,D,D,D,D,D,D
                    Temporary resident,D,D,D,D,D,D,D,D,D,D
     Non-S&E occupations,"93,000","4,500","101,000","4,000","88,000","4,500","75,000","5,000","108,000","8,500"
          U.S. citizen,"92,000","3,500","100,000","1,500","89,000","5,000","75,000","5,500","109,000","9,500"
               Native-born,"90,000","4,500","93,000","12,000","90,000","6,500","77,000","5,000","107,000","9,000"
               Naturalized,"110,000","11,000","124,000","6,500","88,000","9,000","62,000","6,500","117,000","5,000"
          Non-U.S. citizen,"104,000","12,000","133,000","8,500","82,000","13,000",*,*,*,*
               Permanent resident,"103,000","20,000","131,000","15,000","83,000","12,500",*,*,*,*
               Temporary resident,"104,000","15,000","148,000","15,500","70,000","19,500",D,D,D,D
          Arts/ humanities/ related,"36,000","11,000","35,000","6,500","57,000","6,000",D,D,*,*
               U.S. citizen,"38,000","12,500","34,000","9,500","57,000","6,000",D,D,*,*
                    Native-born,"38,000","12,000","34,000","11,000","56,000","7,000",D,D,*,*
                    Naturalized,S,S,S,S,D,D,D,D,D,D
               Non-U.S. citizen,S,S,S,S,D,D,D,D,D,D
                    Permanent resident,S,S,S,S,D,D,D,D,D,D
                    Temporary resident,D,D,D,D,D,D,D,D,D,D
          Management-related,"113,000","9,000","120,000","7,000","75,000","14,000","80,000","9,000","115,000","7,500"
               U.S. citizen,"108,000","10,000","119,000","8,000","78,000","13,500","81,000","8,500","116,000","8,000"
                    Native-born,"102,000","2,500","102,000","12,500","75,000","15,000","86,000","7,500","117,000","7,500"
                    Naturalized,"125,000","9,500","131,000","21,500","112,000","31,500",D,D,"112,000","22,500"
               Non-U.S. citizen,"129,000","14,500","144,000","20,000",*,*,D,D,D,D
                    Permanent resident,"119,000","18,000","126,000","10,000",*,*,D,D,D,D
                    Temporary resident,"146,000","2,500","147,000","3,000",D,D,D,D,D,D
          Non-S&E manager,"141,000","4,500","154,000","2,500","130,000","4,500","106,000","16,500","128,000","10,500"
               U.S. citizen,"141,000","5,000","154,000","1,500","130,000","5,500","106,000","18,000","128,000","10,500"
                    Native-born,"135,000","10,500","154,000","3,500","130,000","5,000","105,000","17,500","130,000","13,000"
                    Naturalized,"155,000","6,000","158,000","4,500","149,000","17,500",*,*,*,*
               Non-U.S. citizen,"140,000","21,500","144,000","28,500",S,S,D,D,D,D
                    Permanent resident,"130,000","12,000","132,000","19,500",S,S,D,D,D,D
                    Temporary resident,"188,000","6,000","189,000","4,500",D,D,D,D,D,D
          Non-S&E postsecondary teacher,"79,000","2,500",D,D,"79,000","2,000","72,000","23,000",D,D
               U.S. citizen,"79,000","3,000",D,D,"79,000","3,000","72,000","25,500",D,D
                    Native-born,"79,000","2,000",D,D,"79,000","2,500","87,000","16,500",D,D
                    Naturalized,"74,000","8,000",D,D,"75,000","5,000",S,S,D,D
               Non-U.S. citizen,"83,000","11,500",D,D,"83,000","12,000",D,D,D,D
                    Permanent resident,"83,000","11,500",D,D,"85,000","11,500",D,D,D,D
                    Temporary resident,"69,000","22,000",D,D,"69,000","22,000",D,D,D,D
          Non-S&E precollege/ other teacher,S,S,D,D,D,D,S,S,D,D
               U.S. citizen,S,S,D,D,D,D,S,S,D,D
                    Native-born,S,S,D,D,D,D,S,S,D,D
                    Naturalized,"62,000","20,500",D,D,D,D,"62,000","20,500",D,D
               Non-U.S. citizen,D,D,D,D,D,D,D,D,D,D
                    Permanent resident,D,D,D,D,D,D,D,D,D,D
