"Table 3-2. Broad occupation category of employed U.S. scientists and engineers with a bachelor's as the highest degree, by field of highest degree: 2013",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Level and field of highest degree             ,,,,S&E occupations,,,,,,,,,,S&E-related occupations,,,,,,,,,,,
,All occupations,,,Biological/ agricultural/,,Computer/ mathematical,,Physical/ related scientists,,Social/ related scientists,,Engineering,,Health occupations,,"S&E managers, including health",,S&E pre-college teachers,,S&E technicians and technologists,,Other S&E-related occupations,,Non-S&E occupations,
                    Computer/ information sciences,"1,111,000","34,000",100,D,D,57,1.45,S,S,S,S,2.3,0.4,1.2,0.35,5,0.7,0.3,0.1,6.8,0.75,S,S,27,1.4
                    Mathematics/ statistics,"390,000","17,500",100,0.3,0.15,21.5,1.85,S,S,0.8,0.35,1.5,0.35,0.5,0.25,1.3,0.45,11.8,1.6,4.4,1.05,2.3,1.05,55.1,2.5
               Physical/ related sciences,"419,000","20,000",100,3.8,0.8,6.7,0.95,17.4,1.3,1.2,0.5,6.7,0.95,6.2,1.3,3.8,0.95,3.1,0.7,6.9,1.15,D,D,44.2,2.35
"                    Chemistry, except biochemistry","190,000","11,500",100,7.4,1.6,4.2,1.25,20,1.95,1.6,0.45,5.3,1.15,11.1,2.6,2.1,0.8,4.2,1.25,7.9,1.8,D,D,36.3,3.05
                    Earth/ atmospheric/ ocean sciences,"124,000","10,500",100,S,S,7.3,1.9,16.9,2.3,S,S,5.6,1.5,S,S,4.8,1.7,2.4,0.75,4.8,2.1,D,D,52.4,4.3
                    Physics/ astronomy,"78,000","8,000",100,1.3,0.9,12.8,2.65,14.1,2.8,*,*,14.1,3.3,*,*,7.7,3.3,2.6,1.3,9,2.6,D,D,38.5,5.6
                    Other physical sciences,"26,000","5,500",100,D,D,D,D,11.5,4.6,D,D,D,D,S,S,D,D,*,*,D,D,D,D,76.9,6.9
               Social/ related sciences,"3,644,000","91,000",100,0.4,0.1,3.4,0.3,0.1,0.05,1.9,0.2,0.5,0.15,4.9,0.45,1.1,0.2,0.8,0.15,1,0.2,0.1,0.1,85.9,0.6
                    Economics,"670,000","29,500",100,S,S,3.7,0.5,D,D,0.7,0.2,1,0.3,1.5,0.45,1,0.35,S,S,2.2,0.7,S,S,89,1.05
                    Political/ related sciences,"662,000","26,000",100,D,D,3.3,0.7,D,D,2.1,0.45,0.5,0.2,2.4,0.7,0.8,0.3,1.2,0.35,1.2,0.6,D,D,88.4,1.25
                    Psychology,"1,271,000","45,500",100,0.6,0.15,2.8,0.4,0.1,0.05,2.3,0.35,S,S,7.7,1,1.2,0.45,0.4,0.15,0.5,0.15,D,D,84,1.2
                    Sociology/ anthropology,"667,000","28,000",100,0.1,0.1,3.1,0.6,0.1,0.05,1.9,0.45,0.3,0.15,4.5,0.8,1.6,0.65,0.7,0.35,S,S,D,D,87,1.15
                    Other social sciences,"374,000","21,000",100,1.1,0.5,5.3,1.05,0.3,0.2,1.9,0.5,0.8,0.3,6.1,1.5,S,S,2.1,0.55,1.3,0.65,D,D,80.5,2.25
          Engineering,"1,999,000","40,500",100,0.4,0.1,14,0.65,0.4,0.1,0.1,0.05,38.2,0.95,0.9,0.25,8,0.5,0.5,0.15,7.4,0.5,S,S,30.3,1
               Aerospace/ related engineering,"93,000","11,000",100,D,D,7.5,2.6,D,D,D,D,22.6,3.55,D,D,4.3,1.7,D,D,S,S,D,D,60.2,5.55
               Chemical engineering,"136,000","9,000",100,1.5,0.45,4.4,1.15,2.2,0.8,D,D,44.1,2.9,S,S,8.1,1.95,S,S,6.6,1.65,D,D,30.9,3.2
               Civil/ architectural engineering,"318,000","15,000",100,D,D,2.2,0.8,0.3,0.1,D,D,46.2,2.25,S,S,14.8,1.85,*,*,5.7,1.3,S,S,29.2,2.5
               Electrical/ computer engineering,"662,000","21,500",100,S,S,31.1,1.4,D,D,D,D,29.5,1.2,0.6,0.35,5.1,0.65,S,S,10.7,1.1,D,D,22.2,1.35
               Industrial engineering,"138,000","10,000",100,D,D,10.1,1.85,D,D,D,D,29,2.85,D,D,6.5,1.85,0.7,0.4,8,1.6,D,D,45.7,3.85
               Mechanical engineering,"420,000","18,000",100,S,S,6,1,*,*,D,D,52.6,2.05,D,D,9.3,1.45,S,S,5.5,0.95,D,D,25.7,1.9
               Other engineering,"231,000","12,500",100,1.3,0.45,5.6,2.05,1.3,0.4,D,D,34.2,2.5,S,S,7.8,1.3,S,S,5.6,1.35,D,D,41.6,2.9
     S&E-related field,"2,942,000","72,000",100,0.7,0.2,2.7,0.3,0.1,0.05,0.2,0.1,2,0.2,54.3,1.15,2.7,0.35,2.7,0.3,2.5,0.35,3.3,0.35,28.8,1.15
          Health,"2,138,000","57,500",100,0.9,0.25,0.6,0.15,0.1,0.05,S,S,0.1,0.05,73.6,1.2,2.9,0.4,0.1,0.1,0.4,0.1,D,D,21.3,1.2
          Science/ mathematics teacher education,"183,000","14,500",100,D,D,3.8,1.05,*,*,D,D,D,D,3.3,1.5,D,D,40.4,3.55,S,S,D,D,50.8,3.8
          Technology/ technical fields,"366,000","22,000",100,*,*,15.3,1.75,D,D,D,D,13.7,1.3,3.3,1.35,3.3,0.9,S,S,14.5,2.15,D,D,48.9,3.05
          Other S&E-related fields,"255,000","17,000",100,D,D,2,0.85,D,D,1.2,0.6,3.1,0.8,2.4,1,2.7,1,D,D,4.3,0.95,37.3,3.3,47.1,3.45
     Non-S&E field,"1,558,000","67,000",100,1.6,0.3,32.8,1.65,0.3,0.1,2.1,0.75,4.1,0.4,26.5,1.8,7.4,0.85,12.6,1.9,8.4,0.75,0.3,0.15,3.9,0.6
          Art/ humanities fields,"399,000","26,500",100,1.5,0.65,36.3,2.8,0.3,0.1,0.5,0.15,2.5,0.5,26.6,2.85,5.3,1.4,16.3,3.05,7.8,1.65,S,S,2.8,0.85
"          Education, except science/ math teacher education","188,000","25,000",100,*,*,7.4,1.8,*,*,*,*,2.1,0.6,23.4,4.35,S,S,50,6.9,3.7,1.35,D,D,9,2.65
          Management/ administration,"567,000","33,500",100,0.5,0.2,38.4,2.45,S,S,S,S,6.2,0.8,22.8,2.6,11.8,1.55,4.2,1.65,10.2,1.3,D,D,4.2,0.9
          Sales/ marketing,"35,000","7,500",100,D,D,40,9.1,D,D,2.9,1.9,17.1,7.25,S,S,D,D,D,D,S,S,D,D,S,S
          Social services/ related,"50,000","7,000",100,D,D,38,7.4,D,D,S,S,4,1.55,24,6.5,D,D,D,D,18,7.75,D,D,S,S
          Other non-S&E field,"318,000","25,000",100,4.7,0.95,32.1,3.4,0.9,0.3,6.3,2.4,2.2,0.6,36.2,3.85,4.7,1.55,4.1,1.85,7.5,1.6,D,D,1.6,0.65
,,,,,,,,,,,,,,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,,,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES: Numbers are rounded to the nearest 1,000. Standard errors for numbers are rounded up to the nearest 500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification.",,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,,,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,,,,,,,,,,,,,,
