"Table 12-4. Median annual salary of employed U.S. scientists and engineers with a doctorate as the highest degree, by broad field of highest degree, employment sector, and primary or secondary work activity: 2013",,,,,,,,,,,,
,,,,,,,,,,,,
Level and field of highest degree and employment sector             ,,,Primary or secondary work activity,,,,,,,,,
,Employed scientists and engineers,,Computer applications,,"Management, sales, administration",,Research and development,,Teaching,,Other,
                    Government,"118,000","5,500","108,000","3,500","130,000","8,500","119,000","5,500",D,D,*,*
                    Computer/ information sciences,"115,000","3,500","115,000","5,000","125,000","14,000","119,000","6,000","87,000","4,000","79,000","25,500"
                         Business/ industry,"129,000","3,500","120,000","8,500","137,000","24,000","133,000","7,000",*,*,"123,000","22,000"
                         4-year college/ university,"91,000","1,500","89,000","12,500","105,000","3,500","92,000","3,000","88,000","4,500","52,000","1,000"
                         Other educational institution,*,*,D,D,D,D,D,D,*,*,D,D
                         Government,"115,000","6,500",*,*,*,*,"121,000","12,000",D,D,D,D
                    Mathematics/ statistics,"90,000","2,500","110,000","5,000","116,000","8,000","94,000","3,500","75,000","4,500","87,000","5,000"
                         Business/ industry,"120,000","1,000","118,000","2,500","137,000","12,000","121,000","4,000",*,*,"92,000","7,000"
                         4-year college/ university,"80,000","2,500","65,000","21,500","93,000","6,500","80,000","3,000","78,000","4,000","79,000","6,000"
                         Other educational institution,"68,000","5,000",D,D,*,*,*,*,"64,000","5,500",D,D
                         Government,"119,000","8,500","107,000","11,000","130,000","9,000","118,000","9,000",D,D,*,*
               Physical sciences,"100,000",500,"100,000","4,000","120,000","1,000","103,000","2,500","75,000","2,000","90,000","3,500"
                    Business/ industry,"117,000","3,500","110,000","2,500","130,000","2,000","118,000","4,500","106,000","5,500","104,000","5,000"
                    4-year college/ university,"75,000","1,500","58,000","6,500","93,000","6,000","77,000","4,000","78,000","3,500","68,000","3,500"
                    Other educational institution,"56,000","5,500",D,D,"64,000","7,000",S,S,"56,000","5,500","53,000","13,500"
                    Government,"108,000",500,"99,000","7,500","118,000","3,000","108,000","1,000",*,*,"97,000","9,000"
"                    Chemistry, except biochemistry","100,000","2,000","99,000","12,500","118,000","4,000","101,000","4,000","67,000","3,000","89,000","2,500"
                         Business/ industry,"115,000","3,000","105,000","7,500","130,000","5,500","115,000","4,500","100,000","11,500","101,000","7,500"
                         4-year college/ university,"65,000","3,500","46,000","5,000","85,000","3,500","65,000","4,000","68,000","4,000","61,000","6,000"
                         Other educational institution,"55,000","7,500",D,D,"66,000","7,000",*,*,"58,000","6,000","48,000","8,500"
                         Government,"99,000","4,500",*,*,"113,000","3,000","94,000","8,000",*,*,"91,000","7,500"
                    Earth/ atmospheric/ ocean sciences,"92,000","4,000","90,000","11,000","110,000","6,000","98,000","5,000","80,000","2,500","79,000","14,000"
                         Business/ industry,"119,000","5,000","110,000","18,500","132,000","19,500","120,000","4,500",*,*,"94,000","16,500"
                         4-year college/ university,"81,000","2,500","76,000","7,500","96,000","9,000","82,000","1,500","81,000","2,000","71,000","5,500"
                         Other educational institution,"56,000","8,000",D,D,*,*,D,D,"58,000","6,500",*,*
                         Government,"105,000","4,500",*,*,"118,000","4,500","105,000","5,500",D,D,"85,000","26,000"
                    Physics/ astronomy,"106,000","5,000","102,000","7,000","130,000","6,000","108,000","1,500","82,000","7,500","106,000","5,000"
                         Business/ industry,"119,000","1,000","111,000","1,000","130,000","15,500","119,000","1,000","118,000","8,000","109,000","2,000"
                         4-year college/ university,"80,000","3,500","56,000","8,000","107,000","14,000","83,000","7,000","85,000","6,500","70,000","15,000"
                         Other educational institution,"53,000","9,500",D,D,*,*,*,*,"49,000","5,500",*,*
                         Government,"114,000","8,000","104,000","11,500","145,000","11,000","113,000","8,500",D,D,"119,000","11,000"
                    Other physical sciences,"81,000","8,000",*,*,"95,000","8,000","85,000","7,500","68,000","8,500",*,*
                         Business/ industry,"84,000","12,500",D,D,*,*,*,*,D,D,*,*
                         4-year college/ university,"67,000","5,000",D,D,*,*,"65,000","6,000",*,*,D,D
                         Other educational institution,D,D,D,D,D,D,D,D,D,D,D,D
                         Government,"96,000","7,000",D,D,*,*,"99,000","8,000",D,D,*,*
               Social sciences,"80,000","2,000","93,000","3,500","94,000","2,000","85,000","1,500","72,000","1,000","80,000",500
                    Business/ industry,"90,000",500,"99,000","6,000","100,000",500,"104,000","5,500","69,000","6,000","80,000","1,000"
                    4-year college/ university,"75,000","1,000","63,000","22,000","86,000","2,500","78,000","3,000","73,000","2,000","70,000","1,500"
                    Other educational institution,"64,000","4,500",*,*,"81,000","5,000","63,000","5,000","55,000","8,000","77,000","5,500"
                    Government,"95,000","2,000","95,000","7,500","100,000","5,500","104,000","5,000","94,000","3,000","89,000","3,000"
                    Economics,"117,000","6,000","100,000","12,500","144,000","8,000","119,000","4,000","95,000","4,000","122,000","7,500"
                         Business/ industry,"125,000","17,500","99,000","14,500","153,000","12,000","128,000","22,000",*,*,"124,000","21,000"
                         4-year college/ university,"103,000","4,500",*,*,"128,000","10,500","106,000","5,500","99,000","4,000","98,000","4,000"
                         Other educational institution,"63,000",500,D,D,*,*,*,*,"63,000",500,D,D
                         Government,"133,000","8,000",*,*,"148,000","10,000","129,000","5,000",D,D,"148,000","11,500"
                    Political/ related sciences,"81,000","3,000",*,*,"100,000","3,000","83,000","4,500","71,000","2,000","83,000","5,000"
                         Business/ industry,"105,000","7,000",*,*,"123,000","17,000","110,000","17,500",*,*,"106,000","17,500"
                         4-year college/ university,"80,000","2,000",D,D,"90,000","3,500","80,000","2,000","75,000","4,000","75,000","3,000"
                         Other educational institution,"62,000","12,000",D,D,*,*,*,*,"52,000","12,000",D,D
                         Government,"96,000","11,500",D,D,"96,000","24,000",*,*,D,D,*,*
                    Psychology,"78,000","3,000","90,000","15,500","87,000","2,500","80,000","1,500","68,000","3,000","78,000","2,500"
                         Business/ industry,"80,000","2,500","103,000","7,500","90,000","2,000","96,000","5,500","74,000","5,000","77,000","3,500"
                         4-year college/ university,"71,000","3,000","51,000","19,000","81,000","4,000","72,000","3,500","68,000","2,500","69,000","3,000"
                         Other educational institution,"70,000","7,000",D,D,"81,000","2,000","76,000","9,000","42,000","18,000","79,000","5,000"
                         Government,"90,000","1,500",*,*,"93,000","2,000","91,000","5,000","95,000","2,000","87,000","4,500"
                    Sociology/ anthropology,"71,000","2,500",*,*,"90,000","4,000","72,000","3,500","68,000","3,000","67,000","4,500"
                         Business/ industry,"83,000","4,000",*,*,"101,000","6,500","86,000","9,500",*,*,"46,000","9,500"
                         4-year college/ university,"69,000","2,500",*,*,"85,000","5,000","68,000","3,500","69,000","2,500","69,000","3,500"
                         Other educational institution,"59,000","4,000",D,D,*,*,*,*,"61,000","5,500",*,*
                         Government,"95,000","4,000",D,D,"100,000","8,000","97,000","3,500",D,D,"76,000","15,000"
                    Other social sciences,"73,000","3,000","84,000","9,000","90,000","6,500","74,000","4,000","65,000","2,000","65,000","9,500"
                         Business/ industry,"88,000","7,000",*,*,"100,000","13,000","100,000","12,000",*,*,"74,000","18,500"
                         4-year college/ university,"70,000","3,000",D,D,"85,000","2,000","71,000","5,000","65,000","3,000","60,000","9,000"
                         Other educational institution,"61,000","12,000",D,D,"76,000","9,500",*,*,"61,000","9,500",*,*
                         Government,"95,000","10,500",*,*,"111,000","22,500","84,000","16,500",D,D,*,*
          Engineering,"113,000","3,500","110,000","4,000","129,000",500,"112,000","3,000","95,000","3,000","104,000","3,500"
               Business/ industry,"121,000","3,500","120,000","2,000","134,000","3,500","120,000","1,000","100,000","4,500","108,000","4,500"
               4-year college/ university,"90,000","2,000","76,000","11,000","107,000","6,000","89,000","2,500","96,000","3,000","90,000","6,000"
               Other educational institution,"55,000","7,000",D,D,"60,000","7,000",*,*,"58,000","7,000",*,*
               Government,"115,000","7,500","105,000","12,500","125,000","11,000","116,000","8,500",D,D,"99,000","4,500"
               Aerospace/ related engineering,"119,000","1,500","119,000","13,500","140,000","9,000","119,000","1,500","113,000","7,000","129,000","10,500"
                    Business/ industry,"120,000","7,000","123,000","19,000","157,000","31,500","120,000","7,500",D,D,*,*
                    4-year college/ university,"110,000","9,000",*,*,*,*,"109,000","10,500","113,000","8,000",*,*
                    Other educational institution,D,D,D,D,D,D,D,D,D,D,D,D
                    Government,"129,000","15,500",*,*,*,*,"124,000","13,500",D,D,D,D
               Chemical engineering,"115,000","7,000","103,000","8,000","129,000","5,500","116,000","7,500","86,000","8,000","98,000","10,500"
                    Business/ industry,"125,000","7,000","111,000","9,500","130,000","11,000","125,000","6,000",*,*,"101,000","14,000"
                    4-year college/ university,"80,000","6,500",*,*,"101,000","18,500","74,000","11,000","90,000","8,500",*,*
                    Other educational institution,*,*,D,D,D,D,D,D,*,*,D,D
                    Government,"106,000","10,500",*,*,*,*,*,*,D,D,*,*
               Civil/ architectural engineering,"100,000","4,500","102,000","33,000","119,000","2,000","100,000","2,000","90,000","2,500","99,000","5,500"
                    Business/ industry,"118,000","4,000","135,000","7,500","128,000","8,000","114,000","9,500",D,D,"107,000","7,000"
                    4-year college/ university,"89,000","3,500",*,*,"102,000","16,000","90,000","4,000","90,000","3,000",*,*
                    Other educational institution,D,D,D,D,D,D,D,D,D,D,D,D
                    Government,"96,000","7,500",D,D,"90,000","9,500","97,000","5,500",D,D,*,*
               Electrical/ computer engineering,"125,000","2,000","119,000","4,500","148,000","3,500","127,000","4,500","103,000","7,000","110,000","12,000"
                    Business/ industry,"130,000","1,500","122,000","5,500","150,000","6,500","130,000","1,500",*,*,"119,000","13,500"
                    4-year college/ university,"99,000","3,500","71,000","13,500","106,000","8,500","100,000","5,000","103,000","6,000","88,000","19,000"
                    Other educational institution,*,*,D,D,D,D,D,D,D,D,D,D
                    Government,"143,000","13,500",*,*,S,S,"145,000","12,000",D,D,*,*
               Industrial engineering,"104,000","7,000","117,000","9,000","119,000","9,000","100,000","6,500","91,000","7,000","109,000","10,000"
                    Business/ industry,"117,000","4,000","120,000","14,500","129,000","7,000","114,000","7,000",D,D,*,*
                    4-year college/ university,"82,000","9,000",D,D,*,*,"77,000","16,000","93,000","7,000",D,D
                    Other educational institution,D,D,D,D,D,D,D,D,D,D,D,D
                    Government,*,*,D,D,*,*,*,*,D,D,D,D
               Mechanical engineering,"102,000","3,500","99,000","1,500","127,000","4,000","100,000","3,500","91,000","4,000","99,000","9,000"
                    Business/ industry,"110,000","2,000","100,000","4,000","129,000","4,000","109,000","2,000",D,D,"100,000","10,500"
                    4-year college/ university,"88,000","6,500",*,*,"115,000","9,000","85,000","8,500","93,000","5,000",*,*
                    Other educational institution,*,*,D,D,D,D,D,D,*,*,D,D
                    Government,"101,000","5,500",*,*,"124,000","9,500","98,000","7,500",D,D,*,*
               Other engineering,"104,000","2,500","99,000","3,500","120,000","1,000","100,000","2,500","92,000","4,500","104,000","5,000"
                    Business/ industry,"111,000","6,000","117,000","12,500","125,000","7,000","109,000","1,500","100,000","2,000","106,000","5,500"
                    4-year college/ university,"86,000",500,"85,000","19,000","109,000","7,500","86,000","2,000","92,000","5,500","93,000","13,500"
                    Other educational institution,"54,000","9,500",D,D,*,*,D,D,"62,000","8,000",D,D
                    Government,"108,000","5,000",*,*,"116,000","5,500","105,000","4,500",D,D,"97,000","5,500"
     S&E-related field,"86,000","5,500",S,S,"95,000","7,000","89,000","6,000","74,000","3,000","88,000","13,500"
          Business/ industry,"96,000","10,500",S,S,"107,000","15,000","92,000","10,000","62,000","6,500","91,000","7,500"
          4-year college/ university,"75,000","5,000",S,S,"90,000","4,500","75,000","7,000","79,000","4,000","63,000","9,500"
          Other educational institution,S,S,D,D,"74,000",500,S,S,S,S,"87,000","28,500"
          Government,"114,000","14,000",*,*,"103,000","5,500","112,000","26,000",S,S,"109,000","24,000"
          Health,"89,000","5,500","69,000","26,500","93,000","6,000","91,000","6,500","82,000","4,500","91,000","8,500"
               Business/ industry,"91,000","4,000","78,000","21,500","90,000","13,500","92,000","6,000","63,000","3,500","91,000","7,000"
               4-year college/ university,"79,000","4,000","61,000","7,500","93,000","4,500","75,000","6,000","84,000","3,000","68,000","14,000"
               Other educational institution,"80,000","13,500",D,D,"79,000","7,500",*,*,"87,000","16,000","87,000","18,500"
               Government,"114,000","14,000",*,*,"103,000","5,500","112,000","26,000",S,S,"109,000","24,000"
          Science/ mathematics teacher education,"64,000","8,500",D,D,"76,000","7,000","57,000","8,500","60,000","10,000",D,D
               Business/ industry,D,D,D,D,D,D,D,D,D,D,D,D
               4-year college/ university,"61,000","9,000",D,D,D,D,"64,000","16,500","65,000","3,500",D,D
               Other educational institution,"43,000","18,500",D,D,D,D,D,D,"43,000","18,500",D,D
               Government,D,D,D,D,D,D,D,D,D,D,D,D
          Technology/ technical fields,"100,000","18,000",D,D,D,D,"99,000","3,500",S,S,D,D
               Business/ industry,"117,000","35,500",D,D,D,D,"103,000","16,000",D,D,D,D
               4-year college/ university,D,D,D,D,D,D,D,D,S,S,D,D
               Other educational institution,D,D,D,D,D,D,D,D,D,D,D,D
               Government,D,D,D,D,D,D,D,D,D,D,D,D
          Other S&E-related fields,"48,000","14,000",D,D,*,*,"58,000","9,500",D,D,S,S
               Business/ industry,S,S,D,D,D,D,D,D,D,D,*,*
               4-year college/ university,D,D,D,D,D,D,D,D,D,D,D,D
               Other educational institution,D,D,D,D,D,D,D,D,D,D,D,D
               Government,D,D,D,D,D,D,D,D,D,D,D,D
     Non-S&E field,"75,000","5,000","76,000","11,500","80,000","6,000","76,000","2,000","69,000","2,000","67,000","7,000"
          Business/ industry,"73,000","15,500","79,000","21,000","82,000","15,500","94,000","10,000","48,000","10,500","52,000","21,000"
          4-year college/ university,"71,000","5,500",D,D,"70,000","7,500","70,000","8,500","70,000","3,500","78,000","14,000"
          Other educational institution,"75,000","4,500",D,D,"83,000","18,500","75,000","3,500","61,000","15,500","72,000","6,500"
          Government,"87,000","19,000",D,D,"106,000","31,500","80,000","25,000",D,D,S,S
          Art/ humanities fields,"63,000","4,000",D,D,"62,000","7,500","61,000","9,000","64,000","2,000","62,000","12,000"
               Business/ industry,"44,000","15,500",D,D,"46,000","11,000",S,S,D,D,D,D
               4-year college/ university,"68,000","3,000",D,D,"68,000","3,000","68,000","4,000","65,000","2,500",D,D
               Other educational institution,"49,000","17,000",D,D,D,D,S,S,"49,000","17,000",D,D
               Government,S,S,D,D,D,D,D,D,D,D,D,D
"          Education, except science/ math teacher education","76,000","2,500",S,S,"94,000","14,000","82,000","8,500","66,000","9,000","67,000","9,500"
               Business/ industry,"94,000","6,500",D,D,"93,000","15,000","106,000","9,500",S,S,S,S
               4-year college/ university,"69,000","9,000",D,D,"87,000","17,000","69,000","8,500","61,000","5,000","62,000","1,500"
               Other educational institution,"76,000","2,500",D,D,"94,000","15,000",S,S,"69,000","11,500","72,000","6,500"
               Government,D,D,D,D,D,D,D,D,D,D,D,D
          Management/ administration,"101,000","8,000",D,D,"101,000","23,500","101,000","8,500","80,000","20,500","96,000","10,500"
               Business/ industry,"96,000","25,500",D,D,S,S,S,S,D,D,S,S
               4-year college/ university,"105,000","7,000",D,D,D,D,"109,000","9,500","102,000","6,000",D,D
               Other educational institution,D,D,D,D,D,D,D,D,D,D,D,D
               Government,*,*,D,D,D,D,D,D,D,D,D,D
          Sales/ marketing,"74,000","36,500",D,D,D,D,S,S,S,S,D,D
               Business/ industry,D,D,D,D,D,D,D,D,D,D,D,D
               4-year college/ university,"99,000","21,000",D,D,D,D,D,D,"99,000","21,000",D,D
               Other educational institution,D,D,D,D,D,D,D,D,D,D,D,D
               Government,D,D,D,D,D,D,D,D,D,D,D,D
          Social service/ related,"68,000","7,500",D,D,"65,000","19,500","70,000","5,000","69,000","3,000","47,000","8,000"
               Business/ industry,"49,000","14,500",D,D,S,S,"50,000","14,500","54,000","15,000","44,000","2,500"
               4-year college/ university,"73,000","4,500",D,D,"71,000","16,000","72,000","5,000","71,000","4,000","80,000","1,000"
               Other educational institution,D,D,D,D,D,D,D,D,S,S,D,D
               Government,D,D,D,D,D,D,D,D,D,D,D,D
          Other non-S&E field,"77,000","13,500",D,D,"96,000","9,500","68,000","6,500","65,000","5,500","135,000","34,500"
               Business/ industry,"121,000","25,500",D,D,"116,000","25,000","86,000","6,000",D,D,S,S
               4-year college/ university,"64,000","5,500",D,D,"70,000","12,000","62,000","5,000","65,000","5,500",S,S
               Other educational institution,D,D,D,D,D,D,D,D,D,D,D,D
               Government,D,D,D,D,D,D,D,D,D,D,D,D
,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,
,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,
,,,,,,,,,,,,
"NOTES: Salaries are for principal job and rounded to the nearest $1,000. Standard errors for salaries are rounded up to the nearest $500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification. Business/industry includes self-employed individuals, nonprofit organizations, and other unspecified types of employers. Four-year college/university includes medical schools and university-affiliated research institutes. Other educational institution includes 2-year colleges, precollege institutions, and other educational institutions. Government includes federal (civilian), military, state, and local employers. The doctorate estimates are from the Scientists and Engineers Statistical Data System (SESTAT), which represents the total U.S. college educated population. This is in contrast to the doctorate estimates from the Survey of Doctorate Recipients, which represent the population of U.S. doctorate degree recipients.",,,,,,,,,,,,
,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,
,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,
,,,,,,,,,,,,
