"Table 12-2. Median annual salary of employed U.S. scientists and engineers with a bachelor's as the highest degree, by broad field of highest degree, employment sector, and primary or secondary work activity: 2013",,,,,,,,,,,,
,,,,,,,,,,,,
Level and field of highest degree and employment sector             ,,,Primary or secondary work activity,,,,,,,,,
,Employed scientists and engineers,,Computer applications,,"Management, sales, administration",,Research and development,,Teaching,,Other,
               Computer/ mathematical sciences,"74,000","3,000","86,000","2,000","75,000","4,000","78,000","2,500","40,000","4,000","60,000","3,000"
                    Business/ industry,"80,000","2,000","88,000","2,500","77,000","3,500","81,000","3,000","47,000","8,000","63,000","5,000"
                    4-year college/ university,"42,000","3,500","59,000","6,500","49,000","1,500","30,000","10,500","17,000","2,500","53,000","16,500"
                    Other educational institution,"43,000","4,000","49,000","4,500","40,000","4,500","46,000","1,000","42,000","5,000","44,000","9,500"
                    Government,"75,000","1,000","76,000","6,000","80,000","9,500","75,000","3,500","48,000","6,000","55,000","4,500"
                    Computer/ information sciences,"80,000","2,000","85,000","1,500","80,000",500,"80,000","1,500","49,000","4,500","70,000","5,500"
                         Business/ industry,"80,000","2,000","87,000","2,500","83,000","4,500","80,000","2,000","56,000","7,000","72,000","4,000"
                         4-year college/ university,"49,000","3,000","58,000","5,500","49,000","1,500","41,000","16,000","29,000","11,500","65,000","18,000"
                         Other educational institution,"45,000","2,000","49,000","4,500","45,000","5,000","50,000","3,500","38,000","12,000",S,S
                         Government,"75,000","1,500","75,000","6,000","79,000","8,500","75,000","6,500",D,D,"60,000","14,000"
                    Mathematics/ statistics,"54,000","2,500","93,000","5,000","55,000","5,000","65,000","8,000","36,000","3,500","50,000","2,500"
                         Business/ industry,"63,000","3,500","93,000","2,500","60,000","3,500","85,000","5,500",S,S,"50,000","8,000"
                         4-year college/ university,"19,000","3,000","39,000","15,500","38,000","16,000","21,000","2,500","17,000","2,500","34,000","13,000"
                         Other educational institution,"42,000","4,000",S,S,"39,000","1,500","45,000","2,500","43,000","5,500","52,000","6,500"
                         Government,"75,000","12,000","83,000","15,000","89,000","25,500","87,000","15,500",D,D,"40,000","17,000"
               Physical sciences,"56,000","3,000","74,000","6,000","65,000","5,000","56,000","5,500","37,000","1,500","50,000","6,500"
                    Business/ industry,"62,000","4,000","81,000","11,500","69,000","4,500","68,000","4,500","62,000","9,000","47,000","5,500"
                    4-year college/ university,"23,000","1,000","28,000","6,000",S,S,"24,000","2,000","19,000","2,500","21,000","1,500"
                    Other educational institution,"37,000","1,500",S,S,"38,000","2,500",S,S,"37,000","1,500","34,000","1,000"
                    Government,"60,000","7,000","49,000","5,000","62,000","13,500","56,000","8,500","51,000","11,000","58,000","4,000"
"                    Chemistry, except biochemistry","59,000","4,500","75,000","11,500","68,000","6,500","59,000","6,500","40,000","4,500","50,000","3,000"
                         Business/ industry,"65,000","3,000","92,000","23,000","70,000","8,500","68,000","3,500","61,000","2,000","50,000","6,500"
                         4-year college/ university,"23,000","1,000",S,S,"25,000","2,500","23,000",500,"20,000","1,000","22,000","3,000"
                         Other educational institution,"39,000","10,000",D,D,"42,000","12,000",S,S,"39,000","18,500",D,D
                         Government,"59,000","7,000",D,D,"79,000","5,500","80,000","19,000",D,D,"54,000","7,500"
                    Earth/ atmospheric/ ocean sciences,"56,000","2,000",S,S,"60,000","7,500","56,000","6,500","36,000","1,000","52,000","7,500"
                         Business/ industry,"60,000","4,000",S,S,"69,000","12,500","62,000","15,500","50,000","14,500","53,000","13,500"
                         4-year college/ university,S,S,D,D,S,S,"127,000","40,000",S,S,S,S
                         Other educational institution,"36,000","1,500",D,D,"36,000","4,000",D,D,"36,000","1,500",D,D
                         Government,"56,000","3,000","77,000","4,500","57,000","6,500","55,000","2,000",D,D,"58,000","4,000"
                    Physics/ astronomy,"62,000","7,000","81,000","18,000","69,000","6,000","66,000","7,500",S,S,"36,000","5,500"
                         Business/ industry,"70,000","6,500","90,000","10,000","69,000","9,000","75,000","5,500","91,000","8,000","39,000","13,000"
                         4-year college/ university,"20,000","3,000","26,000","4,500",S,S,"23,000","3,000","18,000","3,000","20,000","8,500"
                         Other educational institution,"36,000","13,000",D,D,S,S,S,S,"40,000","16,000",D,D
                         Government,S,S,S,S,S,S,"66,000","25,000",D,D,"59,000","21,000"
                    Other physical sciences,"49,000","6,500",D,D,"49,000","2,000",S,S,S,S,"30,000","13,000"
                         Business/ industry,"36,000","15,500",D,D,"49,000","1,000","26,000","1,000",D,D,"29,000",500
                         4-year college/ university,D,D,D,D,D,D,D,D,D,D,D,D
                         Other educational institution,S,S,D,D,S,S,D,D,S,S,D,D
                         Government,S,S,D,D,D,D,D,D,D,D,D,D
               Social sciences,"45,000","1,500","65,000","3,500","50,000",500,"45,000","1,000","32,000","2,000","40,000",500
                    Business/ industry,"48,000","1,000","64,000","7,500","50,000","1,000","50,000","2,500","30,000","2,000","40,000",500
                    4-year college/ university,"32,000","2,000",S,S,"37,000","6,500","21,000","3,000","21,000","5,000","32,000","2,500"
                    Other educational institution,"32,000","2,500","60,000","14,500","30,000","2,000","34,000","4,000","32,000","2,500","31,000","4,500"
                    Government,"50,000",500,"71,000","8,500","51,000","3,000","49,000","6,000","49,000","2,000","47,000","2,500"
                    Economics,"60,000","3,000","91,000","8,000","65,000","3,000","64,000","8,000","40,000","1,500","54,000","7,500"
                         Business/ industry,"64,000","3,500","93,000","9,000","66,000","5,500","64,000","8,000","53,000","14,500","59,000","8,000"
                         4-year college/ university,"43,000","1,000",S,S,"44,000","1,000","26,000","4,000","37,000","13,500",S,S
                         Other educational institution,"36,000","10,500",D,D,"50,000","7,500",S,S,"36,000","7,000",S,S
                         Government,"46,000","8,500","52,000","24,500","50,000","14,000","79,000","8,500",S,S,"40,000","15,000"
                    Political/ related sciences,"51,000","2,000","52,000","10,500","55,000","5,000","49,000","3,500","38,000","2,500","48,000","4,500"
                         Business/ industry,"53,000","4,000","48,000","17,000","58,000","4,500","49,000","4,500","45,000","7,500","48,000","4,000"
                         4-year college/ university,"31,000","3,500",D,D,"32,000","6,000","21,000","7,000",S,S,"31,000","3,000"
                         Other educational institution,"35,000","1,500",D,D,"30,000","1,500","51,000","12,000","37,000","5,500","34,000",500
                         Government,"58,000","5,500",S,S,"63,000","7,000","53,000","5,000",D,D,"51,000","7,500"
                    Psychology,"40,000","1,500","45,000","14,500","41,000","2,000","39,000","3,000","32,000","3,000","35,000","1,500"
                         Business/ industry,"38,000","2,500","44,000","14,500","41,000","2,000","40,000","7,500","29,000","5,500","33,000","2,500"
                         4-year college/ university,"30,000","5,000",S,S,"29,000","5,500","24,000","10,500","19,000","3,500","39,000","4,000"
                         Other educational institution,"33,000","2,500",D,D,"37,000","2,000",S,S,"33,000","2,500","21,000","4,000"
                         Government,"46,000","3,500","56,000","24,500","43,000","7,000","47,000","2,500","49,000","9,000","48,000","4,000"
                    Sociology/ anthropology,"44,000","3,000","61,000","11,000","45,000","1,500","41,000","3,500","34,000","5,000","40,000",500
                         Business/ industry,"40,000","2,500","52,000","3,500","44,000","2,500","45,000","6,000",S,S,"37,000","3,500"
                         4-year college/ university,"21,000","8,500",S,S,S,S,"18,000","6,000","15,000","4,500",S,S
                         Other educational institution,"32,000","7,000",D,D,S,S,"29,000","13,500","36,000","18,000","48,000","1,000"
                         Government,"52,000","4,000","75,000","3,500","55,000","5,500",S,S,"63,000","9,000","44,000","4,000"
                    Other social sciences,"40,000","3,000","54,000","12,000","43,000","5,000","35,000","10,000","20,000","2,500","39,000","6,000"
                         Business/ industry,"40,000","4,000","46,000","17,000","40,000","4,500","35,000","9,000","14,000","5,500","38,000","12,000"
                         4-year college/ university,"32,000","1,500",S,S,"46,000","22,000","19,000","9,000",S,S,"29,000","2,500"
                         Other educational institution,"22,000","4,000",D,D,"19,000","7,500",S,S,"22,000","3,000","16,000","4,500"
                         Government,"58,000","7,000",S,S,"50,000","4,000",S,S,S,S,"65,000","18,000"
          Engineering,"85,000",500,"87,000","3,000","89,000","1,500","85,000",500,"67,000","7,500","75,000","1,500"
               Business/ industry,"85,000","1,500","90,000","1,500","90,000","1,000","88,000","2,500","89,000","1,500","77,000","3,000"
               4-year college/ university,"28,000","2,000","52,000","11,500","50,000","20,000","26,000","2,000","23,000","2,000","52,000","2,500"
               Other educational institution,"43,000","7,000",D,D,"56,000","5,500","40,000","13,500","43,000","4,500","36,000","5,000"
               Government,"85,000",500,"75,000","6,000","90,000","1,500","85,000","1,500","90,000","10,500","78,000","5,500"
               Aerospace/ related engineering,"75,000","7,000","75,000","8,500","75,000","10,000","83,000","12,500","99,000","4,000","65,000","2,500"
                    Business/ industry,"78,000","11,500","80,000","8,000","65,000","3,000","100,000","14,000","93,000","12,500","70,000","23,000"
                    4-year college/ university,"27,000","14,000",D,D,*,*,S,S,D,D,D,D
                    Other educational institution,S,S,D,D,S,S,D,D,D,D,D,D
                    Government,"75,000","20,000",S,S,"93,000","9,000","75,000","1,000",D,D,"54,000",500
               Chemical engineering,"90,000","2,500","98,000","12,000","100,000","2,500","89,000","4,500",S,S,"90,000","8,500"
                    Business/ industry,"98,000","5,500","99,000","8,000","101,000","3,000","95,000","7,500",S,S,"96,000","9,000"
                    4-year college/ university,"25,000","1,500",S,S,D,D,"25,000","1,000",D,D,D,D
                    Other educational institution,S,S,D,D,S,S,D,D,S,S,D,D
                    Government,"59,000","9,500",D,D,"58,000","10,000","76,000","11,000",D,D,"55,000","11,000"
               Civil/ architectural engineering,"80,000","1,500","68,000","3,000","85,000",500,"75,000","1,000","77,000","31,000","70,000","4,000"
                    Business/ industry,"75,000","2,000","73,000","13,000","80,000","1,500","71,000","4,000","86,000","17,000","69,000","6,500"
                    4-year college/ university,"29,000","6,000",D,D,S,S,D,D,S,S,D,D
                    Other educational institution,D,D,D,D,D,D,D,D,D,D,D,D
                    Government,"86,000","3,500","58,000","8,000","90,000","2,500","85,000",500,S,S,"86,000","5,000"
               Electrical/ computer engineering,"90,000",500,"90,000","1,000","94,000","3,000","92,000","2,500","69,000","27,000","75,000","3,000"
                    Business/ industry,"90,000","2,000","90,000","1,500","95,000","2,500","94,000","3,000","82,000","12,500","78,000","5,500"
                    4-year college/ university,"73,000","10,000","77,000","16,000","85,000","6,500","70,000","25,500",D,D,S,S
                    Other educational institution,"47,000","17,500",D,D,"56,000","7,000",S,S,S,S,D,D
                    Government,"85,000","3,500","78,000","8,000","93,000","7,500","90,000","5,000",D,D,"79,000","15,000"
               Industrial engineering,"75,000","5,000","76,000","13,500","77,000","2,500","72,000","6,500","63,000","3,000","68,000","8,500"
                    Business/ industry,"76,000","4,000","80,000","11,500","79,000","4,500","75,000","7,000","99,000","10,000","69,000","7,500"
                    4-year college/ university,D,D,D,D,D,D,D,D,D,D,D,D
                    Other educational institution,"61,000","4,500",D,D,S,S,D,D,S,S,D,D
                    Government,"78,000","2,000",D,D,"77,000","6,000","76,000","6,000",D,D,S,S
               Mechanical engineering,"85,000","1,500","80,000","1,000","90,000","1,500","85,000","2,000","64,000","16,500","78,000","3,500"
                    Business/ industry,"85,000","1,500","80,000","1,000","90,000","2,000","87,000","3,500","78,000","12,000","78,000","3,500"
                    4-year college/ university,"25,000","1,500",S,S,"33,000","4,500","25,000","2,500",D,D,D,D
                    Other educational institution,"33,000","8,000",D,D,S,S,D,D,S,S,D,D
                    Government,"93,000","6,500",S,S,"91,000","6,500","90,000","9,500",D,D,"95,000","13,500"
               Other engineering,"79,000","2,500",S,S,"94,000","6,000","75,000","1,500","43,000","7,500","79,000","5,000"
                    Business/ industry,"85,000","6,500",S,S,"97,000","5,000","80,000","3,000",S,S,"87,000","12,000"
                    4-year college/ university,"25,000","1,500",S,S,S,S,"25,000","1,000",S,S,D,D
                    Other educational institution,S,S,D,D,D,D,D,D,S,S,D,D
                    Government,"79,000","3,500","82,000","13,500","77,000","9,500","70,000","3,500",D,D,"77,000","3,500"
     S&E-related field,"58,000",500,"69,000","8,500","60,000","3,500","59,000","1,500","51,000","2,000","59,000","1,500"
          Business/ industry,"60,000",500,"74,000","8,000","64,000","2,000","60,000","5,500","57,000","2,500","59,000","2,000"
          4-year college/ university,"58,000","4,500","52,000","6,000","63,000","9,000","49,000","15,000","58,000","5,000","63,000","8,500"
          Other educational institution,"43,000","1,500",S,S,"43,000","2,500","42,000","1,000","42,000","1,500","43,000","5,000"
          Government,"59,000","2,000","66,000","8,500","60,000","5,500","57,000","5,500","76,000","2,000","59,000","2,000"
          Health,"58,000","1,000","52,000","9,000","59,000",500,"55,000","2,500","57,000","3,000","59,000","2,000"
               Business/ industry,"58,000","1,000","49,000","14,500","60,000",500,"57,000","4,000","58,000","1,500","59,000","2,000"
               4-year college/ university,"60,000","5,000",S,S,"63,000","13,000","49,000","13,500","60,000","9,500","67,000","9,500"
               Other educational institution,"43,000","2,000",D,D,"43,000","2,000","42,000","5,500","43,000","2,500","43,000","6,000"
               Government,"58,000","2,000",D,D,"57,000","4,500","54,000","4,500","77,000","1,500","59,000","2,000"
          Science/ mathematics teacher education,"41,000","2,500","62,000","22,500","50,000","3,500","43,000","8,500","40,000","2,000","35,000","1,000"
               Business/ industry,"40,000","12,500",S,S,"52,000","5,000","53,000","11,500","39,000",500,S,S
               4-year college/ university,S,S,D,D,D,D,D,D,D,D,D,D
               Other educational institution,"42,000","1,500",S,S,"45,000","3,500","42,000","1,500","41,000","2,500","42,000","11,000"
               Government,S,S,D,D,S,S,D,D,D,D,S,S
          Technology/ technical fields,"70,000","2,500","82,000","7,500","78,000","4,500","84,000","7,000","55,000","5,000","60,000","5,000"
               Business/ industry,"70,000","5,500","85,000","6,000","80,000","3,500","87,000","7,500","72,000","24,000","60,000","5,000"
               4-year college/ university,"54,000","23,500",D,D,S,S,S,S,D,D,D,D
               Other educational institution,S,S,D,D,S,S,D,D,S,S,D,D
               Government,"69,000","10,500",D,D,"77,000","6,000","84,000","24,000",D,D,"69,000","11,000"
          Other S&E-related fields,"60,000","2,500","60,000","13,000","69,000","6,000","59,000","3,000",S,S,"59,000","1,500"
               Business/ industry,"59,000","2,500","62,000","23,500","69,000","8,000","59,000","4,000",S,S,"59,000","3,000"
               4-year college/ university,S,S,D,D,D,D,S,S,"6,000","1,000",D,D
               Other educational institution,"52,000","9,000",D,D,D,D,D,D,S,S,D,D
               Government,"70,000","13,000",D,D,"89,000","12,500","94,000","14,500",D,D,"57,000","19,000"
     Non-S&E field,"54,000","3,000","75,000","3,000","60,000","3,500","63,000","4,500","41,000","2,000","45,000","1,500"
          Business/ industry,"60,000","1,000","79,000","2,000","65,000","3,000","69,000","2,500","50,000","8,000","45,000","2,500"
          4-year college/ university,"45,000","2,000","66,000","12,000","46,000","5,000",S,S,S,S,"45,000","3,500"
          Other educational institution,"41,000","2,000","62,000","4,000","42,000","2,500","42,000","7,000","40,000","1,500","44,000","2,500"
          Government,"56,000","3,500","57,000","7,500","55,000","8,000","58,000","7,500","46,000","16,000","48,000","7,500"
          Art/ humanities fields,"50,000","1,500","65,000","3,500","50,000",500,"60,000","7,000","45,000","4,000","38,000","5,000"
               Business/ industry,"54,000","5,000","65,000","4,000","52,000","5,500","64,000","4,500","49,000","6,000","33,000","5,500"
               4-year college/ university,"37,000","15,000",S,S,"44,000","6,500","43,000","19,000",D,D,S,S
               Other educational institution,"41,000","7,500",D,D,"39,000","7,000","55,000","4,500","40,000","8,000",S,S
               Government,"56,000","14,000","56,000","11,500","57,000","18,000",S,S,D,D,"48,000","8,500"
"          Education, except science/ math teacher education","41,000","2,000",S,S,"42,000","1,500","42,000","4,000","41,000","2,000","40,000","5,000"
               Business/ industry,"38,000","3,500",S,S,"30,000","13,000","45,000","11,000",S,S,"37,000","4,000"
               4-year college/ university,"53,000","12,500",D,D,S,S,D,D,D,D,S,S
               Other educational institution,"42,000","2,000",D,D,"42,000","3,000","40,000","3,000","42,000","2,000","44,000","3,000"
               Government,S,S,D,D,D,D,S,S,D,D,S,S
          Management/ administration,"70,000","3,000","83,000","3,000","75,000","5,500","72,000","2,500",S,S,"51,000","7,500"
               Business/ industry,"72,000","4,000","89,000","2,000","80,000","2,000","78,000","5,500","60,000","6,000","52,000","7,500"
               4-year college/ university,"50,000","2,500","69,000","4,500","42,000","21,000","51,000","1,000",D,D,S,S
               Other educational institution,S,S,D,D,"48,000","12,500",D,D,S,S,"45,000","7,000"
               Government,"71,000","3,500","58,000","14,500","73,000","6,000","71,000",500,S,S,S,S
          Sales/ marketing,"69,000","5,500","79,000","28,500","70,000","15,000","68,000","13,000",S,S,"62,000","28,500"
               Business/ industry,"70,000","13,000","77,000","29,000","70,000","16,000","78,000","26,000",S,S,D,D
               4-year college/ university,D,D,D,D,D,D,D,D,D,D,D,D
               Other educational institution,D,D,D,D,D,D,D,D,D,D,D,D
               Government,"49,000","14,000",D,D,*,*,*,*,D,D,*,*
          Social service/ related,"52,000","13,000","90,000","25,000","59,000","20,000","73,000","12,500","55,000","18,000","44,000","4,500"
               Business/ industry,"52,000","15,500","93,000","12,500","53,000","26,000","73,000","25,500",S,S,"43,000","3,000"
               4-year college/ university,"58,000","26,000",D,D,S,S,D,D,D,D,D,D
               Other educational institution,S,S,D,D,D,D,D,D,S,S,D,D
               Government,S,S,D,D,D,D,D,D,D,D,D,D
          Other non-S&E field,"49,000","2,000","71,000","10,000","49,000","2,500","60,000","1,000","31,000","5,500","45,000","3,000"
               Business/ industry,"53,000","6,500","73,000","9,000","52,000","7,500","67,000","8,500","43,000","10,500","43,000","3,500"
               4-year college/ university,"43,000","6,500",S,S,"44,000","5,500","25,000","2,500",D,D,"43,000","7,000"
               Other educational institution,"35,000","13,500",D,D,D,D,D,D,"27,000","6,500",D,D
               Government,"54,000","1,000",D,D,"54,000","1,000","58,000","7,000",D,D,"45,000","16,000"
,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,
,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,
,,,,,,,,,,,,
"NOTES: Salaries are for principal job and rounded to the nearest $1,000. Standard errors for salaries are rounded up to the nearest $500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification. Business/industry includes self-employed individuals, nonprofit organizations, and other unspecified types of employers. Four-year college/university includes medical schools and university-affiliated research institutes. Other educational institution includes 2-year colleges, precollege institutions, and other educational institutions. Government includes federal (civilian), military, state, and local employers.",,,,,,,,,,,,
,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,
,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,
,,,,,,,,,,,,
