"Table 14-3. Median annual salaries of employed U.S. scientists and engineers with a master's as the highest degree, by occupation, citizenship status, and employment sector: 2013",,,,,,,,,,
,,,,,,,,,,
"Level of highest degree, occupation, and citizenship status             ",,,Sector of employment,,,,,,,
,Employed scientists and engineers,,Business/ industry,,4-year college/ university,,Other educational institution,,Government,
                              Permanent resident,"56,000","21,000","56,000","21,000",D,D,D,D,D,D
                              Temporary resident,"29,000","12,500",D,D,"22,000","1,500",D,D,D,D
                    Earth/ atmospheric/ ocean scientists,"80,000","6,000","109,000","11,000","26,000","3,000",D,D,"70,000","6,000"
                         U.S. citizen,"84,000","6,000","109,000","11,500","26,000","2,500",D,D,"70,000","6,500"
                              Native-born,"82,000","5,500","106,000","13,000","26,000","2,500",D,D,"70,000","7,000"
                              Naturalized,"122,000","35,000",S,S,D,D,D,D,D,D
                         Non-U.S. citizen,"36,000","6,000","110,000","18,500","24,000","4,500",D,D,D,D
                              Permanent resident,"98,000","26,500",D,D,D,D,D,D,D,D
                              Temporary resident,"26,000","6,500",*,*,"24,000","5,000",D,D,D,D
                    Physicists and astronomers,"33,000","5,500","119,000","12,000","25,000","4,000",D,D,"100,000","4,500"
                         U.S. citizen,"87,000","33,500","119,000","12,000","26,000","6,000",D,D,"101,000","4,500"
                              Native-born,"78,000","28,000","131,000","20,000","29,000","5,000",D,D,D,D
                              Naturalized,S,S,D,D,D,D,D,D,D,D
                         Non-U.S. citizen,"25,000","6,000",D,D,"24,000","5,500",D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,"24,000","5,500",D,D,"24,000","5,000",D,D,D,D
                    Postsecondary teachers - physical/ related sciences,"22,000","2,500",D,D,"21,000","1,000","33,000","4,000",D,D
                         U.S. citizen,"29,000","10,000",D,D,"21,000","1,500","33,000","3,000",D,D
                              Native-born,"31,000","7,500",D,D,"21,000","1,500","33,000","3,500",D,D
                              Naturalized,*,*,D,D,D,D,D,D,D,D
                         Non-U.S. citizen,"21,000","2,000",D,D,"21,000","2,500",D,D,D,D
                              Permanent resident,S,S,D,D,S,S,D,D,D,D
                              Temporary resident,"18,000","2,500",D,D,"18,000","2,500",D,D,D,D
                    Other physical/ related scientists,"72,000","9,000","79,000","12,000","27,000","2,500",D,D,"75,000","8,500"
                         U.S. citizen,"75,000","7,500","80,000","11,000",D,D,D,D,"75,000","8,500"
                              Native-born,"72,000","9,000","78,000","14,000",D,D,D,D,"73,000","11,500"
                              Naturalized,S,S,D,D,D,D,D,D,D,D
                         Non-U.S. citizen,"36,000","7,500",*,*,*,*,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,"34,000","11,500",D,D,*,*,D,D,D,D
"               Social science, psychology","48,000","3,000","55,000","6,500","20,000","1,500","58,000","3,500","66,000","7,000"
                    U.S. citizen,"49,000","2,500","53,000","7,000","20,000","1,500","58,000","3,500","65,000","5,000"
                         Native-born,"48,000","2,500","50,000","8,500","20,000","1,500","55,000","1,500","65,000","4,000"
                         Naturalized,"59,000",500,"73,000","21,500","20,000","5,500",S,S,"79,000","4,500"
                    Non-U.S. citizen,"24,000","4,500","89,000","25,000","19,000","1,500",D,D,D,D
                         Permanent resident,S,S,"115,000","36,500",S,S,D,D,D,D
                         Temporary resident,"20,000","4,000",S,S,"19,000","1,000",D,D,D,D
                    Economists,"58,000","8,000","65,000","13,000","19,000","7,000",D,D,"75,000","6,000"
                         U.S. citizen,"62,000","4,500","60,000","11,500","21,000","2,500",D,D,"75,000","6,000"
                              Native-born,"60,000","7,500","56,000","8,500","21,000","7,000",D,D,"74,000","5,000"
                              Naturalized,"78,000","6,000",*,*,D,D,D,D,D,D
                         Non-U.S. citizen,S,S,S,S,"16,000",500,D,D,D,D
                              Permanent resident,*,*,*,*,D,D,D,D,D,D
                              Temporary resident,"17,000","8,000",S,S,"16,000","1,000",D,D,D,D
                    Political scientists,"88,000","33,000","128,000","43,000","20,000","5,000",D,D,S,S
                         U.S. citizen,"99,000","35,500","128,000","38,000","23,000","11,000",D,D,S,S
                              Native-born,"99,000","33,500","128,000","34,500","26,000","12,000",D,D,S,S
                              Naturalized,D,D,D,D,D,D,D,D,D,D
                         Non-U.S. citizen,D,D,D,D,D,D,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,D,D,D,D,D,D,D,D,D,D
                    Postsecondary teachers - social/ related sciences,"21,000","4,000",D,D,"18,000","2,500","26,000","3,000",D,D
                         U.S. citizen,"23,000","4,500",D,D,"19,000","3,000","26,000","2,500",D,D
                              Native-born,"24,000","5,000",D,D,"18,000","3,000","26,000","3,000",D,D
                              Naturalized,"20,000","9,000",D,D,"20,000","2,500",S,S,D,D
                         Non-U.S. citizen,"17,000","2,500",D,D,"17,000","2,500",D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,"18,000","2,500",D,D,"18,000","2,500",D,D,D,D
                    Psychologists,"53,000","3,500","43,000","4,500","20,000","3,500","59,000",500,"56,000","3,000"
                         U.S. citizen,"54,000","2,500","43,000","5,000","19,000","1,500","59,000",500,"56,000","3,000"
                              Native-born,"50,000","4,000","41,000","5,000","19,000","1,500","60,000","1,500","56,000","3,000"
                              Naturalized,"59,000","1,000",D,D,*,*,S,S,D,D
                         Non-U.S. citizen,S,S,S,S,S,S,D,D,D,D
                              Permanent resident,S,S,D,D,D,D,D,D,D,D
                              Temporary resident,S,S,D,D,S,S,D,D,D,D
                    Sociologists and anthropologists,"45,000","6,500","55,000","6,500","22,000","2,000",D,D,"63,000","4,500"
                         U.S. citizen,"45,000","6,500","54,000","9,500","22,000","2,000",D,D,"63,000","4,500"
                              Native-born,"45,000","6,500","54,000","9,500","22,000","2,000",D,D,"63,000","4,500"
                              Naturalized,D,D,D,D,D,D,D,D,D,D
                         Non-U.S. citizen,*,*,D,D,D,D,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,*,*,D,D,D,D,D,D,D,D
                    Other social and related scientists,"61,000","5,000","68,000","6,000","19,000","3,000",D,D,"74,000","9,000"
                         U.S. citizen,"63,000","5,000","67,000","5,500","18,000","3,000",D,D,"71,000","7,000"
                              Native-born,"63,000","4,000","67,000","5,000","18,000","3,500",D,D,"71,000","7,000"
                              Naturalized,"52,000","15,000","77,000","24,500",S,S,D,D,*,*
                         Non-U.S. citizen,S,S,"72,000","24,000",S,S,D,D,D,D
                              Permanent resident,S,S,D,D,D,D,D,D,D,D
                              Temporary resident,S,S,*,*,S,S,D,D,D,D
          Engineering occupations,"96,000","1,500","100,000",500,"24,000","1,500","89,000","1,000","95,000","2,000"
               U.S. citizen,"100,000","1,500","100,000",500,"30,000","2,500","89,000","1,000","95,000","3,000"
                    Native-born,"100,000","2,000","100,000",500,"30,000","4,000",D,D,"98,000","3,000"
                    Naturalized,"100,000","3,500","103,000","4,500","26,000","3,500",D,D,"84,000","4,500"
               Non-U.S. citizen,"74,000","2,500","86,000","2,000","20,000",500,D,D,"89,000","27,000"
                    Permanent resident,"97,000","4,500","99,000","2,500","40,000","20,000",D,D,"95,000","21,000"
                    Temporary resident,"60,000","4,000","77,000","4,000","20,000",500,D,D,D,D
               Aeronautical/ aerospace/ astronautical engineers,"112,000","2,000","113,000","3,500","22,000","6,000",D,D,"114,000","8,000"
                    U.S. citizen,"113,000","3,000","114,000","5,000",*,*,D,D,"114,000","8,000"
                         Native-born,"113,000","3,000","116,000","5,000",*,*,D,D,"109,000","7,000"
                         Naturalized,"113,000","15,000","105,000","15,500",*,*,D,D,"127,000","7,500"
                    Non-U.S. citizen,"89,000","11,000","100,000","14,500",S,S,D,D,D,D
                         Permanent resident,"101,000","9,000","101,000","5,000",D,D,D,D,D,D
                         Temporary resident,S,S,*,*,S,S,D,D,D,D
               Chemical engineers,"92,000","5,500","95,000","7,000",D,D,D,D,"88,000","1,000"
                    U.S. citizen,"95,000","3,500","99,000","4,000",D,D,D,D,S,S
                         Native-born,"95,000","5,000","99,000","3,500",D,D,D,D,S,S
                         Naturalized,"96,000","6,500","95,000","12,000",D,D,D,D,D,D
                    Non-U.S. citizen,"67,000","10,500","83,000","19,500",S,S,D,D,D,D
                         Permanent resident,"95,000","2,000","95,000","1,500",D,D,D,D,D,D
                         Temporary resident,S,S,S,S,S,S,D,D,D,D
"               Civil, including architectural/ sanitary engineers","85,000","3,000","84,000","5,000","20,000","1,000",D,D,"87,000","2,500"
                    U.S. citizen,"87,000","1,500","85,000","4,500",*,*,D,D,"87,000","2,500"
                         Native-born,"87,000","2,500","85,000","5,500",*,*,D,D,"88,000","4,500"
                         Naturalized,"84,000","4,000","84,000","6,500",D,D,D,D,"84,000","5,500"
                    Non-U.S. citizen,"67,000","4,000","74,000","7,500","20,000","1,000",D,D,"70,000","16,500"
                         Permanent resident,"85,000","6,500","86,000","4,500",D,D,D,D,D,D
                         Temporary resident,S,S,"65,000","1,500","20,000","1,000",D,D,D,D
               Electrical/ computer hardware engineers,"104,000","1,000","105,000","4,000","24,000","5,000",D,D,"107,000","10,500"
                    U.S. citizen,"108,000","3,000","109,000","2,000","34,000","10,500",D,D,"108,000","11,000"
                         Native-born,"105,000","4,000","106,000","3,500","30,000","4,000",D,D,"111,000","11,500"
                         Naturalized,"115,000","5,500","117,000","4,000",D,D,D,D,"87,000","11,000"
                    Non-U.S. citizen,"86,000","2,500","94,000","4,500","20,000","3,000",D,D,D,D
                         Permanent resident,"109,000","7,000","110,000","7,000",D,D,D,D,D,D
                         Temporary resident,"70,000","6,500","85,000","2,500","20,000","2,500",D,D,D,D
               Industrial engineers,"89,000","8,500","90,000","9,500",S,S,D,D,"100,000","19,500"
                    U.S. citizen,"95,000","9,500","95,000","10,500",D,D,D,D,"100,000","19,500"
                         Native-born,"90,000","9,500","89,000","11,500",D,D,D,D,"95,000","19,000"
                         Naturalized,"100,000","13,500","97,000","13,500",D,D,D,D,D,D
                    Non-U.S. citizen,"65,000","6,000","74,000","4,500",S,S,D,D,D,D
                         Permanent resident,"87,000","25,000","87,000","25,000",D,D,D,D,D,D
                         Temporary resident,"59,000","13,500","67,000","6,000",S,S,D,D,D,D
               Mechanical engineers,"92,000","3,000","94,000","2,500","24,000","2,000",D,D,"97,000","3,500"
                    U.S. citizen,"95,000","2,000","96,000","3,000","32,000","8,500",D,D,"97,000","3,500"
                         Native-born,"96,000","2,500","96,000","3,500","31,000","6,500",D,D,"99,000","4,000"
                         Naturalized,"92,000","5,500","95,000","5,500",D,D,D,D,S,S
                    Non-U.S. citizen,"73,000","4,500","79,000","4,000","20,000","4,500",D,D,D,D
                         Permanent resident,"87,000","7,500","88,000","8,500",D,D,D,D,D,D
                         Temporary resident,"62,000","8,000","74,000","3,000","20,000","4,500",D,D,D,D
               Postsecondary teachers - engineering,"26,000","6,500",D,D,"25,000","3,500",D,D,D,D
                    U.S. citizen,"42,000","13,000",D,D,"37,000","15,000",D,D,D,D
                         Native-born,"45,000","12,000",D,D,"40,000","14,500",D,D,D,D
                         Naturalized,D,D,D,D,S,S,D,D,D,D
                    Non-U.S. citizen,"20,000","2,000",D,D,"20,000","2,000",D,D,D,D
                         Permanent resident,D,D,D,D,D,D,D,D,D,D
                         Temporary resident,"20,000","2,500",D,D,"20,000","2,500",D,D,D,D
               Other engineers,"94,000","3,000","96,000","5,000","23,000","2,500",D,D,"100,000","8,500"
                    U.S. citizen,"95,000","4,000","97,000","4,500","27,000","4,000",D,D,"100,000","8,000"
                         Native-born,"96,000","5,000","97,000","5,000","26,000","8,000",D,D,"101,000","4,500"
                         Naturalized,"90,000","8,500","99,000","9,000",D,D,D,D,"62,000","9,500"
                    Non-U.S. citizen,"79,000","9,000","88,000","11,500","22,000","2,000",D,D,D,D
                         Permanent resident,"98,000","6,000","100,000","11,000",D,D,D,D,D,D
                         Temporary resident,"59,000","22,000","83,000","2,500","21,000","2,000",D,D,D,D
     S&E-related occupations,"68,000","2,000","78,000","3,000","62,000","2,500","55,000","1,500","84,000","3,000"
          U.S. citizen,"68,000","2,000","79,000","3,000","63,000","4,000","55,000","1,500","84,000","3,000"
               Native-born,"65,000","1,500","76,000","2,000","64,000","4,500","55,000","1,000","84,000","3,500"
               Naturalized,"81,000","3,500","90,000","2,500","56,000","3,000","64,000","2,000","85,000","5,500"
          Non-U.S. citizen,"71,000","2,500","74,000","1,500","37,000","11,000","59,000","4,000","54,000","16,000"
               Permanent resident,"70,000","4,500","74,000","7,500","40,000","8,000","59,000",500,"59,000","18,500"
               Temporary resident,"71,000","2,000","74,000","2,500","30,000","5,500",S,S,D,D
          Health and related,"65,000","1,500","70,000","2,500","62,000","2,000","55,000","1,500","75,000","4,000"
               U.S. citizen,"65,000","2,000","70,000","1,500","62,000","2,000","55,000","1,500","75,000","4,000"
                    Native-born,"65,000","1,000","69,000","3,000","62,000","2,000","55,000","2,000","75,000","4,000"
                    Naturalized,"72,000","4,500","74,000","5,000","55,000","12,500","50,000","3,500","71,000","9,500"
               Non-U.S. citizen,"58,000","10,000","56,000","9,500","90,000","42,500",D,D,"59,000","14,500"
                    Permanent resident,"54,000","14,000","53,000","15,500",D,D,S,S,D,D
                    Temporary resident,"60,000","15,000","61,000","15,500","70,000","12,500",D,D,D,D
          S&E manager,"110,000","3,000","120,000",500,"104,000","27,000","74,000","5,000","91,000","4,000"
               U.S. citizen,"112,000","6,000","122,000","4,000","106,000","26,000","74,000","5,000","91,000","3,500"
                    Native-born,"110,000","2,000","120,000","1,000","108,000","30,000","74,000","5,000","91,000","4,000"
                    Naturalized,"122,000","4,500","127,000","5,000",S,S,D,D,"92,000","8,000"
               Non-U.S. citizen,"94,000","10,500","94,000","11,000",D,D,D,D,D,D
                    Permanent resident,"104,000","10,000","107,000","10,500",D,D,D,D,D,D
                    Temporary resident,"88,000","5,000","88,000","5,000",D,D,D,D,D,D
          S&E precollege teacher,"55,000","1,500",D,D,D,D,"55,000","1,500",D,D
               U.S. citizen,"55,000","1,500",D,D,D,D,"55,000","1,500",D,D
                    Native-born,"54,000","2,000",D,D,D,D,"54,000","2,000",D,D
                    Naturalized,"64,000","1,500",D,D,D,D,"64,000","1,500",D,D
               Non-U.S. citizen,"59,000","3,000",D,D,D,D,"59,000","3,000",D,D
                    Permanent resident,"59,000","5,000",D,D,D,D,"59,000","5,000",D,D
                    Temporary resident,"71,000","21,500",D,D,D,D,"71,000","21,500",D,D
          S&E technician/ technologist,"80,000","3,000","84,000","2,500","39,000","2,500",S,S,"72,000","3,500"
               U.S. citizen,"82,000","2,000","84,000","1,500","44,000","4,500",S,S,"72,000","5,000"
                    Native-born,"80,000","3,500","83,000","3,000","45,000","10,500",S,S,"72,000","5,500"
                    Naturalized,"84,000","1,500","84,000","11,000","43,000","5,500",D,D,"71,000","13,000"
               Non-U.S. citizen,"65,000","8,500","72,000","8,000","24,000","4,500",D,D,D,D
                    Permanent resident,"74,000","15,500","81,000","11,500",S,S,D,D,D,D
                    Temporary resident,"60,000","7,500","70,000","5,500","22,000","4,000",D,D,D,D
          Other S&E-related,"72,000","7,000","71,000","7,000",S,S,D,D,"96,000","15,000"
               U.S. citizen,"75,000","6,000","75,000","7,000",S,S,D,D,"96,000","15,000"
                    Native-born,"74,000","8,000","73,000","8,500",S,S,D,D,S,S
                    Naturalized,"98,000","12,000","98,000","25,000",D,D,D,D,D,D
               Non-U.S. citizen,"60,000","4,500","60,000","4,500",D,D,D,D,D,D
                    Permanent resident,"58,000","5,000","58,000","5,000",D,D,D,D,D,D
                    Temporary resident,"57,000","9,500","57,000","9,500",D,D,D,D,D,D
     Non-S&E occupations,"60,000","1,000","69,000","2,500","46,000","3,000","52,000",500,"68,000","3,000"
          U.S. citizen,"60,000",500,"68,000","4,000","47,000","3,500","52,000",500,"68,000","2,500"
               Native-born,"60,000",500,"65,000","3,500","45,000","2,000","52,000",500,"69,000","2,500"
               Naturalized,"70,000","2,500","76,000","7,000","61,000","2,000","60,000","3,500","66,000","11,500"
          Non-U.S. citizen,"64,000","4,500","70,000","4,000","26,000","12,000","24,000","10,500","27,000","4,000"
               Permanent resident,"58,000","8,500","62,000","4,000","59,000","14,000",S,S,S,S
               Temporary resident,"77,000","6,500","89,000","12,500","16,000","1,000",S,S,D,D
          Arts/ humanities/ related,"37,000","4,500","37,000","3,000","53,000","13,500",D,D,"58,000","5,500"
               U.S. citizen,"37,000","2,000","37,000","3,000","54,000","13,000",D,D,"59,000","10,000"
                    Native-born,"37,000","2,000","37,000","2,000","54,000","13,000",D,D,"59,000","10,000"
                    Naturalized,S,S,S,S,D,D,D,D,D,D
               Non-U.S. citizen,"45,000","6,500","46,000","5,000",D,D,D,D,D,D
                    Permanent resident,"40,000","17,000","40,000","15,500",D,D,D,D,D,D
                    Temporary resident,S,S,S,S,D,D,D,D,D,D
          Management-related,"85,000","2,000","90,000","2,500","62,000","5,500","59,000","7,000","78,000","4,000"
               U.S. citizen,"85,000","1,500","90,000","2,500","62,000","5,000","59,000","7,000","78,000","4,000"
                    Native-born,"85,000","1,500","90,000","3,500","54,000","12,000","48,000","13,000","80,000","4,500"
                    Naturalized,"83,000","7,000","90,000","4,000","72,000","6,500",D,D,"71,000","20,000"
               Non-U.S. citizen,"77,000","6,500","78,000","12,000",S,S,D,D,D,D
                    Permanent resident,"84,000","14,500","89,000","12,000",D,D,D,D,D,D
                    Temporary resident,"75,000","3,500","75,000","4,000",D,D,D,D,D,D
          Non-S&E manager,"113,000","3,500","125,000","6,000","90,000","2,000","80,000","6,500","104,000","6,000"
               U.S. citizen,"114,000","4,000","129,000","7,000","90,000","2,000","80,000","6,500","104,000","6,000"
                    Native-born,"113,000","3,500","125,000","6,500","89,000","3,000","85,000","7,500","107,000","8,000"
                    Naturalized,"119,000","11,500","149,000","4,000","82,000","5,500","78,000","7,500","93,000","2,500"
               Non-U.S. citizen,"99,000","8,000","99,000","8,000",D,D,D,D,D,D
                    Permanent resident,"94,000","13,000","95,000","13,000",D,D,D,D,D,D
                    Temporary resident,"106,000","10,000","106,000","10,000",D,D,D,D,D,D
          Non-S&E postsecondary teacher,"26,000","4,000",D,D,"24,000","2,000","41,000","4,000",D,D
               U.S. citizen,"26,000","4,500",D,D,"24,000","2,000","40,000","4,500",D,D
                    Native-born,"28,000","5,000",D,D,"25,000","2,500","41,000","4,000",D,D
                    Naturalized,"22,000","3,000",D,D,"22,000","4,500","21,000","6,000",D,D
               Non-U.S. citizen,"18,000","8,000",D,D,"17,000","1,000",S,S,D,D
                    Permanent resident,"43,000","13,000",D,D,"26,000","11,500",S,S,D,D
                    Temporary resident,"16,000","1,000",D,D,"16,000","1,500",D,D,D,D
          Non-S&E precollege/ other teacher,"50,000","1,000",D,D,D,D,"50,000","1,000",D,D
               U.S. citizen,"50,000","1,000",D,D,D,D,"50,000","1,000",D,D
                    Native-born,"50,000","1,500",D,D,D,D,"50,000","1,500",D,D
                    Naturalized,"50,000","9,000",D,D,D,D,"50,000","9,000",D,D
               Non-U.S. citizen,S,S,D,D,D,D,S,S,D,D
                    Permanent resident,S,S,D,D,D,D,S,S,D,D
