"Table 2. U.S. scientists and engineers, by labor force status and level of highest degree: 2013",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
               No S&E degree but holds at least one S&E-related degree,"3,101,000","67,000",100,0,"1,841,000","50,000",59.4,0.95,"734,000","26,500",23.7,0.75,"42,000","6,000",1.4,0.2,"485,000","23,000",15.6,0.65
               Non-S&E degree only,"1,192,000","59,000",100,0,"849,000","51,500",71.2,2,"321,000","25,500",26.9,1.9,"17,000","6,500",1.4,0.55,S,S,S,S
          Employed in non-S&E occupation,"10,368,000","180,500",100,0,"6,079,000","138,500",58.6,0.65,"3,247,000","75,000",31.3,0.6,"279,000","9,000",2.7,0.1,"764,000","25,500",7.4,0.25
               Educated in S&E (holds at least one S&E degree),"8,977,000","144,000",100,0,"5,250,000","114,000",58.5,0.65,"2,773,000","63,000",30.9,0.6,"253,000","8,000",2.8,0.1,"701,000","24,500",7.8,0.3
               No S&E degree but holds at least one S&E-related degree,"1,391,000","55,500",100,0,"829,000","43,500",59.6,1.5,"474,000","23,500",34.1,1.4,"26,000","4,000",1.9,0.3,"63,000","9,000",4.5,0.65
               Non-S&E degree only,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne
     Unemployeda,"930,000","31,000",100,0,"586,000","26,000",63,1.6,"268,000","16,000",28.8,1.5,"28,000","2,500",3,0.25,"48,000","7,000",5.2,0.75
          Educated in S&E (holds at least one S&E degree),"774,000","27,000",100,0,"478,000","23,500",61.8,1.8,"229,000","15,000",29.6,1.7,"27,000","2,500",3.5,0.3,"41,000","7,000",5.3,0.9
          No S&E degree but holds at least one S&E-related degree,"156,000","13,500",100,0,"108,000","11,500",69.2,3.35,"39,000","5,500",25,3.05,"1,000",500,0.6,0.3,"7,000","3,000",4.5,1.7
          Non-S&E degree only,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne
     Not in labor forceb,"4,463,000","71,000",100,0,"2,632,000","60,500",59,0.9,"1,401,000","41,000",31.4,0.85,"178,000","8,000",4,0.2,"253,000","19,000",5.7,0.45
          Educated in S&E (holds at least one S&E degree),"3,505,000","60,000",100,0,"2,058,000","50,500",58.7,0.9,"1,127,000","34,000",32.2,0.85,"163,000","7,500",4.7,0.25,"156,000","14,000",4.5,0.4
          No S&E degree but holds at least one S&E-related degree,"958,000","33,500",100,0,"573,000","25,000",59.8,1.85,"273,000","18,000",28.5,1.65,"15,000","3,000",1.6,0.35,"96,000","13,000",10,1.25
          Non-S&E degree only,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne
,,,,,,,,,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. ne = not eligible; does not meet SESTAT population criteria. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
a Unemployed includes individuals who were not working during the survey reference week but had been seeking work in the prior 4 weeks or who were on layoff from job.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"b Not in labor force includes individuals who were not working during the survey reference week and had not been seeking work in the prior 4 weeks because of retirement, family responsibilities, chronic illness, or other reasons.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NOTES: Numbers are rounded to the nearest 1,000. Standard errors for numbers are rounded up to the nearest 500. Percentages are based on rounded numbers and are rounded to the nearest 0.1%. Standard errors for percentages are rounded up to the nearest 0.05%. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
