"Table 16-3. Median annual salaries of employed U.S. scientists and engineers with a master's as the highest degree, by occupation, ethnicity, race, and years since highest degree: 2013",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Level of highest degree, occupation, ethnicity, and race             ",Employed scientists and engineers,,< 5,,5–9,,10–14,,15–19,,20–24,,25–29,,30–34,,35+,
                    White,"74,000","2,500","50,000","5,000","69,000","4,000","77,000","4,000","91,000","5,000","90,000","7,500","85,000","8,500","90,000","6,500","50,000","7,500"
                    Other racec,"75,000","9,500","65,000","21,000","76,000","34,500","84,000","17,000",D,D,S,S,D,D,D,D,D,D
               Biological/ agricultural/ other life scientists,"54,000","4,000","35,000","3,000","53,000","3,000","70,000","3,500","85,000",500,"73,000","9,000","67,000","13,500","63,000","12,000","49,000",500
                    Hispanic or Latinoa ,"47,000","8,500","44,000","9,000","40,000","4,500","87,000","12,500",D,D,*,*,D,D,D,D,D,D
                    Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Nativeb,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,"39,000","6,000","28,000","2,500","25,000","4,000",S,S,"89,000","4,000","103,000","30,000",D,D,D,D,D,D
                         Black or African American,"40,000","17,500","29,000","5,000","52,000","2,500",*,*,*,*,*,*,D,D,D,D,D,D
                         White,"60,000","1,000","38,000","3,500","58,000","4,500","73,000","4,500","85,000",500,"63,000","10,500","66,000","13,000","61,000","13,500","49,000","1,000"
                         Other racec,"42,000","6,000","35,000","9,000",D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Agricultural/ food sciences,"46,000","17,000","40,000","10,500","61,000","4,000",S,S,S,S,"72,000","12,500","109,000","27,500",S,S,S,S
                         Hispanic or Latinoa ,"36,000","7,000",*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"37,000","2,000",S,S,D,D,S,S,D,D,D,D,D,D,D,D,D,D
                              Black or African American,"61,000","28,500",D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              White,"58,000","17,000","40,000","9,500","57,000","10,500","70,000","12,500",S,S,S,S,"83,000","11,500",*,*,S,S
                              Other racec,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Biological and medical scientists,"59,000","2,500","39,000","6,000","53,000","4,000","78,000","4,000","94,000","4,500","94,000","12,500","81,000","27,500","61,000","12,500","60,000","9,500"
                         Hispanic or Latinoa ,"46,000","2,500","44,000","9,000","55,000","12,500",D,D,D,D,*,*,D,D,D,D,D,D
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"44,000","17,500","29,000","2,500","25,000","2,500","77,000","20,500","88,000","7,500","129,000","30,500",D,D,D,D,D,D
                              Black or African American,"47,000","16,500","30,000","4,500","52,000","2,000",D,D,*,*,D,D,D,D,D,D,D,D
                              White,"62,000","3,500","42,000","5,500","59,000","3,000","78,000","4,000","98,000","3,500","61,000","26,000","82,000","15,000","58,000","14,500","59,000","12,000"
                              Other racec,"39,000","9,500","34,000","9,000",*,*,D,D,D,D,D,D,D,D,D,D,D,D
                    Environmental life scientists,"64,000","5,000","38,000","9,500","57,000","10,000","54,000","7,500",D,D,*,*,*,*,D,D,S,S
                         Hispanic or Latinoa ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Black or African American,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              White,"65,000","4,000","31,000","7,500","57,000","11,000",S,S,D,D,*,*,*,*,D,D,S,S
                              Other racec,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Postsecondary teachers - life/ related sciences,"29,000","3,000","23,000","3,000","42,000","15,000",S,S,D,D,S,S,S,S,S,S,S,S
                         Hispanic or Latinoa ,"21,000","3,000",*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"19,000","2,500",D,D,S,S,D,D,D,D,D,D,D,D,D,D,D,D
                              Black or African American,S,S,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              White,"38,000","14,000","23,000","3,000","43,000",500,S,S,S,S,S,S,D,D,S,S,D,D
                              Other racec,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
               Computer/ mathematical scientists,"91,000","2,500","75,000","4,000","90,000","1,000","100,000","3,000","105,000","4,500","107,000","2,500","107,000","5,000","101,000","3,500","65,000","15,500"
                    Hispanic or Latinoa ,"77,000","1,500","72,000","12,000","77,000","2,000","101,000","5,000","101,000","16,000","83,000","22,500",D,D,D,D,D,D
                    Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Nativeb,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,"96,000","2,500","81,000","3,000","90,000","1,500","105,000","6,000","100,000","2,000","105,000","3,000","109,000","8,500","115,000","21,500",S,S
                         Black or African American,"82,000","1,500","62,000","16,500","85,000","8,000","86,000","9,000","81,000","6,000","91,000","6,500",D,D,D,D,D,D
                         White,"92,000","3,500","72,000","7,000","90,000","2,500","103,000","5,000","112,000","4,500","110,000","4,000","107,000","7,000","101,000","4,500","66,000","20,500"
                         Other racec,"93,000","6,000","84,000","20,500","111,000","18,000",D,D,D,D,D,D,D,D,D,D,D,D
                    Computer and information scientists,"96,000","2,000","80,000",500,"92,000","2,000","104,000","2,500","108,000","3,500","108,000","3,000","109,000","2,000","107,000","8,500","77,000","7,000"
                         Hispanic or Latinoa ,"87,000","8,500","79,000","14,000","75,000","6,000","100,000","3,000",D,D,D,D,D,D,D,D,D,D
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"98,000","3,500","84,000","3,000","90,000","4,000","106,000","6,500","100,000","2,000","105,000","2,500","110,000","9,500","115,000","21,500",S,S
                              Black or African American,"85,000","5,500","74,000","6,000","85,000","13,500","88,000","10,000",D,D,D,D,D,D,D,D,D,D
                              White,"100,000","2,000","80,000","4,000","92,000","1,500","105,000","2,000","115,000","4,500","112,000","4,000","108,000","1,500","105,000","8,500","75,000","6,500"
                              Other racec,"95,000","3,500","89,000","19,500","112,000","15,000",D,D,D,D,D,D,D,D,D,D,D,D
                    Mathematical scientists,"77,000","1,500","60,000","3,000","80,000","8,000","73,000","6,000","90,000","17,500","131,000","54,500",S,S,"87,000","15,000",S,S
                         Hispanic or Latinoa ,"77,000","2,500",S,S,S,S,S,S,D,D,D,D,D,D,D,D,D,D
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"80,000","3,000","65,000","5,500","80,000","13,000","93,000","16,500","108,000","10,500",D,D,D,D,D,D,D,D
                              Black or African American,S,S,S,S,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                              White,"78,000","7,000","59,000","3,000","88,000","4,500","70,000","14,000","86,000","18,000","132,000","39,000",S,S,D,D,S,S
                              Other racec,S,S,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Postsecondary teachers - computer/ math sciences,"36,000","3,000","21,000","3,000","30,000","8,000","40,000",500,"49,000","6,500","49,000","17,500","48,000","1,500","40,000","18,500","20,000","7,000"
                         Hispanic or Latinoa ,"21,000","5,000","20,000","4,500",S,S,D,D,D,D,D,D,D,D,D,D,D,D
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"21,000","3,500","19,000",500,S,S,D,D,D,D,D,D,D,D,D,D,D,D
                              Black or African American,S,S,S,S,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                              White,"38,000","3,000","22,000","2,500","38,000","7,000","40,000","1,500","50,000","6,500","46,000","18,500","48,000","7,500","49,000","12,500",S,S
                              Other racec,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
               Physical/ related scientists,"64,000","6,000","33,000","3,500","59,000","4,500","62,000","5,500","97,000","4,000","74,000","11,000","93,000","8,000","105,000","18,500","89,000","8,500"
                    Hispanic or Latinoa ,"71,000","2,500","53,000","22,000","90,000","24,500",*,*,D,D,D,D,D,D,D,D,D,D
                    Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,"33,000","13,000","22,000","2,000","20,000","3,500",S,S,"88,000","25,000",S,S,*,*,D,D,"86,000","9,000"
                         Black or African American,"51,000","19,500",S,S,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                         White,"69,000","4,000","37,000","7,500","62,000","3,000","60,000","2,000","98,000","5,500","75,000","11,000","90,000","8,500","107,000","23,500","89,000","10,000"
                         Other racec,"48,000","16,500",*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D
"                    Chemists, except biochemists","68,000","4,000","42,000","4,000","73,000","14,500","75,000","15,500","81,000","8,500","94,000","12,500","78,000","3,000","62,000","16,000",S,S
                         Hispanic or Latinoa ,"72,000","1,000",*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"61,000","7,500","50,000","16,000","98,000","21,500",D,D,"79,000","14,000",D,D,*,*,D,D,*,*
                              Black or African American,"58,000","21,000",D,D,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                              White,"67,000","5,000","42,000","2,500","54,000","13,500","89,000","22,000","82,000","8,500","94,000","11,500","75,000","7,000","66,000","15,000","30,000","10,500"
                              Other racec,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Earth/ atmospheric/ ocean scientists,"80,000","6,000","44,000","9,500","63,000","7,000",S,S,"130,000","5,000","77,000","3,500","103,000","16,500","108,000","22,000","86,000","25,500"
                         Hispanic or Latinoa ,"125,000","43,500",*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"34,000","9,500","25,000","6,500",D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Black or African American,*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              White,"82,000","5,500","58,000","11,500","67,000","6,000","60,000","4,000","129,000","6,000","77,000","1,500","101,000","15,000","112,000","26,500","84,000","22,000"
                              Other racec,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Physicists and astronomers,"33,000","5,500","26,000","6,500",S,S,D,D,*,*,*,*,S,S,D,D,*,*
                         Hispanic or Latinoa ,"96,000","1,000",*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"19,000","1,500","18,000","2,500",*,*,D,D,D,D,D,D,D,D,D,D,D,D
                              Black or African American,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              White,S,S,"31,000","4,000",S,S,D,D,D,D,*,*,D,D,D,D,*,*
                              Other racec,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Postsecondary teachers - physical/ related sciences,"22,000","2,500","21,000","1,000","16,000","2,500",D,D,S,S,S,S,D,D,D,D,S,S
                         Hispanic or Latinoa ,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"18,000","1,500","18,000","4,500","16,000","2,000",D,D,D,D,D,D,D,D,D,D,D,D
                              Black or African American,S,S,S,S,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              White,"23,000","8,500","21,000",500,D,D,D,D,S,S,S,S,D,D,D,D,D,D
                              Other racec,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Other physical/ related scientists,"72,000","9,000","63,000","10,000","55,000","3,500","56,000","7,000","84,000","6,000",S,S,S,S,S,S,D,D
                         Hispanic or Latinoa ,*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,S,S,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Black or African American,"84,000","31,500",*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              White,"75,000","6,000","74,000","14,500","58,000","5,500",S,S,"81,000","6,000",*,*,D,D,*,*,D,D
                              Other racec,*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D
               Social/related scientists,"48,000","3,000","30,000","4,000","52,000","4,500","59,000","3,500","59,000","4,000","56,000","5,000","32,000","11,000","77,000","12,500",S,S
                    Hispanic or Latinoa ,"54,000","9,000","59,000","23,000","51,000","12,500",S,S,"76,000","36,500",D,D,D,D,S,S,D,D
                    Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Nativeb,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,"31,000","15,500","16,000",500,"38,000","10,500","64,000","2,000",D,D,S,S,D,D,*,*,D,D
                         Black or African American,"50,000","2,000","43,000","15,000",S,S,"60,000","21,000",D,D,"45,000","7,500",D,D,S,S,*,*
                         White,"47,000","3,500","29,000","5,000","54,000","2,500","56,000","8,000","60,000","2,500","63,000","8,500","32,000","10,500","81,000","6,500",S,S
                         Other racec,S,S,"31,000","12,500",S,S,S,S,D,D,D,D,D,D,D,D,D,D
                    Economists,"58,000","8,000",S,S,"52,000","8,500","87,000","4,500","90,000","11,000","146,000","11,500",*,*,*,*,"82,000","26,000"
                         Hispanic or Latinoa ,"142,000","52,000",*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"16,000","2,500","16,000",500,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                              Black or African American,S,S,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              White,"62,000","5,000",S,S,"54,000","2,500",*,*,"86,000","16,000","120,000","17,000",*,*,*,*,"79,000","26,500"
                              Other racec,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Political scientists,"88,000","33,000","115,000","18,500",S,S,S,S,S,S,*,*,D,D,D,D,D,D
                         Hispanic or Latinoa ,*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Black or African American,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              White,"99,000","36,000",S,S,S,S,S,S,D,D,D,D,D,D,D,D,D,D
                              Other racec,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Postsecondary teachers - social/ related sciences,"21,000","4,000","16,000","3,000","15,000","4,500","23,000","3,000","51,000",500,S,S,"17,000","5,000",S,S,"23,000","2,500"
                         Hispanic or Latinoa ,"21,000","5,500","23,000","7,500","19,000","4,000",D,D,D,D,S,S,D,D,D,D,D,D
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"16,000","1,500","16,000","1,000","20,000","5,500",D,D,D,D,D,D,D,D,D,D,D,D
                              Black or African American,"49,000","5,500",S,S,S,S,D,D,D,D,D,D,D,D,D,D,D,D
                              White,"22,000","4,500","18,000","5,000",S,S,"22,000","3,000","46,000","5,000",D,D,D,D,S,S,"23,000","1,500"
                              Other racec,S,S,S,S,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Psychologists,"53,000","3,500","40,000","8,000","53,000","1,500","60,000","2,000","59,000","3,000","58,000","12,000","36,000","14,500","70,000","11,000","70,000","16,500"
                         Hispanic or Latinoa ,"57,000","1,500",S,S,"50,000","3,000",S,S,S,S,D,D,D,D,D,D,D,D
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"49,000","8,500",D,D,*,*,*,*,D,D,D,D,D,D,D,D,D,D
                              Black or African American,"53,000","5,000",S,S,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                              White,"51,000","3,500","30,000","4,500","53,000","1,000","59,000","3,000","59,000","3,000","61,000","7,000","35,000","14,000","81,000","15,500","75,000","19,000"
                              Other racec,S,S,"45,000","18,500",*,*,D,D,D,D,D,D,D,D,D,D,D,D
                    Sociologists and anthropologists,"45,000","6,500","23,000","1,500","44,000","13,500","64,000","14,000",*,*,D,D,D,D,D,D,*,*
                         Hispanic or Latinoa ,*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,S,S,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Black or African American,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              White,"47,000","8,000","23,000","1,000","53,000","15,500","63,000","7,500",*,*,D,D,D,D,D,D,*,*
                              Other racec,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Other social and related scientists,"61,000","5,000","40,000","14,500","80,000","17,000","64,000","8,500","65,000","13,500","61,000","29,500",D,D,"76,000","22,500",S,S
                         Hispanic or Latinoa ,"30,000","11,000","26,000","5,500",S,S,D,D,D,D,D,D,D,D,D,D,D,D
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"47,000","16,000","33,000","14,000",S,S,D,D,D,D,D,D,D,D,D,D,D,D
                              Black or African American,"43,000","2,000",S,S,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                              White,"64,000","5,000","43,000","19,000","80,000","21,000",S,S,"65,000","12,000","79,000","21,500",D,D,S,S,S,S
                              Other racec,"53,000","3,000",*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D
          Engineering occupations,"96,000","1,500","72,000","3,000","90,000","1,500","100,000","3,000","108,000","3,000","105,000","3,500","111,000","3,000","115,000","6,000","102,000","5,500"
               Hispanic or Latinoa ,"86,000","4,500","71,000","9,500","89,000","3,500","98,000","12,500","90,000","19,500","69,000","34,000","113,000","11,500",D,D,S,S
               Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Nativeb,"76,000","6,000",D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"90,000","3,000","65,000","2,000","86,000","2,000","114,000","5,500","115,000","8,000","100,000","6,500","123,000","19,500","114,000","5,500","99,000","6,500"
                    Black or African American,"85,000","2,500","66,000","24,500","84,000","3,000","114,000","4,000",D,D,"97,000","23,000",S,S,D,D,D,D
                    White,"100,000","1,500","75,000","1,000","94,000","3,500","98,000","3,000","108,000","2,500","107,000","4,000","110,000","2,500","116,000","4,500","105,000","6,000"
                    Other racec,"90,000","2,000","74,000","3,500","99,000","6,000","90,000","1,500",D,D,*,*,D,D,D,D,D,D
               Aeronautical/ aerospace/ astronautical engineers,"112,000","2,000","87,000","6,500","103,000","1,500","113,000","4,500","114,000","9,000","130,000","12,000","124,000","29,000",D,D,"100,000","48,500"
                    Hispanic or Latinoa ,"95,000","15,000",S,S,"90,000",500,D,D,D,D,D,D,D,D,D,D,D,D
                    Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,"102,000","5,000",S,S,"103,000","4,000",*,*,D,D,D,D,D,D,D,D,D,D
                         Black or African American,"97,000","11,000",*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                         White,"115,000","4,000","88,000","7,000","111,000","15,500","114,000","4,000","111,000","12,500","130,000","19,500","124,000","28,000",D,D,S,S
                         Other racec,"92,000","17,500",*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D
               Chemical engineers,"92,000","5,500","66,000","4,500","95,000","4,000","92,000","7,000","112,000","5,500","108,000","6,000",D,D,*,*,"84,000","6,500"
                    Hispanic or Latinoa ,"94,000","8,000",*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                    Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,"87,000","13,500",S,S,*,*,*,*,*,*,D,D,D,D,D,D,D,D
                         Black or African American,S,S,S,S,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                         White,"94,000","5,000","64,000","21,000","88,000","8,500","92,000","5,000","110,000","4,000","110,000","13,500",S,S,*,*,"83,000","9,000"
                         Other racec,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
"               Civil, including architectural/ sanitary engineers","85,000","3,000","62,000","4,000","79,000","3,500","93,000","3,500","98,000","9,000","93,000","6,000","94,000","9,500","104,000","7,000","99,000","15,500"
                    Hispanic or Latinoa ,"60,000","8,000","59,000","1,000","76,000","4,500",D,D,D,D,D,D,D,D,D,D,*,*
                    Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,"88,000","5,000","64,000","1,500","95,000","15,500","88,000","13,000",D,D,"88,000","9,500",D,D,D,D,"86,000","15,500"
                         Black or African American,"78,000","4,000",*,*,"70,000","9,500",D,D,D,D,D,D,D,D,D,D,D,D
                         White,"87,000","2,000","60,000","4,000","78,000","6,000","94,000","3,000","99,000","4,000","94,000","5,500","94,000","10,500","103,000","6,500","106,000","22,000"
                         Other racec,"81,000","6,000",*,*,D,D,*,*,D,D,D,D,D,D,D,D,D,D
               Electrical/ computer hardware engineers,"104,000","1,000","80,000","7,000","97,000","3,500","118,000","4,500","120,000","5,000","110,000","8,000","122,000","8,500","104,000","32,000","120,000","7,000"
                    Hispanic or Latinoa ,"94,000","5,000","75,000","12,500","88,000","6,500",D,D,D,D,D,D,D,D,D,D,D,D
                    Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,"101,000","5,000","74,000","7,000","89,000","10,000","121,000","8,500","137,000","25,500","119,000","3,000","133,000","19,000",D,D,"102,000","11,000"
                         Black or African American,"84,000","1,000",S,S,"83,000","9,000",*,*,D,D,D,D,D,D,D,D,D,D
