"Table 3-3. Broad occupation category of employed U.S. scientists and engineers with a master's as the highest degree, by field of highest degree: 2013",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Level and field of highest degree             ,,,,S&E occupations,,,,,,,,,,S&E-related occupations,,,,,,,,,,,
,All occupations,,,Biological/ agricultural/,,Computer/ mathematical,,Physical/ related scientists,,Social/ related scientists,,Engineering,,Health occupations,,"S&E managers, including health",,S&E pre-college teachers,,S&E technicians and technologists,,Other S&E-related occupations,,Non-S&E occupations,
                    Computer/ information sciences,"481,000","17,000",100,S,S,59.9,1.9,S,S,S,S,3.3,0.5,0.6,0.2,7.1,1.05,0.4,0.15,6,0.95,0.2,0.15,21.8,1.65
                    Mathematics/ statistics,"145,000","11,000",100,*,*,42.1,3.5,D,D,0.7,0.3,2.8,1.05,S,S,2.1,0.75,13.1,2.3,4.8,1.65,2.8,1.45,28.3,3.8
               Physical/ related sciences,"145,000","7,500",100,6.9,1.35,6.2,1.2,36.6,2.65,*,*,6.2,1.05,2.1,0.75,4.8,1.2,9,1.9,3.4,0.7,D,D,24.1,3
"                    Chemistry, except biochemistry","54,000","5,500",100,13,3.05,S,S,29.6,4.2,D,D,1.9,0.85,S,S,3.7,1.9,13,4.25,3.7,1.2,D,D,29.6,5.9
                    Earth/ atmospheric/ ocean sciences,"55,000","5,000",100,1.8,0.8,3.6,1.55,50.9,4.5,D,D,5.5,1.7,D,D,5.5,1.8,9.1,2.25,1.8,0.6,D,D,20,4.7
                    Physics/ astronomy,"33,000","3,500",100,6.1,2.25,15.2,3.6,24.2,3.5,D,D,12.1,3.15,S,S,6.1,2.65,3,1.45,6.1,2,D,D,18.2,4.95
                    Other physical sciences,"3,000","1,000",100,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,33.3,15.3
               Social/ related sciences,"858,000","27,500",100,0.3,0.1,2.9,0.35,0.2,0.1,16.9,1.25,0.8,0.2,4.1,0.55,2.2,0.5,2.4,0.45,0.5,0.15,*,*,69.6,1.5
                    Economics,"90,000","7,000",100,S,S,4.4,1.2,D,D,13.3,2.05,1.1,0.55,1.1,0.6,4.4,2,*,*,1.1,0.65,D,D,72.2,3.3
                    Political/ related sciences,"144,000","10,500",100,D,D,4.2,1.35,D,D,12.5,2.35,2.1,0.6,2.8,1.35,3.5,1.05,S,S,*,*,D,D,73.6,3
                    Psychology,"435,000","19,500",100,0.2,0.1,0.9,0.3,D,D,21.4,2,S,S,5.1,0.8,1.6,0.6,1.8,0.55,D,D,D,D,68.5,2.1
                    Sociology/ anthropology,"65,000","6,000",100,S,S,3.1,1.55,D,D,20,2.85,D,D,*,*,D,D,S,S,D,D,D,D,67.7,3.85
                    Other social sciences,"124,000","9,500",100,*,*,6.5,1.6,1.6,0.45,8.1,2.25,1.6,0.35,5.6,1.55,2.4,1.2,5.6,2,S,S,D,D,67.7,3.7
          Engineering,"694,000","17,500",100,0.6,0.1,17,1,1.2,0.25,0.1,0.1,43.7,1.2,0.4,0.15,6.9,0.7,0.6,0.25,6.6,0.75,0.3,0.15,22.6,1.25
               Aerospace/ related engineering,"32,000","4,000",100,D,D,S,S,S,S,D,D,31.3,5.4,D,D,9.4,3,D,D,6.3,3.65,D,D,43.8,7.5
               Chemical engineering,"26,000","3,500",100,*,*,11.5,3.55,3.8,2.15,D,D,50,6.4,D,D,7.7,3.2,D,D,3.8,2.5,D,D,19.2,6
               Civil/ architectural engineering,"97,000","6,000",100,D,D,4.1,1.4,S,S,D,D,60.8,3.5,D,D,14.4,2.6,D,D,S,S,S,S,15.5,2.25
               Electrical/ computer engineering,"254,000","10,500",100,S,S,34.3,1.85,S,S,D,D,34.6,1.75,D,D,4.3,0.8,S,S,8.3,1.05,D,D,16.5,1.75
               Industrial engineering,"46,000","4,500",100,D,D,8.7,2,D,D,D,D,28.3,3.8,D,D,10.9,3.25,D,D,2.2,0.85,D,D,50,4.7
               Mechanical engineering,"115,000","6,500",100,D,D,7.8,1.45,S,S,D,D,52.2,2.75,D,D,5.2,1.55,S,S,7.8,2.1,D,D,23.5,2.95
               Other engineering,"124,000","7,500",100,2.4,0.45,7.3,1.35,1.6,0.35,D,D,48.4,2.8,S,S,5.6,1.25,D,D,8.1,1.75,D,D,25,2.85
     S&E-related field,"1,423,000","36,000",100,1.1,0.2,3.1,0.35,0.2,0.05,1.5,0.25,1.2,0.2,46,1.3,4,0.5,7.7,0.8,1,0.2,4.4,0.5,29.7,1.2
          Health,"1,007,000","28,500",100,1.1,0.2,1.1,0.25,0.2,0.05,0.9,0.2,0.2,0.1,64.4,1.3,4.7,0.6,0.2,0.1,0.3,0.1,D,D,27,1.2
          Science/ mathematics teacher education,"208,000","14,000",100,S,S,5.8,1.2,0.5,0.25,D,D,1.4,0.45,1.4,0.6,D,D,49,3.15,D,D,D,D,39.9,2.95
          Technology/ technical fields,"53,000","5,500",100,S,S,28.3,3.85,D,D,D,D,15.1,2.35,D,D,3.8,1.45,D,D,15.1,3.1,D,D,32.1,4.65
          Other S&E-related fields,"154,000","11,000",100,D,D,3.9,1.15,D,D,7.1,1.65,3.2,0.85,D,D,5.2,1.5,D,D,1.3,0.65,40.9,3.65,32.5,3.5
     Non-S&E field,"2,863,000","63,000",100,1,0.2,6.6,0.4,0.3,0.1,2.7,0.3,3.2,0.25,5.3,0.4,3.5,0.35,11.9,0.8,1.9,0.3,0.2,0.1,63.4,0.95
          Art/ humanities fields,"143,000","11,500",100,D,D,12.6,2.05,D,D,2.1,0.9,*,*,8.4,2.1,D,D,14.7,3.5,S,S,D,D,56.6,4.1
"          Education, except science/ math teacher education","911,000","37,000",100,0.3,0.15,1.5,0.3,S,S,1.1,0.3,D,D,4.9,0.6,0.3,0.15,32.2,1.85,0.3,0.15,D,D,59.1,1.85
          Management/ administration,"1,180,000","33,000",100,0.8,0.3,11.4,0.75,0.4,0.15,1.4,0.4,6.8,0.5,4.6,0.55,6.6,0.65,1.4,0.55,3.6,0.6,0.3,0.15,62.7,1.3
          Sales/ marketing,"70,000","7,000",100,*,*,7.1,2.4,D,D,1.4,0.55,7.1,2.35,D,D,2.9,1.35,D,D,D,D,D,D,74.3,3.85
          Social services/ related,"284,000","15,000",100,S,S,3.2,0.65,D,D,8.1,1.1,*,*,4.2,0.85,3.5,0.9,D,D,D,D,D,D,79.9,1.7
          Other non-S&E field,"275,000","15,500",100,4,1.15,3.6,0.65,0.7,0.25,8,1.35,2.2,0.55,9.5,1.25,2.2,0.75,3.3,1.65,2.2,0.95,D,D,64,2.3
,,,,,,,,,,,,,,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,,,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES: Numbers are rounded to the nearest 1,000. Standard errors for numbers are rounded up to the nearest 500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification.",,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,,,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,,,,,,,,,,,,,,
