"Table 3-1. Broad occupation category of employed U.S. scientists and engineers at all degree levels, by field of highest degree: 2013",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Field of highest degree             ,,,,S&E occupations,,,,,,,,,,S&E-related occupations,,,,,,,,,,,
,All occupations,,,Biological/ agricultural/,,Computer/ mathematical,,Physical/ related scientists,,Social/ related scientists,,Engineering,,Health occupations,,"S&E managers, including health",,S&E pre-college teachers,,S&E technicians and technologists,,Other S&E-related occupations,,Non-S&E occupations,
                    Computer/ information sciences,"1,623,000","41,000",100,0.1,0.1,58.2,1.2,S,S,0.2,0.1,2.6,0.35,1,0.25,5.5,0.55,0.3,0.1,6.5,0.6,0.2,0.1,25.3,1.1
                    Mathematics/ statistics,"574,000","22,000",100,0.3,0.15,30.7,1.55,0.3,0.2,0.7,0.25,2.1,0.35,0.7,0.25,1.4,0.4,11.5,1.25,4.4,0.85,2.4,0.9,45.5,1.9
               Physical/ related sciences,"731,000","22,000",100,5.9,0.55,6.2,0.6,29.4,1.05,0.8,0.3,6.7,0.6,4.2,0.8,4.1,0.6,3.8,0.55,5.1,0.7,D,D,33.7,1.55
"                    Chemistry, except biochemistry","324,000","12,500",100,9.6,1.1,3.7,0.75,29.3,1.45,0.9,0.25,4.9,0.7,7.1,1.55,3.1,0.6,4.9,1,5.9,1.05,D,D,30.9,2.1
                    Earth/ atmospheric/ ocean sciences,"199,000","12,500",100,1.5,0.35,6,1.25,31.7,2.15,S,S,5.5,1.05,2,1,4.5,1.3,3.5,0.7,4,1.35,D,D,39.7,3.2
                    Physics/ astronomy,"176,000","9,000",100,4.5,0.85,11.9,1.45,30.1,2,0.6,0.2,12.5,1.6,1.1,0.45,5.7,1.55,2.3,0.65,5.7,1.2,D,D,25.6,2.95
                    Other physical sciences,"31,000","5,500",100,3.2,1.15,S,S,12.9,3.95,D,D,*,*,S,S,*,*,S,S,D,D,D,D,71,6.6
               Social/ related sciences,"4,764,000","100,000",100,0.4,0.1,3.2,0.2,0.1,0.05,8,0.35,0.6,0.1,4.6,0.35,1.3,0.2,1.1,0.15,0.9,0.15,0.1,0.05,79.7,0.55
                    Economics,"789,000","31,000",100,0.3,0.15,3.8,0.45,*,*,4.6,0.35,1,0.3,1.4,0.4,1.4,0.35,0.3,0.15,2.2,0.6,S,S,84.7,0.95
                    Political/ related sciences,"828,000","28,500",100,*,*,3.4,0.6,S,S,5.4,0.55,0.7,0.2,2.5,0.65,1.2,0.3,1.3,0.3,1,0.45,*,*,84.3,1.1
                    Psychology,"1,866,000","50,500",100,0.5,0.1,2.2,0.25,0.1,0.05,12.3,0.7,0.4,0.15,6.6,0.75,1.3,0.35,0.8,0.15,0.4,0.1,S,S,75.3,1.05
                    Sociology/ anthropology,"761,000","28,500",100,0.3,0.1,3.2,0.55,0.1,0.05,6,0.5,0.3,0.15,4.1,0.7,1.4,0.6,1.1,0.35,0.5,0.25,D,D,82.9,1.1
                    Other social sciences,"520,000","24,000",100,1,0.4,5.6,0.75,0.8,0.2,4.6,0.7,1,0.25,5.8,1.1,1,0.4,2.9,0.6,1.2,0.45,D,D,76.2,1.85
          Engineering,"2,859,000","48,000",100,0.6,0.1,14.5,0.5,0.8,0.1,0.1,0.05,40.7,0.8,0.7,0.15,7.6,0.4,0.5,0.15,6.9,0.4,0.1,0.1,27.5,0.8
               Aerospace/ related engineering,"131,000","11,500",100,D,D,7.6,2,0.8,0.35,D,D,26.7,3.05,D,D,4.6,1.35,D,D,4.6,1.65,D,D,53.4,4.45
               Chemical engineering,"182,000","10,000",100,1.6,0.35,4.9,1,2.7,0.65,D,D,46.7,2.55,S,S,7.7,1.55,0.5,0.35,6,1.3,D,D,28,2.65
               Civil/ architectural engineering,"428,000","16,500",100,D,D,2.6,0.65,0.5,0.15,*,*,50.2,1.9,S,S,14.3,1.4,S,S,4.7,1.05,0.7,0.35,25.5,2
               Electrical/ computer engineering,"968,000","24,500",100,0.2,0.1,31.3,1.1,0.4,0.15,*,*,32.2,0.95,0.5,0.25,5,0.55,0.4,0.2,9.6,0.8,S,S,20.2,1.15
               Industrial engineering,"190,000","10,500",100,D,D,10,1.45,*,*,*,*,28.9,2.4,S,S,7.4,1.5,0.5,0.3,6.3,1.2,D,D,46.3,3.1
               Mechanical engineering,"559,000","18,500",100,0.2,0.1,6.4,0.85,0.2,0.1,*,*,53.5,1.65,S,S,8.2,1.15,0.2,0.1,5.9,0.85,D,D,24.9,1.6
               Other engineering,"401,000","14,500",100,2.2,0.3,6.2,1.25,2.2,0.3,S,S,40.9,1.65,0.7,0.3,6.7,0.8,S,S,6,0.9,D,D,33.4,2
     S&E-related field,"5,780,000","112,000",100,1.1,0.15,2.3,0.2,0.2,0.05,0.6,0.1,1.4,0.1,59.5,0.8,3.9,0.3,3.3,0.25,1.6,0.2,2.8,0.25,23.4,0.75
          Health,"4,543,000","90,000",100,1.3,0.15,0.6,0.1,0.1,0.05,0.3,0.05,0.1,0.05,75.1,0.75,4.4,0.35,0.2,0.1,0.3,0.05,D,D,17.7,0.7
          Science/ mathematics teacher education,"403,000","20,500",100,0.2,0.15,5.5,0.85,0.5,0.2,0.5,0.25,0.7,0.25,2.2,0.8,D,D,44.4,2.4,0.7,0.4,D,D,45.2,2.4
          Technology/ technical fields,"423,000","23,000",100,0.2,0.15,17.3,1.65,*,*,D,D,13.9,1.15,3.1,1.15,3.3,0.8,S,S,14.4,1.9,D,D,46.6,2.7
          Other S&E-related fields,"411,000","21,000",100,0.7,0.35,2.4,0.7,0.2,0.15,3.4,0.75,3.2,0.6,1.9,0.7,3.6,0.8,D,D,3.2,0.65,38.4,2.5,41.4,2.55
     Non-S&E field,"5,331,000","110,000",100,1.1,0.15,13.5,0.6,0.3,0.05,2.6,0.3,3,0.2,11.1,0.65,4.2,0.35,10.4,0.75,3.5,0.3,0.2,0.1,50.1,0.9
          Art/ humanities fields,"570,000","29,500",100,1.4,0.5,28.9,2.05,0.4,0.15,1.2,0.3,1.8,0.35,20.7,2.15,4,1,15.1,2.4,5.4,1.15,0.7,0.25,20.2,1.8
"          Education, except science/ math teacher education","1,172,000","46,000",100,0.3,0.15,2.6,0.35,0.1,0.05,1.1,0.25,0.4,0.1,8.3,0.85,0.8,0.25,33.9,2.1,0.9,0.25,D,D,51.5,1.9
          Management/ administration,"1,769,000","52,500",100,0.7,0.2,20,0.9,0.3,0.1,1.5,0.35,6.5,0.45,10.4,1,8.3,0.65,2.4,0.7,5.7,0.6,0.2,0.1,43.9,1.35
          Sales/ marketing,"112,000","10,000",100,S,S,17,3.45,D,D,2.7,0.7,9.8,2.7,9.8,3.85,4.5,1.85,D,D,1.8,1.05,D,D,53.6,4.85
          Social services/ related,"371,000","18,000",100,0.5,0.25,8.1,1.25,D,D,9.2,1,0.8,0.2,7.8,1.3,4.3,1.05,0.5,0.2,3,1.15,D,D,65.8,1.95
          Other non-S&E field,"1,338,000","40,000",100,2.1,0.35,9.1,0.9,0.4,0.1,4.3,0.7,1.2,0.2,11.4,1.15,1.9,0.45,2.2,0.65,2.3,0.5,*,*,65.2,1.45
,,,,,,,,,,,,,,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,,,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES: Numbers are rounded to the nearest 1,000. Standard errors for numbers are rounded up to the nearest 500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification.",,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,,,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,,,,,,,,,,,,,,
