"Table 9-1. Employed U.S. scientists and engineers at all degree levels, by occupation, citizenship status, and employment sector: 2013",,,,,,,,,,
,,,,,,,,,,
Occupation and citizenship status             ,,,Sector of employment,,,,,,,
,Employed scientists and engineers,,Business/ industry,,4-year college/ university,,Other educational institution,,Government,
                    Other social and related scientists,"125,000","14,500","63,000","9,500","19,000","3,000","1,000",500,"43,000","6,500"
                         U.S. citizen,"117,000","13,500","59,000","9,000","16,000","3,000","1,000",500,"41,000","6,500"
                              Native-born,"109,000","13,000","56,000","9,000","15,000","3,000","1,000",500,"37,000","6,000"
                              Naturalized,"8,000","2,500","2,000","1,000",S,S,*,*,"4,000","2,000"
                         Non-U.S. citizen,"9,000","3,000",S,S,"3,000","1,500",D,D,D,D
                              Permanent resident,"6,000","3,000",S,S,S,S,D,D,D,D
                              Temporary resident,"3,000","1,500","1,000",500,"2,000","1,000",D,D,D,D
          Engineering occupations,"1,564,000","41,500","1,262,000","36,000","92,000","5,000","7,000","2,000","202,000","9,500"
               U.S. citizen,"1,419,000","39,500","1,155,000","34,500","59,000","4,000","6,000","1,500","199,000","9,000"
                    Native-born,"1,218,000","37,000","998,000","32,500","46,000","3,500","5,000","1,500","168,000","8,500"
                    Naturalized,"201,000","7,500","157,000","7,000","13,000","1,500","1,000",500,"31,000","2,500"
               Non-U.S. citizen,"145,000","7,000","107,000","6,000","34,000","3,000",D,D,"4,000","1,000"
                    Permanent resident,"72,000","4,500","62,000","4,500","7,000","1,000",D,D,"2,000","1,000"
                    Temporary resident,"73,000","5,000","45,000","4,000","27,000","3,000",D,D,"1,000",500
               Aeronautical/ aerospace/ astronautical engineers,"98,000","6,500","79,000","5,500","3,000","1,000",D,D,"15,000","2,500"
                    U.S. citizen,"92,000","6,000","74,000","5,500","2,000",500,D,D,"15,000","2,500"
                         Native-born,"81,000","6,000","66,000","5,500","2,000",500,D,D,"13,000","2,500"
                         Naturalized,"11,000","1,500","9,000","1,500",*,*,D,D,"2,000","1,000"
                    Non-U.S. citizen,"5,000","1,500","4,000","1,000",S,S,D,D,D,D
                         Permanent resident,"4,000","1,000","4,000","1,000",D,D,D,D,D,D
                         Temporary resident,"2,000","1,000",*,*,S,S,D,D,D,D
               Chemical engineers,"66,000","4,500","59,000","4,500","4,000","1,000",D,D,"2,000","1,000"
                    U.S. citizen,"58,000","4,500","54,000","4,500","3,000","1,000",D,D,"2,000","1,000"
                         Native-born,"51,000","4,500","47,000","4,000","2,000","1,000",D,D,"2,000","1,000"
                         Naturalized,"7,000","1,000","7,000","1,000",*,*,D,D,D,D
                    Non-U.S. citizen,"8,000","1,500","6,000","1,000","2,000","1,000",D,D,D,D
                         Permanent resident,"4,000","1,000","3,000","1,000",*,*,D,D,D,D
                         Temporary resident,"4,000","1,000","2,000","1,000","1,000","1,000",D,D,D,D
"               Civil, including architectural/ sanitary engineers","223,000","10,500","136,000","7,500","4,000","1,000",D,D,"83,000","6,000"
                    U.S. citizen,"208,000","10,000","125,000","7,000","1,000",500,D,D,"81,000","6,000"
                         Native-born,"178,000","9,500","114,000","6,500","1,000",500,D,D,"63,000","5,500"
                         Naturalized,"30,000","2,500","12,000","1,500",D,D,D,D,"18,000","2,000"
                    Non-U.S. citizen,"15,000","2,000","10,000","2,000","3,000","1,000",D,D,"2,000","1,000"
                         Permanent resident,"8,000","1,500","6,000","1,000",D,D,D,D,"2,000",500
                         Temporary resident,"8,000","1,500","4,000","1,500","3,000","1,000",D,D,*,*
               Electrical/ computer hardware engineers,"345,000","13,500","301,000","12,500","14,000","2,000",S,S,"29,000","3,500"
                    U.S. citizen,"298,000","12,500","260,000","11,500","8,000","1,500",D,D,"29,000","3,500"
                         Native-born,"233,000","11,000","201,000","10,000","7,000","1,500",D,D,"24,000","3,000"
                         Naturalized,"65,000","4,000","59,000","4,000","1,000",500,D,D,"5,000","1,000"
                    Non-U.S. citizen,"47,000","4,000","41,000","3,500","6,000","1,500",D,D,D,D
                         Permanent resident,"24,000","3,000","23,000","3,000",S,S,D,D,D,D
                         Temporary resident,"24,000","3,000","19,000","2,500","5,000","1,500",D,D,D,D
               Industrial engineers,"70,000","6,000","65,000","5,500","2,000","1,000",D,D,"4,000","1,500"
                    U.S. citizen,"65,000","6,000","60,000","6,000",*,*,D,D,"4,000","1,500"
                         Native-born,"56,000","5,500","52,000","5,500",*,*,D,D,"4,000","1,500"
                         Naturalized,"9,000","2,000","8,000","2,000",D,D,D,D,D,D
                    Non-U.S. citizen,"6,000","1,500","4,000","1,500","1,000","1,000",D,D,D,D
                         Permanent resident,"2,000","1,000","2,000","1,000",D,D,D,D,D,D
                         Temporary resident,"4,000","1,500","2,000","1,000","1,000","1,000",D,D,D,D
               Mechanical engineers,"302,000","15,000","275,000","14,000","9,000","1,500",D,D,"16,000","2,500"
                    U.S. citizen,"280,000","14,500","258,000","14,000","5,000","1,000",D,D,"16,000","2,500"
                         Native-born,"247,000","13,500","227,000","13,000","4,000","1,000",D,D,"14,000","2,000"
                         Naturalized,"33,000","3,000","30,000","3,000",S,S,D,D,"2,000","1,000"
                    Non-U.S. citizen,"22,000","2,500","17,000","2,000","4,000","1,500",D,D,D,D
                         Permanent resident,"9,000","1,500","9,000","1,500",*,*,D,D,D,D
                         Temporary resident,"13,000","2,000","8,000","1,500","4,000","1,500",D,D,D,D
               Postsecondary teachers - engineering,"42,000","3,000",D,D,"39,000","3,000","2,000","1,000",D,D
                    U.S. citizen,"31,000","2,500",D,D,"29,000","2,500","2,000","1,000",D,D
                         Native-born,"23,000","2,500",D,D,"21,000","2,500","2,000","1,000",D,D
                         Naturalized,"8,000","1,000",D,D,"8,000","1,000",*,*,D,D
                    Non-U.S. citizen,"10,000","1,500",D,D,"10,000","1,500",D,D,D,D
                         Permanent resident,"4,000",500,D,D,"4,000",500,D,D,D,D
                         Temporary resident,"6,000","1,500",D,D,"6,000","1,500",D,D,D,D
               Other engineers,"419,000","19,500","348,000","17,500","18,000","2,500",D,D,"53,000","5,000"
                    U.S. citizen,"387,000","19,000","324,000","17,000","11,000","2,000",D,D,"52,000","5,000"
                         Native-born,"348,000","18,000","292,000","16,000","8,000","1,500",D,D,"48,000","5,000"
                         Naturalized,"39,000","3,500","32,000","3,000","3,000","1,500",D,D,"4,000","1,000"
                    Non-U.S. citizen,"32,000","3,500","25,000","3,000","7,000","1,500",D,D,S,S
                         Permanent resident,"18,000","2,500","16,000","2,500","1,000",500,D,D,S,S
                         Temporary resident,"14,000","2,000","9,000","1,500","5,000","1,500",D,D,D,D
     S&E-related occupations,"7,439,000","126,500","5,118,000","99,500","537,000","25,500","1,145,000","48,000","640,000","30,000"
          U.S. citizen,"7,066,000","124,000","4,811,000","96,000","494,000","24,500","1,129,000","48,000","632,000","29,500"
               Native-born,"6,110,000","108,000","4,102,000","86,000","423,000","22,000","1,055,000","42,000","531,000","27,000"
               Naturalized,"957,000","41,000","709,000","33,000","71,000","9,500","74,000","17,500","102,000","12,000"
          Non-U.S. citizen,"373,000","21,000","307,000","20,000","42,000","5,500","16,000","5,000","8,000","2,000"
               Permanent resident,"248,000","16,500","213,000","16,000","17,000","3,000","12,000","4,500","7,000","2,000"
               Temporary resident,"125,000","10,500","94,000","9,000","26,000","4,500","4,000","1,500","1,000",500
          Health and related,"4,590,000","99,000","3,595,000","85,500","450,000","24,000","166,000","11,500","378,000","22,500"
               U.S. citizen,"4,375,000","96,500","3,417,000","83,000","422,000","23,000","163,000","11,500","373,000","22,500"
                    Native-born,"3,762,000","86,000","2,938,000","75,500","359,000","21,000","157,000","11,500","308,000","20,000"
                    Naturalized,"612,000","31,500","479,000","28,000","63,000","9,500","6,000","2,000","64,000","10,500"
               Non-U.S. citizen,"215,000","19,000","178,000","18,000","29,000","5,000","3,000","1,500","5,000","2,000"
                    Permanent resident,"157,000","16,000","137,000","16,000","13,000","3,000",S,S,"5,000","2,000"
                    Temporary resident,"58,000","9,000","41,000","7,500","15,000","4,000",D,D,*,*
          S&E manager,"902,000","35,500","709,000","28,500","44,000","7,000","3,000","1,500","145,000","11,500"
               U.S. citizen,"847,000","34,500","657,000","27,500","43,000","7,000","3,000","1,500","144,000","11,500"
                    Native-born,"748,000","32,500","572,000","25,500","41,000","7,000","3,000","1,500","131,000","11,000"
                    Naturalized,"100,000","9,500","84,000","10,000","2,000","1,000",D,D,"13,000","3,000"
               Non-U.S. citizen,"54,000","6,000","53,000","6,000",S,S,D,D,"1,000",500
                    Permanent resident,"32,000","4,500","31,000","4,500",S,S,D,D,"1,000",500
                    Temporary resident,"22,000","3,500","22,000","3,500",D,D,D,D,D,D
          S&E precollege teacher,"968,000","46,500",D,D,D,D,"968,000","46,500",D,D
               U.S. citizen,"958,000","46,500",D,D,D,D,"958,000","46,500",D,D
                    Native-born,"889,000","41,000",D,D,D,D,"889,000","41,000",D,D
                    Naturalized,"68,000","17,500",D,D,D,D,"68,000","17,500",D,D
               Non-U.S. citizen,"11,000","4,500",D,D,D,D,"11,000","4,500",D,D
                    Permanent resident,"9,000","4,000",D,D,D,D,"9,000","4,000",D,D
                    Temporary resident,"2,000","1,000",D,D,D,D,"2,000","1,000",D,D
          S&E technician/ technologist,"778,000","26,500","626,000","23,500","40,000","4,500","5,000","2,500","107,000","11,000"
               U.S. citizen,"702,000","26,500","565,000","23,000","28,000","4,000",S,S,"105,000","11,000"
                    Native-born,"545,000","24,500","438,000","21,500","22,000","4,000",S,S,"82,000","9,500"
                    Naturalized,"157,000","11,500","127,000","10,000","6,000","1,500",D,D,"24,000","5,500"
               Non-U.S. citizen,"76,000","7,000","61,000","6,000","13,000","2,500",D,D,"1,000","1,000"
                    Permanent resident,"40,000","5,000","36,000","5,000","3,000","1,500",D,D,S,S
                    Temporary resident,"36,000","5,500","25,000","4,500","10,000","2,000",D,D,*,*
          Other S&E-related,"201,000","14,000","187,000","14,500","2,000","1,000",S,S,"10,000","3,500"
               U.S. citizen,"185,000","13,500","171,000","14,000","2,000","1,000",D,D,"10,000","3,500"
                    Native-born,"165,000","13,500","153,000","13,500",S,S,D,D,"9,000","3,500"
                    Naturalized,"20,000","3,500","18,000","3,500",D,D,D,D,S,S
               Non-U.S. citizen,"16,000","3,500","16,000","3,500",D,D,D,D,D,D
                    Permanent resident,"10,000","3,000","10,000","3,000",D,D,D,D,D,D
                    Temporary resident,"7,000","2,000","6,000","2,000",D,D,D,D,D,D
     Non-S&E occupations,"10,368,000","180,500","7,375,000","134,500","500,000","20,000","1,241,000","48,500","1,252,000","38,500"
          U.S. citizen,"9,915,000","172,000","6,990,000","127,000","476,000","19,500","1,209,000","48,000","1,239,000","38,500"
               Native-born,"8,916,000","162,500","6,225,000","120,000","435,000","19,000","1,120,000","45,500","1,135,000","36,000"
               Naturalized,"999,000","29,000","765,000","25,000","41,000","4,000","90,000","9,500","104,000","9,000"
          Non-U.S. citizen,"453,000","22,000","385,000","21,000","24,000","3,000","31,000","5,500","13,000","3,500"
               Permanent resident,"343,000","19,500","287,000","17,500","16,000","2,500","28,000","5,500","12,000","3,500"
               Temporary resident,"110,000","10,500","98,000","10,500","8,000","1,500","3,000","1,500",S,S
          Arts/ humanities/ related,"316,000","20,500","296,000","20,000","11,000","3,500","3,000","1,000","6,000","1,500"
               U.S. citizen,"301,000","19,500","282,000","19,500","11,000","3,500","3,000","1,000","6,000","1,500"
                    Native-born,"280,000","19,000","262,000","18,500","10,000","3,500","3,000","1,000","6,000","1,500"
                    Naturalized,"21,000","5,500","20,000","5,500",S,S,D,D,D,D
               Non-U.S. citizen,"15,000","3,500","14,000","3,500",D,D,D,D,D,D
                    Permanent resident,"10,000","3,000","10,000","3,000",D,D,D,D,D,D
                    Temporary resident,"4,000","2,500","4,000","2,500",D,D,D,D,D,D
          Management-related,"1,794,000","52,500","1,449,000","45,000","58,000","6,500","33,000","6,000","254,000","16,500"
               U.S. citizen,"1,693,000","48,500","1,352,000","41,500","56,000","6,500","33,000","5,500","253,000","16,500"
                    Native-born,"1,469,000","46,000","1,174,000","40,500","47,000","6,000","27,000","5,500","221,000","14,500"
                    Naturalized,"224,000","13,000","178,000","10,500","9,000","2,000","5,000","2,000","32,000","7,000"
               Non-U.S. citizen,"101,000","8,500","97,000","8,500","3,000","1,500",S,S,"1,000",500
                    Permanent resident,"69,000","7,000","65,000","7,000",S,S,S,S,"1,000",500
