"Table 16-1. Median annual salaries of employed U.S. scientists and engineers at all degree levels, by occupation, ethnicity, race, and years since highest degree: 2013",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Occupation, ethnicity, and race             ",Employed scientists and engineers,,< 5,,5–9,,10–14,,15–19,,20–24,,25–29,,30–34,,35+,
                              Asian,"53,000","6,000","39,000","4,500","45,000","3,000","72,000","7,000","88,000","6,000","112,000","25,000","82,000","7,500","116,000","35,500","88,000","20,500"
                              Black or African American,"48,000","4,500","30,000","4,500","44,000","8,500","49,000","12,000",S,S,*,*,"101,000","13,500",D,D,*,*
                              White,"60,000",500,"39,000","2,000","54,000","4,000","74,000","6,000","84,000","5,500","79,000","13,500","101,000","17,000","81,000","3,000","64,000","8,000"
                              Other racec,"44,000","2,500","35,000","7,500","45,000","19,000","56,000","14,000",*,*,*,*,D,D,D,D,D,D
                    Environmental life scientists,"58,000","6,000","34,000","8,500","50,000","5,500","50,000","11,000","73,000","13,000","68,000","14,000","58,000","12,000","60,000","12,000","47,000","1,000"
                         Hispanic or Latinoa ,"51,000","5,500",D,D,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Black or African American,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              White,"60,000","5,500","30,000","5,000","51,000","3,500","50,000","11,000","75,000","13,000","64,000","19,500","66,000","14,000","58,000","12,500","47,000",500
                              Other racec,S,S,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Postsecondary teachers - life/ related sciences,"62,000","3,500","24,000","2,000","43,000","6,500","65,000","3,000","75,000","6,000","82,000","6,500","78,000","10,000","89,000","8,000","84,000","10,000"
                         Hispanic or Latinoa ,"48,000","14,000",S,S,"20,000","10,000","64,000","8,500","28,000","10,000","88,000","8,500",*,*,D,D,D,D
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"70,000","8,500","19,000","2,000","46,000","23,000","64,000","2,500","61,000","18,500","131,000","25,500",S,S,*,*,*,*
                              Black or African American,S,S,S,S,*,*,*,*,*,*,*,*,*,*,D,D,*,*
                              White,"62,000","4,000","24,000","3,000","43,000","4,500","65,000","3,500","80,000","2,500","78,000","9,000","74,000","13,500","85,000","5,500","88,000","9,000"
                              Other racec,"55,000","15,000",S,S,*,*,*,*,*,*,*,*,D,D,*,*,D,D
               Computer/ mathematical scientists,"83,000","2,000","60,000",500,"80,000","3,000","87,000","3,000","92,000","2,500","95,000","3,000","97,000","2,500","91,000","3,000","88,000","5,000"
                    Hispanic or Latinoa ,"65,000","3,500","48,000","6,000","64,000","5,500","85,000","10,500","85,000","11,000","89,000","23,000","91,000","13,500","58,000","9,500","43,000","18,000"
                    Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Nativeb,S,S,D,D,*,*,*,*,D,D,D,D,D,D,D,D,D,D
                         Asian,"91,000","2,500","75,000","5,000","84,000","1,500","92,000","4,000","101,000","4,500","104,000","5,500","110,000","2,000","86,000","14,000","101,000","12,000"
                         Black or African American,"78,000","4,000","62,000","7,000","78,000","7,000","81,000","5,500","86,000","5,500","72,000","5,000","90,000","11,500","82,000","11,500","80,000","16,000"
                         White,"81,000","2,500","57,000","3,500","76,000","4,000","84,000","2,500","89,000","3,000","95,000","3,500","95,000","3,000","92,000","3,000","90,000","5,000"
                         Other racec,"79,000","4,500","86,000","23,500","79,000","7,000","91,000","11,000","87,000","19,000",D,D,"78,000","1,000",D,D,D,D
                    Computer and information scientists,"85,000",500,"62,000","3,000","80,000",500,"88,000","1,500","94,000","4,000","96,000","4,500","97,000","2,500","92,000","3,000","92,000","4,000"
                         Hispanic or Latinoa ,"67,000","5,000","48,000","6,000","66,000","4,000","86,000","8,000","87,000","11,000","90,000","20,000","95,000","13,000","58,000","6,500","42,000","17,500"
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,"79,000","10,500",D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"94,000","3,000","80,000","2,000","84,000","1,000","92,000","4,000","101,000","4,500","106,000","2,500","110,000","2,500","85,000","14,000","104,000","12,000"
                              Black or African American,"80,000","3,500","69,000","8,000","78,000","5,500","80,000","7,000","87,000","6,500","71,000","5,500","90,000","12,000","83,000","6,000","74,000","15,500"
                              White,"85,000","1,500","60,000","1,500","80,000","4,500","85,000","3,000","89,000","2,500","95,000","4,000","97,000","2,500","93,000","3,000","93,000","4,000"
                              Other racec,"79,000","6,000","89,000","21,000","80,000","8,000","90,000","11,000","87,000","16,500",D,D,D,D,D,D,D,D
                    Mathematical scientists,"70,000","5,000","55,000","3,500","65,000","13,000","74,000","5,000","79,000","16,500","95,000","18,000","64,000","23,000","99,000","9,000","80,000","7,500"
                         Hispanic or Latinoa ,S,S,S,S,S,S,"75,000","2,000",*,*,*,*,D,D,D,D,D,D
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"70,000","10,500","64,000","6,000","80,000","9,000","109,000","8,000","99,000","8,500",S,S,D,D,D,D,D,D
                              Black or African American,"76,000","13,000","37,000","5,500",S,S,"84,000","12,000","72,000","17,500",*,*,D,D,D,D,D,D
                              White,"71,000","5,000","55,000","1,500","65,000","13,000","70,000","12,000","75,000","18,000","99,000","1,000","64,000","8,500","99,000","8,500","85,000","13,500"
                              Other racec,"74,000","29,500",*,*,S,S,D,D,D,D,D,D,D,D,D,D,D,D
                    Postsecondary teachers - computer/ math sciences,"41,000","5,000","20,000","2,500","44,000","6,500","49,000","3,500","56,000","7,000","65,000","5,500","58,000","12,500","60,000","5,000","38,000","17,000"
                         Hispanic or Latinoa ,S,S,"19,000","7,500",S,S,*,*,*,*,*,*,*,*,*,*,*,*
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"49,000","9,000","24,000","8,000","41,000","11,500","70,000","25,000","90,000","17,500","74,000","13,500","103,000","42,000","79,000","22,500",S,S
                              Black or African American,"33,000","10,000",S,S,*,*,S,S,*,*,*,*,D,D,*,*,D,D
                              White,"43,000","6,000","18,000","4,000","46,000","7,500","49,000","2,500","54,000","10,000","64,000","6,000","49,000","2,500","61,000","7,500","38,000","14,500"
                              Other racec,"20,000","1,000",*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D
               Physical/ related scientists,"67,000","2,000","37,000","2,500","55,000","1,500","66,000","4,000","85,000","6,000","82,000","6,000","89,000","3,500","101,000","3,000","80,000","5,000"
                    Hispanic or Latinoa ,"58,000","6,500","41,000","10,000","51,000","11,500","70,000","4,500","75,000","3,500","99,000","20,000","84,000","3,000",*,*,"52,000","16,500"
                    Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Nativeb,*,*,D,D,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,"57,000","4,000","27,000","5,500","47,000","9,000","73,000","10,500","99,000","12,500","88,000","19,000","114,000","45,000","86,000","14,000","74,000","13,000"
                         Black or African American,"59,000","5,500","36,000","6,000","45,000","9,500","97,000","27,000",S,S,"71,000","10,000","76,000","7,500",*,*,*,*
                         White,"70,000",500,"40,000","2,000","57,000","3,000","62,000","3,000","85,000","6,000","80,000","5,500","88,000","4,500","103,000","3,500","81,000","6,000"
                         Other racec,"59,000","7,500","31,000","8,000","59,000","2,000",*,*,*,*,"94,000","23,000",D,D,*,*,*,*
"                    Chemists, except biochemists","65,000","2,500","37,000","2,000","52,000","2,000","63,000","6,500","88,000","5,500","95,000","2,000","94,000","12,000","80,000","2,500","80,000","8,500"
                         Hispanic or Latinoa ,"57,000","6,500","57,000","9,500","42,000","12,000","51,000","7,500",*,*,*,*,"77,000","28,500",D,D,D,D
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"65,000","8,500","40,000","12,000",S,S,"89,000","7,500","107,000","10,500","113,000","14,500",S,S,"76,000","5,500","68,000","5,500"
                              Black or African American,"62,000","7,000","37,000","3,000","56,000","23,500",*,*,D,D,"72,000","11,000","74,000","1,500",D,D,D,D
                              White,"66,000","3,000","35,000","3,500","52,000","2,000","60,000","5,500","84,000","5,000","95,000","3,000","95,000","18,000","81,000","6,500","81,000","9,500"
                              Other racec,"53,000","12,500",*,*,*,*,D,D,D,D,*,*,D,D,D,D,D,D
                    Earth/ atmospheric/ ocean scientists,"79,000","3,500","50,000","5,000","63,000","5,500","78,000","15,000","99,000","5,000","78,000","3,000","92,000","7,500","112,000","14,500","72,000","15,000"
                         Hispanic or Latinoa ,"70,000","18,500","53,000","11,500",S,S,*,*,D,D,D,D,D,D,D,D,D,D
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"67,000","22,500","36,000","8,500","77,000","11,000",S,S,*,*,*,*,D,D,D,D,*,*
                              Black or African American,"60,000","11,000",*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                              White,"80,000","2,500","57,000","7,500","63,000","5,500","70,000","11,000","100,000","15,000","77,000","2,000","92,000","8,000","115,000","14,500","71,000","7,500"
                              Other racec,"65,000","13,500",*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                    Physicists and astronomers,"85,000","11,000","41,000","9,500","97,000","10,000","114,000","5,000","116,000","12,500","131,000","6,500","130,000","15,000","140,000",500,"66,000","27,500"
                         Hispanic or Latinoa ,S,S,*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"60,000","14,000",S,S,S,S,"71,000","25,500",D,D,*,*,"145,000","20,500",D,D,D,D
                              Black or African American,*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              White,"100,000","4,500","42,000","8,000","107,000","9,500","123,000","3,000","119,000","2,000","137,000","13,500","120,000","18,500","140,000",500,"77,000","33,000"
                              Other racec,S,S,*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                    Postsecondary teachers - physical/ related sciences,"57,000","2,500","21,000","1,500","52,000","4,000","65,000","4,000","71,000","6,000","67,000","16,500","79,000","6,500","90,000","11,000","90,000","9,500"
                         Hispanic or Latinoa ,S,S,S,S,S,S,*,*,*,*,*,*,*,*,*,*,*,*
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,S,S,"18,000","2,000","20,000","7,000","65,000","8,500","49,000","23,000","89,000","22,000",S,S,*,*,*,*
                              Black or African American,"28,000","11,500",S,S,S,S,*,*,D,D,*,*,*,*,D,D,*,*
                              White,"64,000","4,500","22,000","3,500","60,000","2,000","63,000","5,000","71,000","7,000","60,000","22,500","79,000","6,500","90,000","14,500","92,000","11,500"
                              Other racec,S,S,*,*,*,*,D,D,D,D,*,*,D,D,D,D,D,D
                    Other physical/ related scientists,"60,000","2,000","56,000","1,500","42,000","6,000","59,000","3,000","55,000","14,000","66,000","13,000","74,000","7,500","86,000","35,000","77,000","13,500"
                         Hispanic or Latinoa ,"60,000","11,000",*,*,S,S,"69,000","1,500",D,D,D,D,D,D,D,D,D,D
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"66,000","12,000","47,000","16,000",S,S,S,S,S,S,S,S,D,D,D,D,*,*
                              Black or African American,"100,000","9,500",*,*,D,D,S,S,D,D,D,D,D,D,D,D,D,D
                              White,"57,000","4,000","56,000","10,000","42,000","2,500","54,000","7,500","53,000","10,500","66,000","11,000","74,000","23,000","86,000","28,500","73,000","22,500"
                              Other racec,*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D
               Social/related scientists,"57,000","2,500","37,000","5,500","55,000","2,000","60,000","1,000","65,000","5,000","67,000","5,500","65,000","8,000","75,000","5,500","74,000","13,500"
                    Hispanic or Latinoa ,"55,000","4,000","48,000","8,000","55,000","1,000","66,000","15,000","90,000","18,000","61,000","24,000","59,000","25,000",S,S,*,*
                    Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Nativeb,S,S,"8,000","3,500",S,S,*,*,*,*,D,D,D,D,D,D,D,D
                         Asian,"40,000","7,000","19,000","1,000","45,000","8,000","58,000","11,500",S,S,S,S,"67,000","14,500",S,S,S,S
                         Black or African American,"54,000","4,000","44,000","9,000","46,000","11,000","75,000","9,500",S,S,"48,000","4,000","73,000","23,500","86,000","1,000","59,000","4,000"
                         White,"60,000","1,500","36,000","5,500","56,000","5,000","60,000","1,000","66,000","4,000","74,000","5,000","62,000","11,000","76,000","8,500","78,000","13,500"
                         Other racec,"38,000","15,000","45,000","9,500",D,D,"83,000","24,500","70,000","22,000",S,S,*,*,*,*,S,S
                    Economists,"78,000","12,500",S,S,"54,000","6,000","91,000","18,000","110,000","9,500","151,000","4,500","130,000","14,500","129,000","6,500",S,S
                         Hispanic or Latinoa ,"93,000","13,500",*,*,S,S,*,*,*,*,D,D,D,D,D,D,D,D
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,S,S,"16,000",500,"76,000","20,000",*,*,*,*,*,*,D,D,D,D,D,D
                              Black or African American,"70,000","30,500",*,*,*,*,*,*,D,D,D,D,D,D,D,D,D,D
                              White,"87,000","14,500","58,000","12,500","53,000","6,500","89,000","29,000","110,000","10,000","141,000","16,500","130,000","14,000","129,000","5,500",S,S
                              Other racec,S,S,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Political scientists,"79,000","20,500",S,S,"60,000","12,500",S,S,S,S,S,S,*,*,D,D,*,*
                         Hispanic or Latinoa ,"42,000","5,500",*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"32,000","16,000",D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Black or African American,S,S,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              White,"88,000","19,000",S,S,"59,000","13,000",S,S,S,S,S,S,D,D,D,D,*,*
                              Other racec,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Postsecondary teachers - social/ related sciences,"52,000","2,000","23,000","4,000","49,000","4,500","57,000","4,500","70,000","4,500","63,000","6,500","50,000","20,000","88,000","2,500","80,000","16,500"
                         Hispanic or Latinoa ,"47,000","6,500","31,000","8,000","52,000","12,000","62,000","12,500","63,000","9,000","48,000","16,500",*,*,*,*,D,D
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,S,S,S,S,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"45,000","17,000","16,000","1,500","38,000","13,000","66,000","9,500","84,000","5,500","89,000","1,000",S,S,*,*,*,*
                              Black or African American,"55,000","8,500",S,S,S,S,"65,000","4,500",S,S,S,S,S,S,S,S,*,*
                              White,"53,000","3,500","29,000","9,500","53,000","4,500","49,000","20,500","69,000","2,500","70,000","6,000",S,S,"87,000","8,000","77,000","14,500"
                              Other racec,S,S,"23,000","2,500",S,S,*,*,*,*,D,D,D,D,D,D,*,*
                    Psychologists,"55,000","3,000","40,000","4,000","56,000","2,000","60,000","2,500","62,000","2,500","66,000","7,500","60,000","12,500","75,000","3,000","75,000","9,000"
                         Hispanic or Latinoa ,"58,000","2,500",S,S,"56,000","4,500","60,000","23,000",S,S,*,*,*,*,S,S,*,*
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,*,*,D,D,D,D,*,*,D,D,D,D,D,D,D,D,D,D
                              Asian,"40,000","16,000","44,000","13,000","47,000","5,500","71,000","22,500",*,*,S,S,*,*,*,*,D,D
                              Black or African American,"54,000","4,500","53,000","5,000","74,000","25,500","77,000","12,000",*,*,"49,000","5,500",*,*,*,*,*,*
                              White,"55,000","2,500","31,000","5,500","55,000","4,500","59,000","3,500","61,000","2,500","73,000","6,500","59,000","14,000","76,000","7,000","79,000","9,000"
                              Other racec,"53,000","7,000","51,000","9,500",*,*,*,*,D,D,*,*,D,D,D,D,D,D
                    Sociologists and anthropologists,"42,000","2,500","40,000","4,000","43,000","2,500","46,000","16,000","40,000","14,000","56,000","19,000","68,000","3,500",S,S,S,S
                         Hispanic or Latinoa ,"42,000","18,500",S,S,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,S,S,*,*,S,S,D,D,D,D,D,D,D,D,D,D,D,D
                              Black or African American,"37,000","10,000",*,*,*,*,*,*,D,D,D,D,D,D,D,D,D,D
                              White,"42,000","3,000","40,000","5,500","54,000","16,000","52,000","9,500","40,000","13,500","60,000","18,500","68,000","3,500",S,S,S,S
                              Other racec,S,S,D,D,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                    Other social and related scientists,"59,000","2,500","44,000","6,000","59,000","6,500","64,000","4,000","65,000","9,500","58,000","11,500","86,000","28,500","64,000","3,000",S,S
                         Hispanic or Latinoa ,"51,000","9,500","28,000","3,500","49,000","14,500",S,S,S,S,D,D,D,D,D,D,D,D
                         Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Nativeb,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"35,000","7,500","45,000","5,500","82,000","26,500","31,000","2,000",S,S,D,D,D,D,D,D,D,D
                              Black or African American,"44,000","10,000",S,S,"69,000","6,500",*,*,*,*,D,D,D,D,D,D,D,D
                              White,"65,000","3,500","42,000","11,000","59,000","11,000","65,000","10,000","68,000","2,000","66,000","21,000","86,000","22,000","64,000","4,500",S,S
                              Other racec,"54,000","10,500",S,S,D,D,D,D,D,D,D,D,D,D,D,D,D,D
          Engineering occupations,"90,000",500,"65,000",500,"80,000","2,000","94,000","1,500","97,000","3,500","100,000",500,"104,000","2,000","104,000","2,500","100,000","1,500"
               Hispanic or Latinoa ,"80,000","1,500","64,000","3,000","76,000","2,000","90,000","2,500","90,000","8,500","95,000","3,500","100,000","8,000","98,000","9,500","84,000","10,500"
               Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Nativeb,"78,000","6,000",*,*,"68,000","12,500",D,D,S,S,D,D,D,D,D,D,D,D
                    Asian,"91,000","2,500","64,000","4,500","85,000","1,500","109,000","4,500","108,000","4,000","105,000","2,500","109,000","3,000","103,000","8,000","100,000","2,000"
                    Black or African American,"85,000","2,000","59,000","3,000","73,000","5,500","99,000","3,000","90,000","3,500","84,000","11,000","98,000","18,500","100,000","14,500","96,000","6,500"
                    White,"90,000",500,"66,000","1,500","78,000","2,500","92,000","2,000","96,000","4,000","100,000",500,"104,000","2,000","104,000","2,000","100,000","1,500"
                    Other racec,"88,000","3,500","67,000","5,000","77,000","3,000","93,000","6,500","98,000","3,000","95,000","31,500","105,000","16,000",S,S,"84,000","12,000"
               Aeronautical/ aerospace/ astronautical engineers,"105,000","6,500","75,000","3,500","82,000","7,000","101,000","14,500","113,000","6,000","120,000","5,500","118,000","4,000","142,000","5,500","135,000","23,500"
                    Hispanic or Latinoa ,"90,000","5,500","80,000","15,000","80,000","5,000","90,000","5,500",S,S,D,D,S,S,D,D,D,D
                    Not Hispanic or Latino,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Nativeb,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,"104,000","6,000","47,000","20,500","100,000","5,500","102,000","9,500","106,000","12,500","138,000","7,500",D,D,*,*,D,D
                         Black or African American,"112,000","4,000",*,*,S,S,*,*,D,D,D,D,D,D,D,D,D,D
                         White,"112,000","4,000","74,000","2,000","82,000","9,000","111,000","14,000","119,000","15,000","120,000","7,500","119,000","5,000","142,000","4,000","146,000","6,000"
                         Other racec,"78,000","13,000",*,*,S,S,D,D,D,D,D,D,D,D,D,D,D,D
               Chemical engineers,"95,000","2,500","67,000","4,000","85,000","5,500","95,000","6,000","113,000","4,000","110,000","10,500","119,000","20,000","111,000","6,500","93,000","9,000"
