"Table 11-4. Employed U.S. scientists and engineers with a doctorate as the highest degree, by occupation, ethnicity, race, and years since highest degree: 2013",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Level of highest degree, occupation, ethnicity, and race             ",Employed scientists and engineers,,< 5,,5–9,,10–14,,15–19,,20–24,,25–29,,30–34,,35+,
                              Black or African American,*,*,*,*,D,D,*,*,*,*,D,D,D,D,D,D,D,D
                              White,"10,000","1,500","2,000","1,000","1,000",500,"2,000",500,"1,000",500,"1,000",500,"1,000",500,"1,000",500,"1,000",500
                              Other racec,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Postsecondary teachers - computer/ math sciences,"35,000","2,500","6,000","1,500","7,000","1,500","5,000","1,000","5,000","1,000","3,000",500,"3,000",500,"3,000","1,000","4,000",500
                         Hispanic or Latinoa ,"1,000",500,*,*,*,*,*,*,*,*,*,*,*,*,D,D,D,D
                         Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"8,000","1,000","1,000",500,"2,000",500,"1,000",500,"1,000",500,"1,000",500,*,*,*,*,*,*
                              Black or African American,"2,000","1,000",S,S,*,*,*,*,*,*,*,*,D,D,D,D,*,*
                              White,"24,000","2,000","4,000","1,000","4,000","1,500","3,000",500,"4,000","1,000","2,000",500,"2,000",500,"2,000",500,"3,000",500
                              Other racec,*,*,D,D,*,*,D,D,D,D,D,D,D,D,D,D,D,D
               Physical/ related scientists,"107,000","3,000","17,000","1,500","18,000","1,500","14,000","1,000","14,000","1,500","12,000","1,000","11,000","1,000","9,000","1,000","13,000","1,500"
                    Hispanic or Latinoa ,"3,000",500,"1,000",500,*,*,"1,000",500,"1,000",500,*,*,*,*,*,*,*,*
                    Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Native,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,"22,000","2,000","5,000",500,"5,000","1,000","4,000","1,000","3,000","1,000","2,000",500,"2,000","1,000","1,000",500,"1,000",500
                         Black or African American,"2,000",500,*,*,*,*,*,*,*,*,*,*,*,*,D,D,*,*
                         White,"79,000","2,500","11,000","1,000","12,000","1,500","10,000","1,000","9,000","1,000","9,000","1,000","8,000","1,000","8,000","1,000","12,000","1,500"
                         Other racec,"1,000",500,*,*,*,*,*,*,*,*,*,*,D,D,D,D,D,D
"                    Chemists, except biochemists","26,000","1,500","5,000","1,000","4,000","1,000","4,000",500,"4,000","1,000","3,000",500,"2,000",500,"2,000",500,"2,000",500
                         Hispanic or Latinoa ,"1,000",500,*,*,*,*,*,*,D,D,*,*,D,D,D,D,D,D
                         Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"8,000","1,500","2,000",500,"2,000","1,000","1,000",500,"2,000","1,000","1,000",500,*,*,*,*,D,D
                              Black or African American,"1,000",500,*,*,*,*,*,*,D,D,D,D,D,D,D,D,D,D
                              White,"16,000","1,000","2,000",500,"2,000",500,"2,000",500,"2,000",500,"2,000",500,"2,000",500,"2,000",500,"2,000",500
                              Other racec,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Earth/ atmospheric/ ocean scientists,"14,000","1,000","3,000",500,"2,000",500,"2,000",500,"1,000",500,"2,000",500,"1,000",500,"1,000",500,"2,000","1,000"
                         Hispanic or Latinoa ,*,*,*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                         Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"2,000",500,"1,000",500,"1,000",500,*,*,*,*,*,*,D,D,D,D,D,D
                              Black or African American,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              White,"11,000","1,000","2,000",500,"1,000",500,"1,000",500,"1,000",500,"1,000",500,"1,000",500,"1,000",500,"2,000","1,000"
                              Other racec,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Physicists and astronomers,"21,000","2,000","5,000","1,000","4,000","1,500","2,000",500,"2,000",500,"2,000",500,"2,000","1,000","2,000",500,"2,000",500
                         Hispanic or Latinoa ,*,*,*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                         Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"4,000","1,000","1,000",500,"1,000",500,"1,000",500,D,D,*,*,"1,000",500,D,D,D,D
                              Black or African American,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              White,"16,000","2,000","4,000","1,000","3,000","1,500","1,000",500,"1,000",500,"1,000",500,"2,000",500,"1,000",500,"2,000",500
                              Other racec,*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Postsecondary teachers - physical/ related sciences,"40,000","2,000","3,000",500,"6,000",500,"6,000","1,000","6,000","1,000","5,000",500,"5,000","1,000","3,000","1,000","6,000","1,000"
                         Hispanic or Latinoa ,"2,000",500,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
                         Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"6,000","1,000","1,000",500,"1,000",500,"1,000",500,"1,000","1,000","1,000",500,S,S,*,*,*,*
                              Black or African American,"1,000",500,*,*,*,*,*,*,D,D,*,*,*,*,D,D,*,*
                              White,"31,000","1,500","2,000",500,"4,000",500,"5,000",500,"4,000",500,"3,000",500,"4,000",500,"3,000","1,000","5,000","1,000"
                              Other racec,*,*,D,D,*,*,D,D,D,D,*,*,D,D,D,D,D,D
                    Other physical/ related scientists,"6,000","1,000","1,000",500,"1,000",500,"1,000",500,"1,000",500,"1,000",500,*,*,"1,000",500,"1,000",500
                         Hispanic or Latinoa ,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"1,000",500,*,*,*,*,*,*,D,D,*,*,D,D,D,D,D,D
                              Black or African American,*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              White,"4,000",500,*,*,*,*,"1,000",500,"1,000",500,*,*,*,*,"1,000",500,"1,000",500
                              Other racec,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
               Social/ related scientists,"174,000","4,000","36,000","2,500","28,000","1,500","24,000","1,500","22,000","2,000","17,000","1,000","15,000","1,000","15,000","1,000","16,000","1,000"
                    Hispanic or Latinoa ,"8,000",500,"2,000",500,"2,000",500,"1,000",500,"1,000",500,"1,000",500,*,*,*,*,*,*
                    Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Native,"1,000",500,*,*,*,*,*,*,D,D,D,D,D,D,D,D,D,D
                         Asian,"13,000","1,500","4,000","1,000","4,000","1,000","2,000","1,000","1,000",500,"1,000",500,"1,000",500,*,*,*,*
                         Black or African American,"9,000","1,000","2,000",500,"2,000",500,"1,000",500,"2,000","1,000","1,000",500,"1,000",500,"1,000",500,*,*
                         White,"141,000","4,000","28,000","2,500","20,000","1,500","19,000","1,500","18,000","1,500","15,000","1,000","13,000","1,000","14,000","1,000","15,000","1,000"
                         Other racec,"3,000",500,"1,000",500,*,*,*,*,"1,000",500,*,*,*,*,*,*,*,*
                    Economists,"10,000","1,000","2,000",500,"2,000",500,"1,000",500,"1,000",500,"1,000",500,"1,000",500,"1,000",500,"1,000",500
                         Hispanic or Latinoa ,"1,000",500,*,*,*,*,*,*,D,D,D,D,D,D,D,D,D,D
                         Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"2,000",500,"1,000",500,*,*,*,*,*,*,D,D,D,D,D,D,D,D
                              Black or African American,*,*,D,D,D,D,*,*,D,D,D,D,D,D,D,D,D,D
                              White,"7,000","1,000","1,000",500,"1,000",500,"1,000",500,"1,000",500,"1,000",500,"1,000",500,"1,000",500,"1,000",500
                              Other racec,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Political scientists,"1,000",500,*,*,*,*,D,D,*,*,D,D,D,D,D,D,D,D
                         Hispanic or Latinoa ,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Black or African American,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              White,"1,000",500,*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                              Other racec,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Postsecondary teachers - social/ related sciences,"87,000","3,500","18,000","2,000","15,000","1,500","13,000","1,500","12,000","1,500","8,000","1,000","7,000","1,000","7,000","1,000","7,000","1,000"
                         Hispanic or Latinoa ,"4,000",500,"1,000",500,"1,000",500,"1,000",500,"1,000",500,*,*,*,*,*,*,D,D
                         Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Native,"1,000",500,*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"7,000","1,000","2,000",500,"2,000",500,"2,000","1,000","1,000",500,*,*,S,S,*,*,*,*
                              Black or African American,"5,000","1,000","1,000",500,"1,000",500,"1,000",500,S,S,"1,000",500,*,*,*,*,*,*
                              White,"69,000","3,000","14,000","2,000","11,000","1,500","10,000","1,000","9,000","1,000","6,000","1,000","6,000","1,000","6,000","1,000","7,000","1,000"
                              Other racec,"1,000",500,*,*,*,*,*,*,*,*,D,D,D,D,D,D,D,D
                    Psychologists,"60,000","2,000","11,000","1,500","7,000",500,"7,000","1,000","7,000","1,000","8,000",500,"6,000",500,"7,000","1,000","6,000","1,000"
                         Hispanic or Latinoa ,"3,000",500,"1,000",500,*,*,*,*,*,*,*,*,*,*,*,*,*,*
                         Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Native,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"2,000",500,"1,000",500,"1,000",500,*,*,*,*,*,*,D,D,D,D,D,D
                              Black or African American,"2,000",500,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
                              White,"51,000","2,000","9,000","1,500","5,000",500,"6,000","1,000","7,000","1,000","7,000",500,"6,000",500,"6,000","1,000","6,000","1,000"
                              Other racec,"1,000",500,*,*,*,*,*,*,D,D,*,*,D,D,D,D,D,D
                    Sociologists and anthropologists,"5,000","1,000","2,000","1,000","1,000",500,*,*,*,*,*,*,*,*,*,*,*,*
                         Hispanic or Latinoa ,*,*,*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                         Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Black or African American,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              White,"5,000","1,000","2,000","1,000",*,*,*,*,*,*,*,*,*,*,*,*,*,*
                              Other racec,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Other social and related scientists,"11,000","1,500","3,000","1,000","3,000","1,000","2,000","1,000","1,000",500,"1,000",500,*,*,*,*,"1,000",500
                         Hispanic or Latinoa ,"1,000",500,*,*,*,*,*,*,D,D,D,D,D,D,D,D,D,D
                         Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                              American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                              Asian,"2,000","1,000","1,000",500,"1,000",500,*,*,D,D,D,D,D,D,D,D,D,D
                              Black or African American,"1,000",500,*,*,*,*,*,*,*,*,D,D,D,D,D,D,D,D
                              White,"8,000","1,000","2,000",500,"2,000",500,"2,000","1,000","1,000",500,"1,000",500,*,*,*,*,"1,000",500
                              Other racec,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
          Engineering occupations,"118,000","3,000","25,000","2,000","22,000","1,500","17,000","1,500","16,000","1,000","13,000","1,000","9,000",500,"6,000",500,"10,000","1,000"
               Hispanic or Latinoa ,"4,000","1,000","1,000",500,"1,000",500,"1,000",500,*,*,*,*,*,*,*,*,*,*
               Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                    American Indian or Alaska Native,*,*,D,D,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                    Asian,"48,000","2,000","12,000","1,500","12,000","1,000","7,000","1,000","6,000","1,000","5,000","1,000","3,000",500,"1,000",500,"2,000",500
                    Black or African American,"2,000",500,"1,000",500,"1,000",500,*,*,*,*,*,*,D,D,D,D,D,D
                    White,"63,000","2,000","11,000","1,000","8,000",500,"9,000","1,000","9,000","1,000","7,000",500,"6,000",500,"5,000",500,"8,000","1,000"
                    Other racec,"1,000",500,*,*,*,*,*,*,D,D,D,D,D,D,D,D,D,D
               Aeronautical/ aerospace/ astronautical engineers,"6,000","1,000","1,000",500,"1,000",500,"1,000",500,"1,000",500,"1,000",500,"1,000",500,*,*,"1,000",500
                    Hispanic or Latinoa ,*,*,*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                    Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,"1,000",500,*,*,*,*,D,D,*,*,"1,000",500,D,D,*,*,D,D
                         Black or African American,*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         White,"4,000",500,"1,000",500,"1,000",500,"1,000",500,"1,000",500,*,*,*,*,*,*,"1,000",500
                         Other racec,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
               Chemical engineers,"10,000","1,000","2,000","1,000","2,000",500,"2,000","1,000","1,000",500,"1,000",500,"1,000",500,*,*,"1,000",500
                    Hispanic or Latinoa ,*,*,*,*,*,*,*,*,D,D,D,D,D,D,D,D,D,D
                    Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,"4,000","1,000","1,000",500,"1,000",500,*,*,*,*,*,*,*,*,D,D,*,*
                         Black or African American,*,*,D,D,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                         White,"5,000","1,000","1,000",500,"1,000",500,"1,000","1,000",*,*,"1,000",500,*,*,*,*,"1,000",500
                         Other racec,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
"               Civil, including architectural/ sanitary engineers","6,000","1,000","1,000",500,"1,000",500,"1,000",500,"1,000",500,*,*,*,*,"1,000",500,"1,000",500
                    Hispanic or Latinoa ,*,*,D,D,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                    Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,"2,000",500,"1,000",500,*,*,*,*,*,*,D,D,D,D,D,D,D,D
                         Black or African American,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         White,"3,000",500,"1,000",500,*,*,*,*,*,*,*,*,*,*,*,*,*,*
                         Other racec,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
               Electrical/ computer hardware engineers,"26,000","1,500","6,000","1,000","5,000",500,"4,000","1,000","4,000","1,000","3,000",500,"2,000",500,"1,000",500,"2,000",500
                    Hispanic or Latinoa ,*,*,D,D,*,*,D,D,*,*,D,D,D,D,D,D,D,D
                    Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,"14,000","1,500","4,000","1,000","3,000",500,"3,000","1,000","2,000",500,"1,000",500,*,*,*,*,*,*
                         Black or African American,*,*,*,*,*,*,D,D,D,D,D,D,D,D,D,D,D,D
                         White,"11,000","1,000","2,000",500,"1,000",500,"1,000",500,"2,000",500,"2,000",500,"1,000",500,"1,000",500,"1,000",500
                         Other racec,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
               Industrial engineers,"2,000",500,S,S,*,*,*,*,*,*,D,D,D,D,D,D,*,*
                    Hispanic or Latinoa ,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                    Not Hispanic or Latinob,,,,,,,,,,,,,,,,,,
                         American Indian or Alaska Native,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Asian,*,*,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
                         Black or African American,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
