"Table 6-2. U.S. scientists and engineers with a bachelor's as the highest degree, by field of highest degree, sex, ethnicity, and race: 2013",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Level and field of highest degree and sex             ,  ,,,,Not Hispanic or Latinob,,,,,,,,,
,All scientists and engineers,,Hispanic or Latinoa,,American Indian or Alaska Native,,Asian,,Black or African American,,White,,Other racec,
               Aerospace/ related engineering,"113,000","11,500","16,000","4,500",D,D,"7,000","2,500","2,000","1,000","87,000","10,000",S,S
                    Male,"101,000","11,500","15,000","4,500",D,D,"6,000","2,500","1,000","1,000","77,000","10,000",S,S
                    Female,"12,000","2,500",*,*,D,D,S,S,*,*,"10,000","2,500",D,D
               Chemical engineering,"173,000","10,000","16,000","4,000",D,D,"28,000","4,000","6,000","1,500","120,000","8,000","2,000","1,000"
                    Male,"123,000","8,500","12,000","4,000",D,D,"14,000","2,500","3,000","1,000","92,000","7,000","1,000",500
                    Female,"50,000","5,500","3,000","1,000",D,D,"14,000","3,000","4,000","1,500","28,000","4,000",S,S
               Civil/ architectural engineering,"383,000","17,000","30,000","4,000","1,000",500,"47,000","5,000","14,000","3,000","286,000","15,500","5,000","1,500"
                    Male,"330,000","15,500","24,000","3,500","1,000",500,"39,000","5,000","12,000","2,500","250,000","14,000","4,000","1,500"
                    Female,"53,000","6,500","6,000","1,500",D,D,"9,000","2,500","2,000","1,000","36,000","5,500",S,S
               Electrical/ computer engineering,"777,000","22,500","56,000","5,000","3,000","1,500","190,000","9,500","41,000","5,500","475,000","20,000","12,000","3,000"
                    Male,"677,000","22,500","48,000","4,500","3,000","1,500","148,000","8,000","35,000","5,000","433,000","20,000","11,000","2,500"
                    Female,"100,000","7,500","8,000","2,000",D,D,"43,000","5,000","6,000","2,000","42,000","5,500","1,000",500
               Industrial engineering,"174,000","11,000","36,000","4,500",D,D,"13,000","2,500","5,000","2,000","119,000","10,000",S,S
                    Male,"141,000","10,500","27,000","4,500",D,D,"10,000","2,000","4,000","1,500","99,000","9,000",S,S
                    Female,"32,000","5,000","9,000","2,500",D,D,"3,000","1,000","1,000",500,"20,000","4,500",D,D
               Mechanical engineering,"503,000","18,500","32,000","3,500",S,S,"63,000","6,500","14,000","2,500","385,000","17,000","6,000","1,500"
                    Male,"461,000","17,500","28,000","3,500",S,S,"59,000","6,000","12,000","2,000","354,000","16,500","6,000","1,500"
                    Female,"42,000","4,500","4,000","1,500",D,D,"5,000","1,500","2,000",500,"31,000","4,000",*,*
               Other engineering,"284,000","14,000","26,000","6,000",D,D,"31,000","4,000","7,000","2,500","216,000","12,500","4,000","1,500"
                    Male,"219,000","11,500","17,000","4,000",D,D,"22,000","3,000","5,000","2,000","172,000","10,500","3,000","1,000"
                    Female,"65,000","8,000","8,000","4,500",D,D,"8,000","2,500",S,S,"44,000","6,500","1,000",500
     S&E-related field,"3,637,000","78,000","270,000","20,500","13,000","6,000","395,000","20,500","231,000","17,000","2,656,000","61,000","72,000","10,000"
          Male,"1,157,000","37,500","79,000","8,000","1,000",500,"124,000","12,500","75,000","9,000","851,000","32,000","26,000","6,500"
          Female,"2,481,000","65,500","191,000","18,000","12,000","6,000","271,000","16,000","156,000","15,500","1,805,000","51,500","46,000","7,500"
          Health,"2,650,000","61,000","200,000","17,500","12,000","6,000","312,000","19,000","181,000","16,500","1,891,000","48,000","55,000","9,000"
               Male,"473,000","23,500","37,000","6,000","1,000",500,"77,000","10,000","34,000","7,000","311,000","19,000","13,000","4,000"
               Female,"2,177,000","57,500","163,000","16,500",S,S,"235,000","15,500","146,000","15,000","1,581,000","45,500","41,000","7,500"
          Science/ mathematics teacher education,"258,000","19,000","12,000","3,500",D,D,"17,000","5,500","5,000","1,500","216,000","18,000",S,S
               Male,"112,000","11,000","6,000","2,000",D,D,"2,000","1,000","2,000","1,500","97,000","10,500",D,D
               Female,"146,000","15,500","6,000","3,000",D,D,"15,000","5,500","3,000","1,000","119,000","13,000",S,S
          Technology/ technical fields,"430,000","24,000","30,000","4,500",D,D,"39,000","5,500","25,000","4,500","331,000","22,000","6,000","2,500"
               Male,"379,000","22,500","25,000","4,500",D,D,"29,000","5,000","21,000","4,000","299,000","21,000","6,000","2,500"
               Female,"51,000","7,000","5,000","1,500",D,D,"10,000","2,500","4,000","2,000","32,000","6,000",D,D
          Other S&E-related fields,"299,000","17,000","28,000","5,500",D,D,"27,000","4,000","21,000","5,500","219,000","15,000","4,000","1,500"
               Male,"193,000","13,500","12,000","2,500",D,D,"17,000","4,000","17,000","5,000","145,000","12,000","2,000","1,000"
               Female,"107,000","11,500","17,000","5,000",D,D,"10,000","2,000",S,S,"74,000","9,500",S,S
     Non-S&E field,"1,587,000","67,500","137,000","19,000","6,000","2,500","103,000","14,000","117,000","16,000","1,207,000","55,500","18,000","4,500"
          Male,"844,000","39,000","72,000","12,500",S,S,"63,000","10,500","43,000","8,500","652,000","33,000","13,000","4,500"
          Female,"743,000","45,500","65,000","13,500","5,000","2,500","40,000","7,500","74,000","13,000","554,000","37,000","5,000","2,000"
          Art/ humanities fields,"402,000","26,500","54,000","9,500",D,D,"10,000","3,000","16,000","4,000","315,000","24,000","8,000","4,000"
               Male,"224,000","18,000","35,000","8,500",D,D,"4,000","2,000","3,000","1,500","177,000","16,000",S,S
               Female,"178,000","17,500","18,000","5,000",D,D,"7,000","2,000","13,000","4,000","138,000","15,500","2,000","1,000"
"          Education, except science/ math teacher education","192,000","25,000","3,000","1,000",D,D,S,S,"13,000","5,500","163,000","24,000",D,D
               Male,"72,000","13,500","1,000",500,D,D,S,S,S,S,"56,000","11,000",D,D
               Female,"120,000","22,000","2,000","1,000",D,D,"3,000","1,500","8,000","4,000","108,000","21,000",D,D
          Management/ administration,"588,000","34,500","36,000","7,000",S,S,"58,000","10,000","59,000","10,500","427,000","26,500","8,000","2,500"
               Male,"365,000","23,500","14,000","3,000",S,S,"36,000","6,500","28,000","7,000","280,000","19,000","6,000","2,000"
               Female,"223,000","22,000","21,000","7,000",D,D,"22,000","6,000","31,000","8,000","147,000","17,500",S,S
          Sales/ marketing,"35,000","7,500",S,S,D,D,S,S,"2,000","1,000","30,000","7,500",D,D
               Male,"15,000","4,000",S,S,D,D,S,S,D,D,"12,000","3,500",D,D
               Female,"19,000","6,000",D,D,D,D,D,D,S,S,"18,000","6,000",D,D
          Social service/ related,"51,000","7,500","6,000","3,000",D,D,S,S,"2,000","1,000","38,000","6,500",D,D
               Male,"29,000","6,000",S,S,D,D,S,S,D,D,"19,000","4,500",D,D
               Female,"22,000","5,000",D,D,D,D,D,D,S,S,"19,000","5,000",D,D
          Other non-S&E field,"319,000","24,500","38,000","11,500",D,D,"16,000","5,000","25,000","7,000","234,000","18,000","2,000","1,500"
               Male,"138,000","13,500","14,000","6,000",D,D,"7,000","3,000","6,000","2,000","109,000","12,000",S,S
               Female,"181,000","20,000","24,000","9,500",D,D,"9,000","3,500","19,000","7,000","125,000","14,000",S,S
,,,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
a Hispanic or Latino may be of any race.,,,,,,,,,,,,,,
"b American Indian or Alaska Native, Asian, black or African American, and white are single race.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
c Other race includes Native Hawaiian or Other Pacific Islander and persons reporting more than one race who are not of Hispanic or Latino ethnicity.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NOTES: Numbers are rounded to the nearest 1,000. Standard errors for numbers are rounded up to the nearest 500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
