"Table 8-2. Employed U.S. scientists and engineers with a bachelor's as the highest degree, by field of highest degree, sex, ethnicity, and race: 2013",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Level and field of highest degree             ,  ,,Sex,,,,,,Not Hispanic or Latinob,,,,,,,,,
,Employed scientists and engineers,,Male,,Female,,Hispanic or Latinoa,,American Indian or Alaska Native,,Asian,,Black or African American,,White,,Other racec,
               Industrial engineering,"138,000","10,000","112,000","9,500","26,000","4,500","28,000","4,000",D,D,"9,000","2,000","5,000","2,000","95,000","8,500",S,S
               Mechanical engineering,"420,000","18,000","386,000","17,000","34,000","4,000","30,000","3,500",S,S,"55,000","6,000","13,000","2,000","315,000","16,000","6,000","1,500"
               Other engineering,"231,000","12,500","178,000","10,500","53,000","7,000","20,000","5,000",D,D,"24,000","3,500","7,000","2,500","178,000","11,500","3,000","1,000"
     S&E-related field,"2,942,000","72,000","986,000","36,500","1,956,000","58,500","217,000","18,500",S,S,"318,000","19,500","196,000","17,000","2,139,000","59,000","61,000","9,000"
          Health,"2,138,000","57,500","404,000","22,000","1,734,000","55,000","161,000","16,500",S,S,"250,000","18,500","152,000","16,000","1,516,000","47,500","49,000","8,500"
          Science/ mathematics teacher education,"183,000","14,500","89,000","10,000","93,000","10,000","7,000","2,000",D,D,"13,000","4,500","3,000","1,000","158,000","13,500",S,S
          Technology/ technical fields,"366,000","22,000","326,000","21,500","40,000","6,000","23,000","4,500",D,D,"35,000","5,500","22,000","4,000","279,000","20,500","6,000","2,500"
          Other S&E-related fields,"255,000","17,000","166,000","13,000","88,000","11,000","25,000","5,500",D,D,"20,000","3,500","19,000","5,500","186,000","14,000","4,000","1,500"
     Non-S&E field,"1,558,000","67,000","834,000","39,000","724,000","45,000","133,000","19,000","6,000","2,500","101,000","14,000","116,000","15,500","1,184,000","55,000","18,000","4,500"
          Art/ humanities fields,"399,000","26,500","223,000","18,000","176,000","17,500","53,000","9,500",D,D,"10,000","3,000","16,000","4,000","313,000","24,000","7,000","4,000"
"          Education, except science/ math teacher education","188,000","25,000","72,000","13,500","117,000","22,000","2,000","1,000",D,D,S,S,"13,000","5,500","160,000","23,500",D,D
          Management/ administration,"567,000","33,500","357,000","23,000","210,000","21,000","32,000","7,000",S,S,"57,000","10,000","59,000","10,500","409,000","25,500","8,000","2,500"
          Sales/ marketing,"35,000","7,500","15,000","4,000","19,000","6,000",S,S,D,D,S,S,"2,000","1,000","30,000","7,500",D,D
          Social service/ related,"50,000","7,000","29,000","6,500","21,000","5,000","6,000","3,000",D,D,S,S,S,S,"38,000","6,500",D,D
          Other non-S&E field,"318,000","25,000","138,000","13,500","180,000","20,000","38,000","11,500",D,D,"16,000","5,000","25,000","7,000","233,000","18,500","2,000","1,500"
,,,,,,,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
a Hispanic or Latino may be of any race.,,,,,,,,,,,,,,,,,,
"b American Indian or Alaska Native, Asian, black or African American, and white are single race.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
c Other race includes Native Hawaiian or Other Pacific Islander and persons reporting more than one race who are not of Hispanic or Latino ethnicity.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"NOTES: Numbers are rounded to the nearest 1,000. Standard errors for numbers are rounded up to the nearest 500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
