"Table 9-2. Employed U.S. scientists and engineers with a bachelor's as the highest degree, by occupation, citizenship status, and employment sector: 2013",,,,,,,,,,
,,,,,,,,,,
"Level of highest degree, occupation, and citizenship status             ",,,Sector of employment,,,,,,,
,Employed scientists and engineers,,Business/ industry,,4-year college/ university,,Other educational institution,,Government,
                         Non-U.S. citizen,"3,000","1,500","1,000",500,"3,000","1,000",D,D,D,D
                              Permanent resident,"1,000",500,"1,000",500,D,D,D,D,D,D
                              Temporary resident,"3,000","1,000",D,D,"2,000","1,000",D,D,D,D
                    Earth/ atmospheric/ ocean scientists,"26,000","3,000","18,000","2,500","1,000",500,D,D,"7,000","1,500"
                         U.S. citizen,"25,000","3,000","17,000","2,500","1,000",500,D,D,"7,000","1,500"
                              Native-born,"25,000","3,000","17,000","2,500","1,000",500,D,D,"7,000","1,500"
                              Naturalized,*,*,*,*,D,D,D,D,D,D
                         Non-U.S. citizen,"1,000",500,*,*,D,D,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,*,*,*,*,D,D,D,D,D,D
                    Physicists and astronomers,"7,000","1,500","2,000","1,000","3,000","1,000",D,D,"1,000",500
                         U.S. citizen,"5,000","1,500","1,000","1,000","2,000","1,000",D,D,"1,000",500
                              Native-born,"4,000","1,000","1,000","1,000","1,000",500,D,D,"1,000",500
                              Naturalized,S,S,D,D,S,S,D,D,D,D
                         Non-U.S. citizen,"1,000",500,D,D,"1,000",500,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,"1,000",500,D,D,"1,000",500,D,D,D,D
                    Postsecondary teachers - physical/ related sciences,"10,000","2,500",D,D,"8,000","2,500","2,000","1,000",D,D
                         U.S. citizen,"7,000","2,000",D,D,"4,000","1,500","2,000","1,000",D,D
                              Native-born,"6,000","2,000",D,D,"4,000","1,500","2,000","1,000",D,D
                              Naturalized,*,*,D,D,D,D,D,D,D,D
                         Non-U.S. citizen,S,S,D,D,S,S,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,S,S,D,D,S,S,D,D,D,D
                    Other physical/ related scientists,"27,000","4,000","13,000","2,500","2,000","1,000",D,D,"12,000","2,500"
                         U.S. citizen,"26,000","4,000","12,000","2,500","2,000","1,000",D,D,"12,000","2,500"
                              Native-born,"25,000","3,500","12,000","2,000","2,000","1,000",D,D,"12,000","2,500"
                              Naturalized,"1,000",500,D,D,D,D,D,D,"1,000",500
                         Non-U.S. citizen,S,S,D,D,D,D,D,D,D,D
                              Permanent resident,S,S,D,D,D,D,D,D,D,D
                              Temporary resident,D,D,D,D,D,D,D,D,D,D
"               Social science, psychology","124,000","15,500","46,000","7,500","33,000","4,500","8,000","2,000","37,000","9,500"
                    U.S. citizen,"116,000","15,000","43,000","7,000","28,000","4,000","8,000","2,000","37,000","9,500"
                         Native-born,"109,000","14,500","42,000","7,000","27,000","4,000","8,000","2,000","33,000","9,000"
                         Naturalized,"7,000","2,500","1,000",500,"1,000","1,000",D,D,"4,000","2,000"
                    Non-U.S. citizen,"8,000","3,000",S,S,"4,000","1,500",D,D,D,D
                         Permanent resident,S,S,S,S,S,S,D,D,D,D
                         Temporary resident,"3,000","1,000",D,D,"3,000","1,000",D,D,D,D
                    Economists,"12,000","5,000","2,000","1,000","4,000","2,000",D,D,S,S
                         U.S. citizen,"11,000","5,000","2,000","1,000",S,S,D,D,S,S
                              Native-born,"11,000","5,000","1,000",500,S,S,D,D,S,S
                              Naturalized,D,D,D,D,D,D,D,D,D,D
                         Non-U.S. citizen,"1,000","1,000",D,D,S,S,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,S,S,D,D,S,S,D,D,D,D
                    Political scientists,"6,000","2,000","2,000","1,000","2,000","1,000",D,D,"3,000","1,500"
                         U.S. citizen,"6,000","2,000","2,000","1,000",S,S,D,D,"3,000","1,500"
                              Native-born,"6,000","2,000",S,S,S,S,D,D,"3,000","1,500"
                              Naturalized,D,D,D,D,D,D,D,D,D,D
                         Non-U.S. citizen,D,D,D,D,D,D,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,D,D,D,D,D,D,D,D,D,D
                    Postsecondary teachers - social/ related sciences,"15,000","3,000",D,D,"13,000","3,000","2,000","1,000",D,D
                         U.S. citizen,"12,000","3,000",D,D,"11,000","3,000",S,S,D,D
                              Native-born,"11,000","3,000",D,D,"10,000","3,000",S,S,D,D
                              Naturalized,S,S,D,D,S,S,D,D,D,D
                         Non-U.S. citizen,"3,000","1,000",D,D,"2,000","1,000",D,D,D,D
                              Permanent resident,S,S,D,D,D,D,D,D,D,D
                              Temporary resident,"1,000","1,000",D,D,"1,000","1,000",D,D,D,D
                    Psychologists,"25,000","4,500","8,000","2,000","9,000","3,000","6,000","2,000",S,S
                         U.S. citizen,"25,000","4,500","8,000","2,000","9,000","3,000","6,000","2,000",S,S
                              Native-born,"24,000","4,500","8,000","2,000","8,000","3,000","6,000","2,000",S,S
                              Naturalized,"1,000",500,D,D,*,*,D,D,D,D
                         Non-U.S. citizen,D,D,D,D,D,D,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,D,D,D,D,D,D,D,D,D,D
                    Sociologists and anthropologists,"9,000","2,000","4,000","1,500","1,000",500,D,D,"3,000","1,500"
                         U.S. citizen,"9,000","2,000","4,000","1,500","1,000",500,D,D,"3,000","1,500"
                              Native-born,"9,000","2,000","4,000","1,500","1,000",500,D,D,"3,000","1,500"
                              Naturalized,D,D,D,D,D,D,D,D,D,D
                         Non-U.S. citizen,D,D,D,D,D,D,D,D,D,D
                              Permanent resident,D,D,D,D,D,D,D,D,D,D
                              Temporary resident,D,D,D,D,D,D,D,D,D,D
                    Other social and related scientists,"57,000","11,000","30,000","7,000","4,000","1,000",D,D,"23,000","5,500"
                         U.S. citizen,"53,000","10,500","27,000","6,500","3,000","1,000",D,D,"23,000","5,500"
                              Native-born,"49,000","10,000","27,000","6,500","3,000","1,000",D,D,"19,000","5,000"
                              Naturalized,"4,000","2,000",D,D,D,D,D,D,"4,000","2,000"
                         Non-U.S. citizen,S,S,S,S,D,D,D,D,D,D
                              Permanent resident,S,S,S,S,D,D,D,D,D,D
                              Temporary resident,D,D,D,D,D,D,D,D,D,D
          Engineering occupations,"988,000","32,500","834,000","29,000","26,000","3,500","5,000","1,500","123,000","7,000"
               U.S. citizen,"945,000","31,500","796,000","28,000","22,000","3,000","4,000","1,500","123,000","7,500"
                    Native-born,"845,000","30,000","718,000","26,500","18,000","3,000","4,000","1,500","105,000","7,000"
                    Naturalized,"99,000","6,000","78,000","5,000","3,000","1,500",D,D,"17,000","2,000"
               Non-U.S. citizen,"43,000","4,000","38,000","4,000","4,000","1,500",D,D,D,D
                    Permanent resident,"24,000","3,000","23,000","3,500",*,*,D,D,D,D
                    Temporary resident,"19,000","2,500","14,000","2,500","4,000","1,500",D,D,D,D
               Aeronautical/ aerospace/ astronautical engineers,"56,000","5,500","47,000","4,500","2,000","1,000",D,D,"8,000","2,500"
                    U.S. citizen,"54,000","5,500","45,000","4,500","1,000",500,D,D,"8,000","2,500"
                         Native-born,"50,000","5,500","42,000","4,500","1,000",500,D,D,"7,000","2,500"
                         Naturalized,"4,000","1,000","4,000","1,000",D,D,D,D,S,S
                    Non-U.S. citizen,"2,000","1,000","2,000","1,000",D,D,D,D,D,D
                         Permanent resident,"2,000","1,000","2,000","1,000",D,D,D,D,D,D
                         Temporary resident,D,D,D,D,D,D,D,D,D,D
               Chemical engineers,"42,000","4,000","40,000","4,000","2,000",500,D,D,*,*
                    U.S. citizen,"41,000","4,000","39,000","4,000","2,000",500,D,D,*,*
                         Native-born,"37,000","4,000","35,000","4,000","1,000",500,D,D,*,*
                         Naturalized,"3,000","1,000","3,000","1,000",D,D,D,D,D,D
                    Non-U.S. citizen,"2,000","1,000","2,000","1,000",D,D,D,D,D,D
                         Permanent resident,"1,000",500,"1,000",500,D,D,D,D,D,D
                         Temporary resident,S,S,D,D,D,D,D,D,D,D
"               Civil, including architectural/ sanitary engineers","150,000","9,000","93,000","6,500","1,000",500,D,D,"56,000","5,000"
                    U.S. citizen,"146,000","9,000","90,000","6,500","1,000",500,D,D,"55,000","5,000"
                         Native-born,"128,000","8,500","84,000","6,500",S,S,D,D,"44,000","4,500"
                         Naturalized,"18,000","2,500","6,000","1,500",D,D,D,D,"11,000","2,000"
                    Non-U.S. citizen,"4,000","1,000","3,000","1,000",D,D,D,D,D,D
                         Permanent resident,"2,000","1,000","2,000",500,D,D,D,D,D,D
                         Temporary resident,"2,000","1,000","1,000","1,000",D,D,D,D,D,D
               Electrical/ computer hardware engineers,"209,000","11,500","184,000","10,500","5,000","1,500",S,S,"18,000","2,500"
                    U.S. citizen,"195,000","11,000","170,000","10,000","5,000","1,500",D,D,"18,000","2,500"
                         Native-born,"163,000","10,000","142,000","9,000","4,000","1,000",D,D,"15,000","2,500"
                         Naturalized,"32,000","3,500","28,000","3,000",D,D,D,D,"3,000","1,000"
                    Non-U.S. citizen,"14,000","2,500","13,000","2,500",*,*,D,D,D,D
                         Permanent resident,"8,000","2,000","8,000","2,000",D,D,D,D,D,D
                         Temporary resident,"6,000","1,500","6,000","1,500",*,*,D,D,D,D
               Industrial engineers,"48,000","5,000","46,000","5,000",D,D,D,D,S,S
                    U.S. citizen,"46,000","5,000","44,000","5,000",D,D,D,D,S,S
                         Native-born,"40,000","5,000","38,000","4,500",D,D,D,D,S,S
                         Naturalized,"5,000","2,000","5,000","2,000",D,D,D,D,D,D
                    Non-U.S. citizen,"3,000","1,500","3,000","1,500",D,D,D,D,D,D
                         Permanent resident,S,S,S,S,D,D,D,D,D,D
                         Temporary resident,S,S,S,S,D,D,D,D,D,D
               Mechanical engineers,"211,000","13,500","197,000","13,000","2,000","1,000",D,D,"10,000","2,000"
                    U.S. citizen,"205,000","13,500","191,000","13,000","2,000","1,000",D,D,"10,000","2,000"
                         Native-born,"187,000","12,500","175,000","12,000","2,000",500,D,D,"9,000","2,000"
                         Naturalized,"18,000","2,500","17,000","2,500",D,D,D,D,"1,000",500
                    Non-U.S. citizen,"7,000","1,500","6,000","1,500",D,D,D,D,D,D
                         Permanent resident,"3,000","1,000","3,000","1,000",D,D,D,D,D,D
                         Temporary resident,"4,000","1,000","3,000","1,000",D,D,D,D,D,D
               Postsecondary teachers - engineering,"8,000","2,000",D,D,"7,000","2,000","1,000","1,000",D,D
                    U.S. citizen,"7,000","2,000",D,D,"5,000","2,000","1,000","1,000",D,D
                         Native-born,"6,000","2,000",D,D,"5,000","2,000","1,000","1,000",D,D
                         Naturalized,D,D,D,D,D,D,D,D,D,D
                    Non-U.S. citizen,S,S,D,D,S,S,D,D,D,D
                         Permanent resident,D,D,D,D,D,D,D,D,D,D
                         Temporary resident,S,S,D,D,S,S,D,D,D,D
               Other engineers,"263,000","16,500","226,000","14,500","7,000","2,000",D,D,"30,000","3,500"
                    U.S. citizen,"253,000","16,000","217,000","14,000","6,000","2,000",D,D,"30,000","3,500"
                         Native-born,"234,000","15,000","202,000","13,500","4,000","1,500",D,D,"28,000","3,500"
                         Naturalized,"19,000","3,000","15,000","2,500","2,000","1,500",D,D,"1,000","1,000"
                    Non-U.S. citizen,"10,000","2,500","9,000","2,500","1,000",500,D,D,D,D
                         Permanent resident,"7,000","2,000","7,000","2,000",D,D,D,D,D,D
                         Temporary resident,"3,000","1,000","2,000","1,000","1,000",500,D,D,D,D
     S&E-related occupations,"4,065,000","88,500","2,958,000","71,000","211,000","16,500","492,000","36,000","403,000","25,500"
          U.S. citizen,"3,872,000","86,500","2,790,000","69,000","201,000","16,500","483,000","35,500","399,000","25,500"
               Native-born,"3,359,000","75,000","2,410,000","62,500","169,000","15,000","441,000","30,500","338,000","23,500"
               Naturalized,"513,000","34,000","380,000","25,000","31,000","7,500","41,000","16,000","61,000","10,000"
          Non-U.S. citizen,"192,000","16,500","168,000","15,500","10,000","3,000","10,000","4,000","4,000","1,500"
               Permanent resident,"132,000","13,500","117,000","13,000","4,000","2,000","8,000","4,000","4,000","1,500"
               Temporary resident,"60,000","8,500","51,000","8,000","7,000","2,000","2,000","1,000",D,D
          Health and related,"2,451,000","71,000","1,974,000","62,500","168,000","15,500","73,000","9,000","236,000","20,000"
               U.S. citizen,"2,337,000","69,500","1,869,000","61,500","164,000","15,000","71,000","9,000","233,000","20,000"
                    Native-born,"2,012,000","62,500","1,613,000","56,000","136,000","13,000","68,000","9,000","194,000","18,000"
                    Naturalized,"325,000","25,000","255,000","22,000","28,000","7,500","3,000","1,500","39,000","8,500"
               Non-U.S. citizen,"114,000","14,500","106,000","14,000","4,000","2,000",D,D,"3,000","1,500"
                    Permanent resident,"86,000","12,500","80,000","12,000",S,S,D,D,"3,000","1,500"
                    Temporary resident,"28,000","7,000","26,000","6,500","1,000","1,000",D,D,D,D
          S&E manager,"494,000","27,000","398,000","21,500","20,000","5,000",D,D,"77,000","9,500"
               U.S. citizen,"469,000","26,500","373,000","21,000","20,000","5,000",D,D,"77,000","9,500"
                    Native-born,"430,000","24,500","338,000","19,500","19,000","5,000",D,D,"73,000","9,500"
                    Naturalized,"40,000","7,500","35,000","7,500",D,D,D,D,"4,000","2,000"
               Non-U.S. citizen,"25,000","4,000","25,000","4,000",D,D,D,D,D,D
                    Permanent resident,"13,000","3,000","13,000","3,000",D,D,D,D,D,D
                    Temporary resident,"12,000","2,500","12,000","2,500",D,D,D,D,D,D
          S&E precollege teacher,"414,000","34,500",D,D,D,D,"414,000","34,500",D,D
               U.S. citizen,"408,000","34,000",D,D,D,D,"408,000","34,000",D,D
                    Native-born,"370,000","29,500",D,D,D,D,"370,000","29,500",D,D
                    Naturalized,"38,000","16,000",D,D,D,D,"38,000","16,000",D,D
               Non-U.S. citizen,S,S,D,D,D,D,S,S,D,D
                    Permanent resident,S,S,D,D,D,D,S,S,D,D
                    Temporary resident,S,S,D,D,D,D,S,S,D,D
          S&E technician/ technologist,"584,000","24,000","475,000","21,500","24,000","3,500",S,S,"82,000","10,000"
               U.S. citizen,"545,000","24,000","444,000","21,000","17,000","3,000",D,D,"81,000","10,000"
                    Native-born,"446,000","22,500","365,000","20,000","15,000","3,000",D,D,"63,000","8,500"
                    Naturalized,"99,000","9,500","79,000","8,000","2,000","1,000",D,D,"18,000","5,000"
               Non-U.S. citizen,"39,000","5,500","30,000","4,500","7,000","2,500",D,D,D,D
                    Permanent resident,"23,000","4,500","20,000","4,000",S,S,D,D,D,D
                    Temporary resident,"16,000","4,000","10,000","3,500","5,000","2,000",D,D,D,D
          Other S&E-related,"121,000","12,000","111,000","11,500",D,D,S,S,"8,000","3,500"
               U.S. citizen,"113,000","11,000","104,000","11,000",D,D,D,D,"8,000","3,500"
                    Native-born,"101,000","11,000","93,000","11,000",D,D,D,D,"8,000","3,500"
                    Naturalized,"12,000","3,000","11,000","2,500",D,D,D,D,D,D
               Non-U.S. citizen,"8,000","2,500","7,000","2,500",D,D,D,D,D,D
                    Permanent resident,"4,000","2,000","4,000","2,000",D,D,D,D,D,D
                    Temporary resident,"3,000","1,500",S,S,D,D,D,D,D,D
     Non-S&E occupations,"6,079,000","138,500","4,641,000","108,000","188,000","15,500","490,000","29,000","760,000","33,500"
          U.S. citizen,"5,840,000","133,500","4,429,000","103,000","184,000","15,500","473,000","29,000","754,000","33,500"
               Native-born,"5,276,000","127,000","3,970,000","97,500","170,000","15,000","436,000","27,500","700,000","32,500"
               Naturalized,"563,000","23,500","459,000","21,500","14,000","3,000","37,000","5,000","54,000","5,500"
          Non-U.S. citizen,"239,000","16,500","212,000","16,000","4,000","1,500","17,000","4,000","6,000","2,500"
               Permanent resident,"185,000","14,500","162,000","13,500","2,000","1,000","16,000","3,500","6,000","2,500"
               Temporary resident,"54,000","8,500","50,000","8,500","3,000","1,000",S,S,D,D
          Arts/ humanities/ related,"191,000","17,500","179,000","17,500","8,000","3,000","2,000","1,000","3,000","1,000"
               U.S. citizen,"188,000","17,000","175,000","17,000","8,000","3,000","2,000","1,000","3,000","1,000"
                    Native-born,"176,000","16,500","164,000","16,000","7,000","3,000","2,000","1,000","3,000","1,000"
                    Naturalized,"12,000","4,500","12,000","4,500",D,D,D,D,D,D
               Non-U.S. citizen,S,S,S,S,D,D,D,D,D,D
                    Permanent resident,"1,000","1,000","1,000","1,000",D,D,D,D,D,D
                    Temporary resident,D,D,D,D,D,D,D,D,D,D
          Management-related,"1,061,000","37,500","894,000","34,500","18,000","4,000","12,000","3,500","136,000","12,000"
               U.S. citizen,"1,011,000","35,500","846,000","32,000","18,000","4,000","11,000","3,500","136,000","12,000"
                    Native-born,"900,000","34,000","751,000","32,000","16,000","3,500","10,000","3,000","124,000","11,500"
                    Naturalized,"111,000","8,500","95,000","7,500","2,000","1,000","2,000","1,000","12,000","3,000"
               Non-U.S. citizen,"50,000","7,000","49,000","7,000",D,D,D,D,D,D
                    Permanent resident,"37,000","6,000","36,000","6,000",D,D,D,D,D,D
                    Temporary resident,"13,000","4,000","13,000","4,000",D,D,D,D,D,D
          Non-S&E manager,"856,000","32,500","740,000","30,000","15,000","4,000","14,000","4,000","87,000","9,500"
               U.S. citizen,"827,000","32,000","712,000","29,000","15,000","4,000","13,000","4,000","87,000","9,500"
                    Native-born,"760,000","31,500","648,000","28,000","14,000","4,000","13,000","4,000","84,000","9,500"
                    Naturalized,"68,000","7,000","64,000","7,000",D,D,D,D,"3,000","1,500"
               Non-U.S. citizen,"28,000","5,000","28,000","5,000",D,D,D,D,D,D
                    Permanent resident,"18,000","3,500","17,000","3,500",D,D,D,D,D,D
                    Temporary resident,"11,000","4,000","11,000","4,000",D,D,D,D,D,D
          Non-S&E postsecondary teacher,"32,000","6,500",D,D,"20,000","3,500","12,000","5,000",D,D
               U.S. citizen,"28,000","5,500",D,D,"18,000","3,500","10,000","4,000",D,D
                    Native-born,"26,000","5,500",D,D,"16,000","3,000","10,000","4,000",D,D
                    Naturalized,"2,000","1,000",D,D,"2,000","1,000",D,D,D,D
               Non-U.S. citizen,"4,000","1,500",D,D,S,S,D,D,D,D
                    Permanent resident,"2,000","1,500",D,D,D,D,D,D,D,D
                    Temporary resident,D,D,D,D,D,D,D,D,D,D
          Non-S&E precollege/ other teacher,"357,000","24,500",D,D,D,D,"357,000","24,500",D,D
               U.S. citizen,"345,000","24,000",D,D,D,D,"345,000","24,000",D,D
                    Native-born,"320,000","22,500",D,D,D,D,"320,000","22,500",D,D
                    Naturalized,"25,000","5,000",D,D,D,D,"25,000","5,000",D,D
               Non-U.S. citizen,"11,000","3,500",D,D,D,D,"11,000","3,500",D,D
                    Permanent resident,"11,000","3,500",D,D,D,D,"11,000","3,500",D,D
                    Temporary resident,D,D,D,D,D,D,D,D,D,D
          Sales/ marketing,"1,088,000","49,000","1,072,000","49,000","6,000","3,500",S,S,"8,000","2,500"
               U.S. citizen,"1,055,000","48,000","1,040,000","48,000",S,S,S,S,"8,000","2,500"
                    Native-born,"944,000","46,000","930,000","46,000",S,S,S,S,"6,000","2,500"
