"Table 7-2. Employed U.S. scientists and engineers with a bachelor's as the highest degree,by field of highest degree, employment sector, and primary or secondary work activity: 2013",,,,,,,,,,,,
,,,,,,,,,,,,
Level and field of highest degree and employment sector             ,,,Primary or secondary work activity,,,,,,,,,
,Employed scientists and engineers,,Computer applications,,"Management, sales, administration",,Research and development,,Teaching,,Other,
               Aerospace/ related engineering,"93,000","11,000","7,000","2,000","57,000","10,000","34,000","5,500","11,000","3,500","35,000","6,500"
                    Business/ industry,"62,000","8,000","6,000","2,000","37,000","7,000","26,000","4,000","5,000","2,500","24,000","5,000"
                    4-year college/ university,"1,000",500,D,D,*,*,"1,000",500,D,D,D,D
                    Other educational institution,S,S,D,D,S,S,D,D,D,D,D,D
                    Government,"29,000","8,000",S,S,"18,000","7,000","7,000","3,500",D,D,"12,000","5,000"
               Chemical engineering,"136,000","9,000","11,000","2,500","94,000","8,500","59,000","4,500","5,000","2,000","42,000","4,500"
                    Business/ industry,"121,000","9,000","10,000","2,500","89,000","8,000","52,000","4,500",S,S,"38,000","4,500"
                    4-year college/ university,"5,000","1,500",S,S,D,D,"4,000","1,500",D,D,D,D
                    Other educational institution,S,S,D,D,S,S,D,D,S,S,D,D
                    Government,"7,000","1,500",D,D,"4,000","1,500","3,000","1,000",D,D,"3,000","1,500"
               Civil/ architectural engineering,"318,000","15,000","20,000","4,000","246,000","13,500","107,000","7,500","10,000","3,000","91,000","9,000"
                    Business/ industry,"228,000","11,500","12,000","3,000","174,000","11,000","77,000","5,000","6,000","2,500","72,000","8,500"
                    4-year college/ university,"5,000","2,000",D,D,S,S,"1,000",500,S,S,D,D
                    Other educational institution,"1,000",500,D,D,D,D,D,D,"1,000",500,D,D
                    Government,"84,000","7,500","6,000","2,000","70,000","7,000","29,000","4,500",S,S,"18,000","3,000"
               Electrical/ computer engineering,"662,000","21,500","241,000","14,000","341,000","15,500","319,000","14,000","24,000","5,000","145,000","10,500"
                    Business/ industry,"585,000","20,000","227,000","14,000","306,000","15,000","285,000","13,000","12,000","3,000","123,000","10,500"
                    4-year college/ university,"13,000","2,500","6,000","2,000","4,000","2,000","8,000","2,000","1,000","1,000","3,000","1,500"
                    Other educational institution,"11,000","3,000",D,D,"3,000","1,000",S,S,"7,000","2,500","5,000","2,000"
                    Government,"53,000","5,500","7,000","2,000","28,000","4,000","25,000","4,000",D,D,"15,000","3,000"
               Industrial engineering,"138,000","10,000","14,000","3,000","111,000","9,500","42,000","5,000","10,000","4,000","35,000","5,000"
                    Business/ industry,"120,000","9,000","11,000","3,000","97,000","8,500","40,000","4,500","2,000","1,500","33,000","5,000"
                    4-year college/ university,D,D,D,D,D,D,D,D,D,D,D,D
                    Other educational institution,"8,000","4,000",D,D,S,S,D,D,S,S,D,D
                    Government,"9,000","3,000",D,D,"8,000","3,000","1,000",500,D,D,S,S
               Mechanical engineering,"420,000","18,000","39,000","5,000","274,000","14,000","214,000","11,500","16,000","4,000","109,000","9,000"
                    Business/ industry,"369,000","16,500","32,000","4,000","246,000","13,000","191,000","10,500","8,000","2,500","95,000","8,000"
                    4-year college/ university,"8,000","2,500",S,S,"1,000",500,"7,000","2,500","2,000","1,500",D,D
                    Other educational institution,"7,000","3,000",D,D,S,S,D,D,"3,000","1,500",D,D
                    Government,"36,000","5,000",S,S,"24,000","4,000","16,000","3,000",D,D,"11,000","3,000"
               Other engineering,"231,000","12,500","21,000","5,500","148,000","9,500","85,000","6,500","11,000","3,500","76,000","7,000"
                    Business/ industry,"181,000","10,500","18,000","5,000","123,000","9,000","64,000","5,500",S,S,"60,000","6,000"
                    4-year college/ university,"11,000","2,500",S,S,S,S,"9,000","2,500",S,S,D,D
                    Other educational institution,"8,000","3,500",D,D,D,D,D,D,"6,000","3,000",D,D
                    Government,"31,000","5,000","1,000",500,"22,000","4,500","9,000","2,000",D,D,"13,000","3,500"
     S&E-related field,"2,942,000","72,000","132,000","14,500","1,436,000","45,500","524,000","28,500","646,000","31,000","1,893,000","50,500"
          Business/ industry,"2,304,000","61,500","116,000","14,500","1,179,000","42,500","417,000","25,000","366,000","22,000","1,523,000","44,000"
          4-year college/ university,"156,000","13,500","9,000","3,000","42,000","7,000","31,000","6,000","55,000","7,500","113,000","11,000"
          Other educational institution,"236,000","15,500",S,S,"82,000","8,500","31,000","5,000","194,000","15,000","82,000","9,000"
          Government,"246,000","16,500","5,000","1,500","133,000","12,500","45,000","8,000","31,000","6,000","175,000","15,000"
          Health,"2,138,000","57,500","48,000","11,500","926,000","36,500","282,000","21,500","496,000","24,500","1,612,000","47,000"
               Business/ industry,"1,687,000","51,000","42,000","11,500","750,000","34,500","216,000","18,000","341,000","20,500","1,298,000","41,500"
               4-year college/ university,"137,000","12,500",S,S,"34,000","6,500","25,000","5,500","50,000","7,500","108,000","11,000"
               Other educational institution,"105,000","9,500",D,D,"30,000","4,500","9,000","2,500","76,000","9,500","51,000","7,000"
               Government,"209,000","16,000","1,000","1,000","113,000","12,500","33,000","7,000","30,000","6,000","154,000","14,500"
          Science/ mathematics teacher education,"183,000","14,500","3,000","2,000","91,000","9,500","34,000","6,000","115,000","11,000","56,000","9,000"
               Business/ industry,"57,000","9,000",S,S,"40,000","7,000","10,000","4,000","5,000","2,000","26,000","6,500"
               4-year college/ university,"5,000","2,500",D,D,D,D,"2,000","1,000","2,000","1,000",D,D
               Other educational institution,"116,000","11,000",S,S,"48,000","7,000","20,000","4,000","107,000","10,500","24,000","6,000"
               Government,"5,000","2,000",D,D,"2,000","1,500",D,D,D,D,S,S
          Technology/ technical fields,"366,000","22,000","74,000","8,500","244,000","17,500","98,000","8,000","16,000","4,000","135,000","15,500"
               Business/ industry,"335,000","21,500","67,000","8,000","230,000","17,500","90,000","8,000","9,000","2,500","123,000","15,000"
               4-year college/ university,"6,000","2,000","4,000","2,000",S,S,S,S,D,D,D,D
               Other educational institution,"9,000","3,000",D,D,"3,000","1,500","2,000","1,000","6,000","3,000","2,000","1,000"
               Government,"15,000","3,000","3,000","1,500","9,000","2,000","4,000","1,500",D,D,"10,000","2,500"
          Other S&E-related fields,"255,000","17,000","6,000","2,500","173,000","14,000","110,000","10,000","19,000","6,000","90,000","10,000"
               Business/ industry,"225,000","16,500","6,000","2,000","159,000","14,000","100,000","9,500","11,000","5,000","76,000","9,000"
               4-year college/ university,"6,000","2,000",D,D,"5,000","2,000",S,S,"3,000","1,000",D,D
               Other educational institution,"6,000","3,000",D,D,D,D,D,D,S,S,D,D
               Government,"17,000","4,000",D,D,"8,000","2,500","7,000","3,000",D,D,"8,000","3,000"
     Non-S&E field,"1,558,000","67,000","314,000","22,000","824,000","41,500","446,000","30,000","304,000","33,000","565,000","34,500"
          Business/ industry,"1,057,000","48,500","265,000","20,000","587,000","31,500","327,000","22,000","76,000","10,500","420,000","28,500"
          4-year college/ university,"66,000","10,000","9,000","2,000","33,000","8,000","22,000","5,000","9,000","4,000","33,000","7,000"
          Other educational institution,"244,000","33,000","12,000","3,500","90,000","16,500","36,000","11,000","216,000","32,000","42,000","9,000"
          Government,"190,000","19,500","29,000","6,000","115,000","15,500","61,000","10,500","3,000","1,500","70,000","10,000"
          Art/ humanities fields,"399,000","26,500","86,000","10,500","204,000","18,500","117,000","12,500","99,000","16,000","137,000","14,500"
               Business/ industry,"243,000","19,000","74,000","9,500","106,000","11,500","82,000","9,500","31,000","8,000","99,000","13,000"
               4-year college/ university,"12,000","3,500",S,S,"6,000","2,500","4,000","1,500",D,D,"6,000","3,000"
               Other educational institution,"74,000","14,000","5,000","2,000","31,000","9,000","7,000","2,500","67,000","14,000",S,S
               Government,"71,000","11,500","5,000","2,000","60,000","11,000","24,000","7,500",D,D,"27,000","7,000"
"          Education, except science/ math teacher education","188,000","25,000","10,000","4,000","72,000","11,000","48,000","11,500","114,000","23,500","62,000","10,000"
               Business/ industry,"66,000","9,500","5,000","2,500","40,000","7,000","20,000","5,000",S,S,"36,000","7,500"
               4-year college/ university,"4,000","2,000",D,D,S,S,D,D,D,D,S,S
               Other educational institution,"112,000","23,500",D,D,"30,000","9,500","27,000","10,500","108,000","23,500","18,000","6,500"
               Government,S,S,D,D,"1,000","1,000",S,S,D,D,S,S
          Management/ administration,"567,000","33,500","159,000","13,500","315,000","21,500","153,000","13,500","47,000","11,000","215,000","20,500"
               Business/ industry,"469,000","27,500","133,000","12,000","271,000","19,000","127,000","12,500","20,000","4,500","193,000","19,500"
               4-year college/ university,"16,000","4,500","3,000","1,500","7,000","3,000","8,000","3,000",D,D,S,S
               Other educational institution,"31,000","10,000","5,000","3,000","14,000","5,500",D,D,"25,000","10,000","3,000","2,000"
               Government,"51,000","9,500","17,000","4,500","23,000","6,000","17,000","5,000",S,S,"16,000","4,500"
          Sales/ marketing,"35,000","7,500","6,000","2,500","23,000","6,000","21,000","6,000",S,S,"5,000","2,500"
               Business/ industry,"28,000","6,000","6,000","2,500","22,000","6,000","16,000","4,500",S,S,"4,000","2,500"
               4-year college/ university,D,D,D,D,D,D,D,D,D,D,D,D
               Other educational institution,D,D,D,D,D,D,D,D,D,D,D,D
               Government,"1,000",500,D,D,*,*,*,*,D,D,*,*
          Social service/ related,"50,000","7,000","14,000","3,500","28,000","5,500","12,000","3,500","5,000","2,000","17,000","4,500"
               Business/ industry,"42,000","7,000","12,000","3,500","25,000","5,000","9,000","3,000",S,S,"14,000","4,500"
               4-year college/ university,"5,000","2,000",D,D,S,S,D,D,D,D,D,D
               Other educational institution,S,S,D,D,D,D,D,D,S,S,D,D
               Government,S,S,D,D,D,D,D,D,D,D,D,D
          Other non-S&E field,"318,000","25,000","39,000","6,500","182,000","19,000","96,000","11,000","31,000","7,500","129,000","15,500"
               Business/ industry,"210,000","17,500","34,000","6,000","123,000","13,500","73,000","10,000","15,000","4,000","74,000","10,500"
               4-year college/ university,"24,000","6,500",S,S,"16,000","7,000","4,000","2,000",D,D,"19,000","6,500"
               Other educational institution,"25,000","8,000",D,D,"14,000","6,500",D,D,"14,000","6,000","15,000","6,500"
               Government,"59,000","10,000","2,000","1,500","29,000","7,500","19,000","4,500","1,000",500,"22,000","5,500"
,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,
,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,
,,,,,,,,,,,,
"NOTES: Numbers are rounded to the nearest 1,000. Standard errors for numbers are rounded up to the nearest 500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification. Business/industry includes self-employed individuals, nonprofit organizations, and other unspecified types of employers. Four-year college/university includes medical schools and university-affiliated research institutes. Other educational institution includes 2-year colleges, precollege institutions, and other educational institutions. Government includes federal (civilian), military, state, and local employers.",,,,,,,,,,,,
,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,
,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,
,,,,,,,,,,,,
