"Table 15-3. Median annual salaries of employed U.S. scientists and engineers with a master's as the highest degree, by occupation, age, and primary or secondary work activity: 2013",,,,,,,,,,,,
,,,,,,,,,,,,
"Level of highest degree, occupation, and age (years)             ",,,Primary or secondary work activity,,,,,,,,,
,Employed scientists and engineers,,Computer applications,,"Management, sales, administration",,Research and development,,Teaching,,Other,
                         < 30,"35,000","3,000","29,000","14,000","49,000","6,000","33,000","5,500","29,000","3,500","42,000","5,500"
                         30–39,"56,000","6,000","54,000","15,500","56,000","18,500","54,000","5,000",S,S,"59,000","5,500"
                         40–49,"79,000","10,500",S,S,"96,000","12,500","71,000","8,500",D,D,"74,000","21,000"
                         50–59,"79,000","7,000",D,D,"77,000","9,000","75,000","6,500",*,*,"78,000","20,000"
                         60–75,"61,000","13,000",D,D,"68,000","27,000","57,000","6,000",D,D,"72,000","33,500"
                    Environmental life scientists,"64,000","5,000",D,D,"66,000","3,500","82,000","1,000",D,D,"47,000","2,500"
                         < 30,D,D,D,D,D,D,S,S,D,D,D,D
                         30–39,"50,000","7,500",D,D,"51,000","4,500","51,000","6,500",D,D,D,D
                         40–49,S,S,D,D,S,S,D,D,D,D,S,S
                         50–59,"80,000","1,000",D,D,"80,000","1,000",S,S,D,D,D,D
                         60–75,S,S,D,D,D,D,S,S,D,D,D,D
                    Postsecondary teachers - life/ related sciences,"29,000","3,000",D,D,"58,000","7,000","27,000","4,000","29,000","2,000","25,000","11,000"
                         < 30,"24,000","2,000",D,D,*,*,"22,000","4,500","24,000",500,D,D
                         30–39,"19,000","3,000",D,D,*,*,"20,000","2,500","20,000","5,500",D,D
                         40–49,"43,000","11,500",D,D,S,S,D,D,"43,000","12,000",D,D
                         50–59,"56,000","3,000",D,D,D,D,"56,000","2,000","54,000","4,000",D,D
                         60–75,"28,000","5,500",D,D,S,S,S,S,"28,000","5,500",D,D
               Computer/ mathematical scientists,"91,000","2,500","96,000","1,000","100,000","2,500","92,000","3,500","40,000","1,000","91,000","5,500"
                    < 30,"70,000","2,000","76,000","4,000","70,000","6,000","65,000","6,000","19,000","2,000","66,000","11,000"
                    30–39,"88,000","3,000","90,000","3,000","90,000","2,000","89,000","4,500","38,000","10,000","88,000","8,500"
                    40–49,"104,000","4,000","105,000","2,500","109,000","2,000","104,000","3,500","48,000","8,500","100,000","2,000"
                    50–59,"102,000","3,500","105,000","1,500","106,000","7,000","104,000","2,500","49,000","4,000","100,000","5,500"
                    60–75,"75,000","4,000","86,000","2,500","79,000","9,500","86,000","5,000","36,000","9,500","69,000","17,000"
                    Computer and information scientists,"96,000","2,000","96,000","1,500","101,000","2,500","97,000","3,500","66,000","9,500","96,000","4,000"
                         < 30,"77,000","2,500","79,000","3,000","75,000","4,000","76,000","4,500",D,D,"75,000","3,500"
                         30–39,"90,000","1,500","91,000","2,500","90,000","3,000","93,000","4,500","54,000","14,500","94,000","7,000"
                         40–49,"105,000","3,000","105,000","3,000","110,000","3,000","105,000","2,500","82,000","16,500","100,000","5,500"
                         50–59,"104,000","2,000","105,000","1,500","106,000","7,000","105,000","4,500",D,D,"104,000","5,000"
                         60–75,"85,000","5,000","86,000","3,000","79,000","5,000","88,000","4,000","63,000","19,000","74,000","8,500"
                    Mathematical scientists,"77,000","1,500","75,000","4,000","88,000","7,500","76,000","5,000","17,000","8,000","89,000","10,500"
                         < 30,"55,000","2,500","59,000","5,500","66,000","13,000","55,000","1,000",D,D,"46,000","20,000"
                         30–39,"77,000","4,000","69,000","13,000","94,000","6,500","77,000","1,000",D,D,"77,000","5,500"
                         40–49,"77,000","11,000","100,000","20,500","74,000","3,000","94,000","27,500",D,D,"75,000","3,000"
                         50–59,"98,000","12,500","111,000","34,000","132,000","39,000","89,000","6,500",D,D,"92,000","29,000"
                         60–75,S,S,*,*,S,S,S,S,D,D,D,D
                    Postsecondary teachers - computer/ math sciences,"36,000","3,000","31,000","8,500","44,000","5,000","22,000","5,000","37,000","2,500","38,000","2,500"
                         < 30,"19,000","2,000",*,*,S,S,"19,000","1,000","19,000","2,000",D,D
                         30–39,"25,000","8,500",D,D,"45,000","7,000","21,000","1,500","30,000","13,000",S,S
                         40–49,"46,000","3,000",D,D,"48,000","6,000",S,S,"46,000","2,500",S,S
                         50–59,"48,000","2,000",D,D,D,D,S,S,"48,000","2,500",D,D
                         60–75,S,S,D,D,D,D,"47,000","12,000",S,S,D,D
               Physical/ related scientists,"64,000","6,000","59,000","10,500","78,000","5,000","63,000","5,500","23,000","3,000","66,000","4,500"
                    < 30,"30,000","2,500","33,000","1,500","43,000","4,500","30,000","2,000","21,000","1,000","42,000","2,500"
                    30–39,"50,000","4,500","27,000","12,500","62,000","3,000","48,000","6,000","21,000","4,500","59,000","3,500"
                    40–49,"79,000","2,500","54,000","22,500","79,000","9,500","79,000","3,500","43,000","9,000","77,000","1,000"
                    50–59,"90,000","10,500",D,D,"97,000","8,500","87,000","10,000","33,000","10,500","70,000","13,000"
                    60–75,"91,000","9,500",D,D,"91,000","12,500","103,000","36,500",S,S,"89,000","15,000"
"                    Chemists, except biochemists","68,000","4,000",D,D,"75,000","7,500","67,000","6,000",D,D,"55,000","6,500"
                         < 30,"34,000","6,500",D,D,"66,000","25,500","30,000","5,000",D,D,"41,000","2,000"
                         30–39,"59,000","12,000",D,D,S,S,"58,000","15,500",D,D,"58,000","4,000"
                         40–49,"79,000","10,500",D,D,"80,000","14,000","80,000","11,500",D,D,"68,000","2,000"
                         50–59,"80,000","5,500",D,D,"95,000","12,000","79,000","2,000",D,D,"61,000","15,000"
                         60–75,"60,000","7,500",D,D,"53,000","21,000","85,000","12,500",D,D,"54,000","7,500"
                    Earth/ atmospheric/ ocean scientists,"80,000","6,000","60,000","27,000","91,000","7,500","80,000","3,500",D,D,"77,000","3,000"
                         < 30,"50,000","18,500","59,000","4,000","45,000","7,000","50,000","19,500",D,D,"66,000","14,500"
                         30–39,"62,000","3,000",*,*,"67,000","8,000","61,000","8,500",D,D,"62,000","1,500"
                         40–49,"77,000","15,000",*,*,"75,000","3,000","94,000","24,500",D,D,D,D
                         50–59,"100,000","11,500",S,S,"110,000","3,500","87,000","9,000",D,D,"100,000","25,500"
                         60–75,"132,000","3,500",D,D,"95,000","14,000","132,000","2,500",D,D,S,S
                    Physicists and astronomers,"33,000","5,500","32,000","3,500","102,000","9,500","31,000","3,000",S,S,"118,000","41,500"
                         < 30,"25,000","5,000","30,000","5,500",D,D,"25,000","4,500",S,S,*,*
                         30–39,S,S,*,*,D,D,"26,000","3,000",D,D,D,D
                         40–49,"98,000","20,500",D,D,D,D,D,D,D,D,D,D
                         50–59,D,D,D,D,D,D,S,S,D,D,D,D
                         60–75,*,*,D,D,D,D,*,*,D,D,D,D
                    Postsecondary teachers - physical/ related sciences,"22,000","2,500",D,D,"38,000","16,000","21,000","2,000","22,000","2,500",S,S
                         < 30,"21,000","1,000",D,D,S,S,"21,000","1,000","21,000","1,000",*,*
                         30–39,"21,000","4,000",D,D,S,S,"21,000","3,500","21,000","4,000",D,D
                         40–49,"43,000","9,000",D,D,D,D,S,S,"43,000","9,000",D,D
                         50–59,"29,000","6,000",D,D,D,D,D,D,D,D,D,D
                         60–75,S,S,D,D,D,D,D,D,S,S,D,D
                    Other physical/ related scientists,"72,000","9,000",*,*,"71,000","10,000","78,000","4,500",D,D,"59,000","20,500"
                         < 30,"36,000","5,500",D,D,S,S,"29,000","9,000",D,D,D,D
                         30–39,"56,000","3,500",D,D,"58,000","8,500","55,000","9,000",D,D,"54,000","2,000"
                         40–49,"79,000","3,000",D,D,"83,000","9,500","79,000","3,000",D,D,D,D
                         50–59,"81,000","36,000",D,D,S,S,D,D,D,D,S,S
                         60–75,S,S,D,D,D,D,D,D,D,D,S,S
"               Social science, psychology","48,000","3,000","51,000","7,000","60,000",500,"40,000","3,500","25,000",500,"57,000","3,500"
                    < 30,"28,000","6,500","24,000","5,000","54,000","10,500","24,000","3,500","18,000","2,000","54,000","5,500"
                    30–39,"50,000","6,500","42,000","11,500","60,000","4,000","44,000","8,000","21,000","3,000","60,000","3,000"
                    40–49,"59,000","4,500",S,S,"67,000","2,500","52,000","8,000",S,S,"61,000","3,000"
                    50–59,"51,000","7,500",*,*,"63,000","8,000","54,000","12,500",S,S,"53,000","7,500"
                    60–75,"37,000","13,000",D,D,"47,000","21,500","48,000","7,000","26,000","2,000","57,000","17,000"
                    Economists,"58,000","8,000","52,000","2,500","75,000","6,500","53,000","8,000",*,*,"62,000","17,500"
                         < 30,S,S,S,S,S,S,"26,000","13,500",D,D,S,S
                         30–39,"54,000","3,500",S,S,"53,000","15,000","52,000","6,000",D,D,"54,000","9,500"
                         40–49,"87,000","10,000",*,*,"82,000","26,000","93,000","22,000",D,D,"85,000","8,500"
                         50–59,"136,000","17,000",D,D,"145,000","9,000","146,000","7,000",D,D,"120,000","39,500"
                         60–75,"82,000","25,000",D,D,*,*,*,*,D,D,*,*
                    Political scientists,"88,000","33,000",D,D,S,S,"99,000","31,000",D,D,"131,000","23,000"
                         < 30,"46,000","13,000",D,D,*,*,"45,000","12,000",D,D,*,*
                         30–39,"128,000","34,500",D,D,"76,000","11,000","126,000","29,000",D,D,S,S
                         40–49,S,S,D,D,D,D,S,S,D,D,D,D
                         50–59,*,*,D,D,D,D,D,D,D,D,D,D
                         60–75,D,D,D,D,D,D,D,D,D,D,D,D
                    Postsecondary teachers - social/ related sciences,"21,000","4,000",*,*,"20,000","6,500","25,000","2,500","22,000","4,500",S,S
                         < 30,"17,000","2,500",D,D,"15,000","1,000","18,000","5,500","17,000","2,500","15,000","1,000"
                         30–39,"16,000","3,500",D,D,D,D,"20,000","4,000","15,000","4,500","45,000","12,500"
                         40–49,"24,000","2,500",D,D,D,D,"18,000","4,500","24,000","4,500",D,D
                         50–59,S,S,D,D,S,S,"41,000","5,000",S,S,D,D
                         60–75,"26,000","3,000",D,D,D,D,S,S,"26,000","3,000",S,S
                    Psychologists,"53,000","3,500",*,*,"58,000","2,000","35,000","4,500","50,000","5,000","55,000","2,000"
                         < 30,"45,000","12,000",D,D,"54,000","10,500","26,000","5,500","48,000","22,000","54,000","5,500"
                         30–39,"56,000","2,000",D,D,"57,000","3,500","47,000","9,000","50,000","4,500","56,000","1,000"
                         40–49,"59,000","6,500",D,D,"61,000","2,500",S,S,D,D,"59,000","7,500"
                         50–59,"49,000","3,500",D,D,"56,000","4,000","38,000","11,500","50,000","24,000","48,000","2,500"
                         60–75,"64,000","14,000",D,D,"74,000","19,000",S,S,D,D,"70,000","11,000"
                    Sociologists and anthropologists,"45,000","6,500",S,S,"53,000","7,000","47,000","10,000",*,*,"41,000","3,000"
                         < 30,S,S,D,D,S,S,*,*,D,D,D,D
                         30–39,"23,000","1,500",S,S,"36,000","12,000","23,000","1,000",D,D,*,*
                         40–49,"55,000","11,000",D,D,"56,000","11,000","62,000","12,500",D,D,*,*
                         50–59,S,S,D,D,D,D,S,S,D,D,D,D
                         60–75,*,*,D,D,*,*,*,*,D,D,D,D
                    Other social and related scientists,"61,000","5,000",S,S,"68,000","4,000","54,000","9,500",S,S,"85,000","11,500"
                         < 30,"20,000","8,000",D,D,"44,000","3,500","20,000","2,500",D,D,"51,000","10,000"
                         30–39,"65,000","20,000",D,D,"95,000","19,500","59,000","17,000",D,D,"95,000","12,000"
                         40–49,"68,000","3,000",D,D,"68,000","2,500","81,000","21,500",D,D,"69,000","3,500"
                         50–59,"89,000","4,000",D,D,S,S,"110,000","10,500",D,D,"90,000","8,000"
                         60–75,S,S,D,D,D,D,"58,000","12,500",D,D,S,S
          Engineering occupations,"96,000","1,500","95,000","2,000","100,000",500,"94,000","2,000","48,000","16,000","89,000","1,500"
               < 30,"66,000","2,000","75,000","1,500","71,000","4,000","65,000",500,"20,000","1,500","67,000","4,000"
               30–39,"89,000","2,000","90,000","4,500","94,000","2,500","87,000","2,500","24,000","9,000","79,000","2,000"
               40–49,"102,000","3,000","101,000","1,500","103,000","3,000","101,000","4,000",S,S,"97,000","3,500"
               50–59,"110,000","3,500","129,000","4,500","115,000","4,000","114,000","4,000","70,000","8,000","98,000","2,500"
               60–75,"104,000","1,500","110,000","15,500","104,000","4,000","110,000","6,500","68,000","10,500","79,000","6,500"
               Aeronautical/ aerospace/ astronautical engineers,"112,000","2,000","99,000","14,000","116,000","3,500","112,000","2,500",D,D,"116,000","4,000"
                    < 30,"81,000","3,500","81,000","1,500",*,*,"80,000","2,500",*,*,*,*
                    30–39,"100,000","2,500","91,000","25,000","101,000","3,000","100,000","1,500",D,D,"89,000","21,500"
                    40–49,"114,000","5,000",S,S,"114,000","2,500","127,000","12,500",D,D,S,S
                    50–59,"127,000","9,000",S,S,"124,000","6,500","126,000","6,000",D,D,"140,000","34,500"
                    60–75,"124,000","26,000",D,D,"129,000","22,500","93,000","39,500",D,D,D,D
               Chemical engineers,"92,000","5,500",S,S,"99,000","2,000","95,000","6,500",D,D,"89,000","4,500"
                    < 30,S,S,D,D,"71,000","7,500",S,S,D,D,*,*
                    30–39,"82,000","8,000",D,D,"71,000","19,000","81,000","16,000",D,D,"63,000","22,500"
                    40–49,"103,000","12,000",D,D,"110,000","9,000","111,000","12,000",D,D,"87,000","17,000"
                    50–59,"109,000","8,500",D,D,"103,000","8,000","100,000","15,000",D,D,"109,000","7,500"
                    60–75,"88,000","8,000",D,D,*,*,"96,000","12,000",D,D,S,S
"               Civil, including architectural/ sanitary engineers","85,000","3,000","72,000","18,500","91,000","4,000","79,000","2,500",D,D,"76,000","5,000"
                    < 30,"63,000","3,500",S,S,"66,000","5,000","64,000","3,000",D,D,"60,000","3,000"
                    30–39,"74,000","2,500","90,000","26,500","79,000","1,000","73,000","3,500",D,D,"69,000","7,500"
                    40–49,"95,000","4,000",S,S,"97,000","3,000","92,000","5,500",D,D,"99,000","5,000"
                    50–59,"99,000","5,000",D,D,"107,000","16,500","99,000","5,000",D,D,"89,000","6,000"
                    60–75,"99,000","11,000",D,D,"111,000","7,500","104,000","7,000",D,D,"72,000","4,500"
               Electrical/ computer hardware engineers,"104,000","1,000","103,000","5,000","109,000","5,500","104,000","2,500",S,S,"96,000","2,500"
                    < 30,"75,000","6,000","81,000","10,000","85,000","1,000","76,000","6,500",D,D,"74,000","2,000"
                    30–39,"94,000","5,500","90,000","4,000","103,000","5,000","95,000","6,500",D,D,"80,000","10,000"
                    40–49,"115,000","5,500","107,000","7,000","118,000","3,000","114,000","5,500",D,D,"97,000","4,500"
                    50–59,"119,000","4,000","129,000","2,500","120,000","2,500","120,000","3,500",D,D,"104,000","6,000"
                    60–75,"115,000","15,000","122,000","18,000","104,000","23,000","119,000","10,000",D,D,"102,000","21,500"
               Industrial engineers,"89,000","8,500","100,000","8,500","89,000","8,000","70,000","8,500",D,D,"107,000","19,000"
                    < 30,"65,000","5,000",*,*,"69,000","2,000","65,000","2,000",D,D,"61,000","3,000"
                    30–39,"88,000","22,500",D,D,"95,000","24,500",S,S,D,D,"109,000","2,000"
                    40–49,"95,000","11,500",S,S,"90,000","13,500","77,000","5,500",D,D,S,S
                    50–59,"110,000","19,000",D,D,"100,000","36,000",D,D,D,D,D,D
                    60–75,D,D,D,D,D,D,S,S,D,D,D,D
               Mechanical engineers,"92,000","3,000","80,000","10,000","97,000","4,000","94,000","4,000",S,S,"85,000","8,500"
                    < 30,"68,000","5,000",S,S,"67,000","4,500","69,000","5,000",D,D,"65,000","10,000"
                    30–39,"87,000","2,000","70,000","13,500","90,000","3,500","87,000","2,500",D,D,"85,000","1,500"
                    40–49,"101,000","5,000","85,000","2,000","105,000","5,000","104,000","6,500",D,D,"92,000","9,000"
                    50–59,"110,000","8,000",*,*,"120,000","11,500","118,000","7,000",D,D,"87,000","10,000"
                    60–75,"116,000","4,500",D,D,"131,000","36,000","116,000","4,000",D,D,"87,000","27,000"
               Postsecondary teachers - engineering,"26,000","6,500",D,D,"72,000","13,500","22,000","5,500","26,000","11,000",D,D
                    < 30,"20,000","2,000",D,D,D,D,"19,000","6,500","20,000","2,000",D,D
                    30–39,"20,000","4,000",D,D,*,*,"19,000","2,000","23,000","5,000",D,D
                    40–49,S,S,D,D,D,D,D,D,S,S,D,D
                    50–59,"68,000","10,500",D,D,D,D,S,S,"68,000","10,500",D,D
                    60–75,S,S,D,D,D,D,D,D,S,S,D,D
               Other engineers,"94,000","3,000","95,000","10,500","99,000","1,500","88,000","4,000","95,000","39,500","81,000","12,000"
                    < 30,"60,000","2,000","57,000","11,000","70,000","2,500","57,000","7,000",D,D,"69,000","7,000"
                    30–39,"93,000","5,000","92,000","23,500","99,000","3,000","93,000","7,000",S,S,"73,000","3,500"
                    40–49,"99,000","5,500","112,000","23,000","99,000","4,500","86,000","10,000",D,D,"99,000","13,000"
                    50–59,"109,000","7,000",D,D,"109,000","10,000","114,000","9,500",D,D,"95,000","6,000"
                    60–75,"101,000","4,500",D,D,"101,000","6,000","104,000","9,000",D,D,"64,000","7,500"
     S&E-related occupations,"68,000","2,000","90,000","2,000","79,000","2,500","66,000","4,000","58,000","1,500","68,000","2,500"
          < 30,"52,000","1,500","59,000","8,000","51,000","1,500","52,000","3,500","43,000","3,000","55,000","2,000"
          30–39,"60,000","3,000","75,000","12,500","66,000","4,500","60,000","1,500","52,000","3,000","65,000","3,000"
          40–49,"74,000","2,500","99,000","5,500","85,000","2,000","76,000","4,500","62,000","2,000","72,000","3,000"
          50–59,"77,000","4,500","89,000","6,000","90,000","2,000","73,000","7,000","66,000","5,000","74,000","2,500"
          60–75,"66,000","4,000","106,000","4,500","80,000","3,500","70,000","14,000","54,000","3,500","64,000","5,000"
          Health and related,"65,000","1,500","89,000","23,500","70,000","1,000","64,000","5,500","62,000","2,500","66,000","2,000"
               < 30,"55,000","2,000","47,000","2,000","51,000","1,500","55,000","2,000","54,000","4,000","55,000","3,000"
               30–39,"62,000","3,500","70,000","15,500","67,000","4,000","66,000","11,000","59,000","3,500","65,000","4,500"
               40–49,"69,000","1,500",D,D,"77,000","3,000","82,000","4,500","64,000","2,000","68,000","3,000"
               50–59,"72,000","2,500",D,D,"74,000","5,000","63,000","6,500","74,000","2,000","71,000","2,500"
               60–75,"62,000","4,000",D,D,"61,000","6,500","42,000","10,000","56,000","7,000","65,000","3,000"
          S&E manager,"110,000","3,000","120,000","3,500","110,000","3,000","104,000","6,500","72,000","9,000","97,000","7,500"
               < 30,"74,000","5,000",D,D,"74,000","5,000","76,000","8,000",D,D,"65,000","10,000"
               30–39,"90,000","4,000","89,000","25,000","90,000","4,000","91,000","8,000",S,S,"85,000","17,000"
               40–49,"113,000","6,500","122,000","5,000","113,000","6,500","110,000","9,500",D,D,"95,000","10,500"
               50–59,"127,000","5,000","148,000","10,000","127,000","5,000","115,000","23,000",D,D,"125,000","1,500"
               60–75,"111,000","5,000",D,D,"111,000","5,000","115,000","20,000",D,D,"87,000","12,000"
          S&E precollege teacher,"55,000","1,500","48,000","12,000","58,000","4,000","48,000","1,000","55,000","1,500","59,000","3,000"
               < 30,"41,000","2,500",D,D,"40,000","2,000","37,000","2,000","41,000","2,000","42,000",500
               30–39,"50,000","1,500",S,S,"51,000","5,000","47,000",500,"50,000","2,000","64,000","6,000"
               40–49,"62,000","2,500",S,S,"64,000","4,500","48,000","2,500","62,000","2,500","60,000","2,500"
               50–59,"58,000","4,500",S,S,"58,000","7,000","50,000","10,000","58,000","4,500","75,000","6,000"
               60–75,"54,000","4,500",D,D,"59,000","1,500","37,000","11,000","54,000","4,500","54,000","1,500"
          S&E technician/ technologist,"80,000","3,000","85,000","7,500","90,000","3,500","80,000","6,500","71,000","1,000","70,000","2,000"
               < 30,"56,000","6,000","60,000","9,500","59,000","8,000","60,000","6,500",*,*,"45,000","10,000"
               30–39,"70,000","2,000","81,000","19,000","72,000","14,000","67,000","5,000",S,S,"70,000","1,000"
               40–49,"84,000","5,500","84,000","9,000","99,000",500,"97,000","14,000",D,D,"82,000","4,500"
               50–59,"83,000","7,500","92,000","15,000","86,000","8,000","99,000","8,000",D,D,"59,000","4,500"
               60–75,"85,000","12,000","107,000","3,500","88,000","13,500","100,000","9,500",D,D,S,S
          Other S&E-related,"72,000","7,000",S,S,"76,000","3,000","70,000","9,000",D,D,"75,000","8,500"
               < 30,"53,000","1,500",*,*,"52,000","1,500","52,000","2,500",D,D,"51,000","10,000"
               30–39,"63,000","4,500",D,D,"63,000","4,000","57,000","9,500",D,D,"63,000","6,500"
               40–49,"76,000","5,000",S,S,"81,000","9,000","76,000","6,500",D,D,"59,000","17,500"
               50–59,"87,000","14,500",D,D,"79,000","18,500","74,000","25,000",D,D,"89,000","24,500"
               60–75,"99,000",500,D,D,"99,000",500,D,D,D,D,"96,000","18,000"
     Non-S&E occupations,"60,000","1,000","64,000","12,000","72,000","1,500","64,000","3,500","48,000","2,000","52,000","2,000"
          < 30,"42,000","2,000","55,000","11,500","44,000","2,000","52,000","2,500","39,000","2,500","39,000","1,500"
          30–39,"60,000","3,000","45,000","11,000","69,000","2,500","66,000","6,000","45,000","1,500","52,000","4,000"
          40–49,"70,000","3,000","121,000","8,000","82,000","4,500","65,000","9,500","50,000",500,"62,000","3,000"
          50–59,"70,000","3,000",S,S,"84,000","6,500","83,000","10,000","55,000","4,000","58,000","5,500"
          60–75,"50,000","1,500","46,000","5,500","65,000","6,000","70,000","14,500","37,000","7,000","45,000","5,500"
          Arts/ humanities/ related,"37,000","4,500",S,S,"49,000","7,500","35,000","12,500",S,S,"36,000","14,000"
               < 30,"34,000","3,000",S,S,"35,000","3,500",S,S,D,D,"26,000","7,500"
               30–39,"50,000","7,000",D,D,"48,000","3,000",S,S,S,S,"64,000","20,000"
               40–49,S,S,D,D,"36,000","12,500",S,S,D,D,S,S
               50–59,S,S,D,D,"109,000","13,500",S,S,D,D,"12,000","3,500"
               60–75,"31,000","11,500",D,D,S,S,S,S,S,S,"35,000","4,000"
          Management-related,"85,000","2,000","79,000","17,000","85,000","2,500","89,000","4,000","63,000","6,500","82,000","7,000"
               < 30,"55,000","2,500","62,000","12,500","52,000","4,500","65,000","5,000",D,D,"64,000","11,000"
               30–39,"85,000","2,500","64,000","23,500","85,000","2,000","85,000","5,500","56,000","8,000","82,000","5,500"
               40–49,"92,000","5,000","94,000","24,500","92,000","3,500","98,000","7,000","88,000","43,000","116,000","11,000"
               50–59,"98,000","13,500","89,000","34,500","98,000","13,000","100,000","11,000",D,D,"79,000","19,500"
               60–75,"75,000","9,500",D,D,"82,000","10,000","98,000","44,500",D,D,"53,000","8,500"
          Non-S&E manager,"113,000","3,500","141,000","16,500","113,000","3,500","114,000","8,000","77,000","9,000","99,000","7,500"
               < 30,"82,000","7,000",D,D,"82,000","7,000","85,000","13,500",D,D,"68,000","9,000"
               30–39,"91,000","5,500","135,000","55,500","90,000","7,000","89,000","12,500","73,000","1,500","78,000","4,500"
               40–49,"124,000","5,000","138,000","13,500","124,000","6,000","126,000","26,000",D,D,"100,000","9,500"
               50–59,"125,000","11,500","142,000","7,000","124,000","11,000","118,000","16,500","97,000","5,000","105,000","21,500"
               60–75,"102,000","12,000","124,000","6,500","101,000","10,500","149,000","24,000",D,D,"107,000","32,000"
          Non-S&E postsecondary teacher,"26,000","4,000",D,D,"37,000","8,000","25,000","4,500","26,000","4,000","25,000","11,500"
               < 30,"21,000","5,000",D,D,"28,000","11,500","23,000","6,000","21,000","5,000",*,*
               30–39,"24,000","2,500",D,D,S,S,"23,000","7,500","24,000","2,500","20,000","5,500"
               40–49,S,S,D,D,S,S,"54,000","14,500",S,S,S,S
               50–59,"48,000","14,000",D,D,"64,000","19,000","19,000","7,500","48,000","14,000","48,000","7,000"
               60–75,"24,000","2,000",D,D,S,S,S,S,"25,000","3,000","42,000","19,500"
          Non-S&E precollege/ other teacher,"50,000","1,000",S,S,"51,000","2,000","50,000","1,000","50,000","1,000","51,000","2,500"
               < 30,"44,000","3,500",D,D,"32,000","13,000","50,000","4,000","44,000","3,500","39,000","7,000"
               30–39,"50,000","1,500",D,D,"47,000","6,000","56,000","3,000","50,000","1,500","53,000","8,500"
               40–49,"49,000","1,000",D,D,"49,000","3,000","46,000","4,000","49,000","1,000","60,000","4,500"
