"Table 12-1. Median annual salary of employed U.S. scientists and engineers at all degree levels, by broad field of highest degree, employment sector, and primary or secondary work activity: 2013",,,,,,,,,,,,
,,,,,,,,,,,,
Field of highest degree and employment sector             ,,,Primary or secondary work activity,,,,,,,,,
,Employed scientists and engineers,,Computer applications,,"Management, sales, administration",,Research and development,,Teaching,,Other,
                         Government,"60,000","2,500","66,000","3,000","67,000","5,500","60,000","2,500","49,000","4,000","53,000","4,500"
                    Environmental life sciences,"58,000","4,500","54,000","21,500","60,000","4,000","63,000","5,500","49,000","1,500","58,000","6,000"
                         Business/ industry,"51,000","4,500","68,000","13,500","51,000","5,000","76,000","12,000","59,000","11,000","44,000","8,000"
                         4-year college/ university,"30,000","8,000","43,000","1,500",S,S,S,S,S,S,S,S
                         Other educational institution,"49,000","8,000",D,D,"51,000","19,000",S,S,"60,000","12,000",D,D
                         Government,"69,000","8,000",S,S,"76,000","4,500","64,000","5,500","49,000",500,"65,000","8,000"
               Computer/ mathematical sciences,"80,000",500,"90,000",500,"80,000",500,"83,000","2,500","45,000","2,500","70,000","5,500"
                    Business/ industry,"85,000","2,000","95,000","1,500","86,000","4,000","89,000","3,000","48,000","3,000","72,000","4,000"
                    4-year college/ university,"50,000","2,000","59,000","3,500","57,000","6,500","52,000","4,000","47,000","9,500","54,000","4,500"
                    Other educational institution,"46,000","2,000","55,000","12,000","49,000","3,000","46,000","1,500","45,000","3,000","74,000","17,000"
                    Government,"80,000","7,000","80,000","4,000","86,000","9,500","82,000","7,000","50,000","6,000","59,000","6,500"
                    Computer/ information sciences,"85,000","2,000","90,000",500,"89,000","2,500","85,000","1,500","50,000","3,000","75,000","3,000"
                         Business/ industry,"90,000","2,000","94,000","2,500","92,000","3,500","88,000","3,000","58,000","4,500","75,000","3,500"
                         4-year college/ university,"54,000","2,500","61,000","4,000","58,000","6,500","55,000","4,000","58,000","9,500","55,000","5,000"
                         Other educational institution,"45,000","6,500","52,000","9,500","55,000","11,000","51,000","10,000","34,000","2,000","67,000","22,000"
                         Government,"76,000","4,500","78,000","4,500","82,000","10,000","79,000","6,000","46,000","9,000","71,000","20,500"
                    Mathematics/ statistics,"60,000","3,500","94,000","2,000","63,000","3,500","75,000","3,500","43,000","4,000","60,000","6,500"
                         Business/ industry,"75,000","5,500","95,000","6,500","65,000","2,500","95,000","5,000",S,S,"60,000","6,000"
                         4-year college/ university,"38,000","4,500","42,000","12,500","52,000","18,500","41,000","8,000","35,000","5,500","37,000","16,000"
                         Other educational institution,"46,000","1,500","36,000","15,000","47,000","5,500","44,000","4,000","46,000","2,500","75,000","21,500"
                         Government,"85,000","12,000","89,000","8,500","96,000","19,500","93,000","5,000",D,D,"51,000","14,500"
               Physical sciences,"66,000","3,000","80,000","8,500","75,000","5,500","75,000","1,000","51,000","3,000","55,000","4,000"
                    Business/ industry,"75,000","2,000","94,000","8,000","80,000","6,500","85,000","4,000","62,000","8,000","55,000","7,000"
                    4-year college/ university,"46,000","3,500","40,000","5,500","89,000","9,500","45,000","3,000","60,000","6,000","33,000","5,000"
                    Other educational institution,"42,000","5,500","47,000","6,500","45,000","11,000","56,000","8,500","42,000","6,500","36,000",500
                    Government,"70,000","6,500","60,000","9,500","75,000","8,000","75,000","9,500","51,000","14,500","62,000","6,000"
"                    Chemistry, except biochemistry","65,000","3,500","80,000","11,000","80,000","4,000","73,000","4,000","55,000","5,000","56,000","4,000"
                         Business/ industry,"75,000","4,500","92,000","15,000","89,000","9,000","83,000","3,500","61,000","2,000","60,000","6,500"
                         4-year college/ university,"39,000","5,000","47,000","13,500","66,000","5,500","31,000","4,500","57,000","2,000","31,000","3,500"
                         Other educational institution,"46,000","7,500",D,D,"62,000","10,000","60,000","4,000","46,000","7,500","45,000","12,000"
                         Government,"69,000","3,000","49,000","1,000","81,000","6,000","83,000","3,000",*,*,"55,000","4,000"
                    Earth/ atmospheric/ ocean sciences,"62,000","4,000","59,000","14,000","69,000","6,500","70,000","4,000","39,000","16,500","55,000","7,000"
                         Business/ industry,"70,000","7,500",S,S,"75,000","5,500","80,000","1,500","55,000","19,000","60,000","8,500"
                         4-year college/ university,"70,000","11,000","43,000","2,500","129,000","19,500","71,000","14,000","71,000","8,000",S,S
                         Other educational institution,"37,000","1,000",D,D,"38,000","8,500","48,000","1,500","37,000","1,000","35,000",500
                         Government,"62,000","6,500","59,000","10,500","61,000","9,500","59,000","7,000",D,D,"63,000","5,500"
                    Physics/ astronomy,"76,000","5,000","94,000","6,500","92,000","9,000","85,000","6,000","54,000","7,000","61,000","16,000"
                         Business/ industry,"95,000","6,500","100,000","8,000","97,000","5,500","100,000","6,500","87,000","25,000","79,000","21,000"
                         4-year college/ university,"49,000","5,500","34,000","4,000","88,000","10,000","54,000","8,000","59,000","11,500","36,000","9,500"
                         Other educational institution,"48,000","7,500",S,S,"50,000","11,000","50,000","3,000","49,000","5,500","30,000","3,500"
                         Government,"97,000","8,500","111,000","22,500","96,000","11,500","108,000","1,500",*,*,"89,000","11,000"
                    Other physical sciences,"50,000","4,500",S,S,"50,000","11,000",S,S,"76,000","28,500",S,S
                         Business/ industry,"43,000","15,000",S,S,"50,000","3,500","26,000","2,000",S,S,"29,000",500
                         4-year college/ university,"60,000","9,500",D,D,*,*,"53,000","13,500",*,*,D,D
                         Other educational institution,S,S,D,D,S,S,D,D,S,S,D,D
                         Government,"140,000","67,500",D,D,"83,000","6,500","84,000","2,500",D,D,S,S
               Social sciences,"48,000","2,000","65,000","3,000","52,000","1,000","50,000","1,000","36,000","3,000","43,000","2,000"
                    Business/ industry,"50,000","2,000","68,000","5,500","52,000","1,500","51,000","2,500","30,000","2,000","40,000","2,500"
                    4-year college/ university,"42,000","2,000","26,000","8,000","45,000","1,500","45,000","3,000","51,000","2,000","38,000","6,000"
                    Other educational institution,"39,000","2,500","56,000","12,500","41,000","3,000","39,000","2,000","35,000","2,000","48,000",500
                    Government,"55,000","2,000","68,000","5,500","58,000","4,000","61,000","3,500","50,000","1,000","51,000","2,500"
                    Economics,"64,000","2,000","90,000","6,000","67,000","5,000","72,000","6,000","50,000","6,500","58,000","7,500"
                         Business/ industry,"65,000","4,000","93,000","8,500","70,000","3,000","68,000","8,000","50,000","17,500","59,000","5,000"
                         4-year college/ university,"47,000","11,500",S,S,"44,000","1,500","80,000","10,000","74,000","7,500",S,S
                         Other educational institution,"38,000","9,000",D,D,"50,000","7,000","24,000","2,000","36,000","7,000",S,S
                         Government,"61,000","8,000","62,000","19,500","64,000","2,000","87,000","4,000",S,S,"50,000","13,500"
                    Political/ related sciences,"55,000","2,500","52,000","9,500","59,000","1,000","53,000","3,500","42,000","1,500","50,000","3,000"
                         Business/ industry,"55,000","1,500","57,000","14,500","59,000","2,500","52,000","6,000","44,000","8,500","50,000","2,000"
                         4-year college/ university,"38,000","5,500",S,S,"37,000","5,500","42,000","2,000","55,000","6,500","32,000","2,500"
                         Other educational institution,"35,000","4,500",D,D,"32,000","8,000","53,000","16,000","39,000","3,500","34,000","1,500"
                         Government,"63,000","4,000","45,000","6,500","70,000","3,000","59,000","5,500","38,000","9,500","62,000","12,000"
                    Psychology,"42,000","2,000","51,000","13,500","47,000","2,500","45,000","2,000","34,000","2,000","41,000","2,000"
                         Business/ industry,"40,000","2,000","51,000","14,500","45,000","2,000","42,000","5,500","30,000","3,500","37,000","2,000"
                         4-year college/ university,"41,000","3,500","42,000","2,500","48,000","5,500","45,000","2,500","51,000","1,500","39,000","1,000"
                         Other educational institution,"40,000","1,500",S,S,"49,000","4,000","39,000","4,000","34,000","1,500","52,000","3,500"
                         Government,"50,000",500,"60,000","21,500","50,000","2,000","48,000","5,500","49,000","4,500","51,000","3,000"
                    Sociology/ anthropology,"45,000","1,500","57,000","12,000","47,000","3,000","46,000","5,500","39,000","5,500","40,000","1,500"
                         Business/ industry,"42,000","3,500","54,000","2,000","45,000","3,000","49,000","7,500","25,000","10,000","38,000","2,500"
                         4-year college/ university,"42,000","5,500",S,S,"42,000","8,000","44,000","8,000","55,000","5,000","45,000","10,000"
                         Other educational institution,"36,000","7,000",D,D,"29,000","9,000","33,000","6,000","39,000","15,000","48,000","2,000"
                         Government,"53,000","3,500","75,000","3,500","55,000","6,500","64,000","14,000","63,000","8,500","45,000","3,000"
                    Other social sciences,"44,000","3,500","58,000","8,000","48,000","4,500","46,000","8,500","30,000","2,000","41,000","4,000"
                         Business/ industry,"41,000","4,500","59,000","13,000","43,000","5,500","45,000","9,000","15,000","4,500","40,000","9,000"
                         4-year college/ university,"34,000","5,500",S,S,"55,000","9,000","28,000","7,500","27,000","10,500","31,000","5,000"
                         Other educational institution,"31,000","2,000",S,S,"35,000","8,500","40,000","18,000","31,000","1,500","30,000","7,500"
                         Government,"65,000","4,500","60,000","10,500","60,000","11,500","66,000","16,000","64,000","6,000","64,000","7,000"
          Engineering,"90,000","1,500","90,000","2,500","94,000","2,500","90,000",500,"68,000","3,000","80,000","2,000"
               Business/ industry,"91,000","2,000","94,000","3,000","95,000","1,000","94,000","2,000","89,000","1,000","80,000","1,000"
               4-year college/ university,"42,000","5,500","48,000","9,500","79,000","7,500","33,000","3,000","64,000","8,000","53,000","10,000"
               Other educational institution,"43,000","4,500","57,000","1,500","56,000","5,000","43,000","19,500","43,000","3,500","36,000","10,500"
               Government,"89,000","1,500","82,000","6,000","92,000","3,500","89,000","1,000","89,000","1,000","82,000","1,500"
               Aerospace/ related engineering,"89,000","8,500","85,000","11,500","89,000","13,500","100,000","5,000","100,000","3,500","65,000","1,500"
                    Business/ industry,"92,000","9,500","92,000","11,500","79,000","19,000","109,000","3,000","94,000","10,000","80,000","26,500"
                    4-year college/ university,"34,000","10,500",S,S,"74,000","23,500","28,000","8,500","72,000","14,500",*,*
                    Other educational institution,S,S,D,D,S,S,*,*,S,S,D,D
                    Government,"75,000","25,500",S,S,"93,000","9,000","75,000","18,000",S,S,"54,000",500
               Chemical engineering,"93,000","4,000","96,000","9,000","100,000","3,000","93,000","4,500",S,S,"90,000","6,000"
                    Business/ industry,"100,000","1,000","99,000","4,500","103,000","4,000","99,000","1,000","111,000","11,500","95,000","8,000"
                    4-year college/ university,"29,000","2,000","24,000","4,000","57,000","23,500","29,000","2,500","77,000","19,500",S,S
                    Other educational institution,"34,000","5,500",D,D,S,S,D,D,"34,000","5,500",D,D
                    Government,"72,000","11,000","78,000","14,000","59,000","10,500","80,000","17,500",D,D,"69,000","21,500"
               Civil/ architectural engineering,"80,000","2,000","74,000","9,000","85,000","1,500","77,000","3,000","69,000","20,000","72,000","5,000"
                    Business/ industry,"79,000","3,500","89,000","12,000","83,000","3,500","74,000","1,000","86,000","16,000","70,000","2,500"
                    4-year college/ university,"31,000","12,500",S,S,"78,000","31,000","30,000","2,500","25,000","8,000",S,S
                    Other educational institution,"42,000","11,000",D,D,D,D,S,S,"43,000","8,500",D,D
                    Government,"87,000","2,500","73,000","8,000","89,000","2,000","85,000",500,S,S,"84,000","4,500"
               Electrical/ computer engineering,"95,000","1,500","95,000","2,500","100,000",500,"100,000","1,500","75,000","19,500","80,000","3,000"
                    Business/ industry,"99,000","2,500","96,000","2,500","100,000","1,000","100,000","1,000","89,000","8,500","81,000","5,500"
                    4-year college/ university,"71,000","8,000","73,000","7,500","85,000","1,000","59,000","17,000","83,000","6,500",S,S
                    Other educational institution,"35,000","17,500",D,D,"56,000","2,000",S,S,S,S,"52,000","3,000"
                    Government,"90,000","3,000","81,000","3,500","103,000","6,500","91,000","5,000",D,D,"82,000","6,500"
               Industrial engineering,"79,000","2,000","85,000","6,000","81,000","4,000","79,000","3,000","66,000","11,500","72,000","6,000"
                    Business/ industry,"83,000","4,000","85,000","9,500","85,000","3,000","81,000","5,000","99,000","9,000","72,000","6,000"
                    4-year college/ university,"38,000","14,000",*,*,S,S,"37,000","10,500","68,000","28,500",*,*
                    Other educational institution,"57,000","5,000",D,D,S,S,S,S,"57,000","5,000",D,D
                    Government,"78,000","5,500",S,S,"78,000","9,500","97,000","10,500",D,D,"64,000","26,500"
               Mechanical engineering,"87,000","3,000","80,000",500,"93,000","3,500","89,000","1,500","70,000","9,000","80,000","1,500"
                    Business/ industry,"89,000","2,500","80,000","1,000","94,000","3,500","90,000",500,"74,000","11,000","80,000","2,500"
                    4-year college/ university,"33,000","11,000","28,000","14,000","73,000","5,000","29,000","5,000","33,000","12,000",S,S
                    Other educational institution,"35,000","12,000",D,D,S,S,S,S,S,S,S,S
                    Government,"90,000","5,000",S,S,"90,000","3,000","90,000","5,500",D,D,"99,000","6,000"
               Other engineering,"89,000","3,500","85,000","9,000","100,000","2,500","84,000","2,000","57,000","19,000","85,000","5,000"
                    Business/ industry,"94,000","4,000","86,000","7,500","100,000",500,"90,000","5,000","94,000","3,000","90,000","7,500"
                    4-year college/ university,"33,000","6,000","29,000","13,000","87,000","16,500","30,000","3,000","74,000","10,000","60,000","1,500"
                    Other educational institution,S,S,D,D,"50,000","2,500",S,S,"43,000","10,000",S,S
                    Government,"90,000","5,500","87,000","4,000","96,000","6,500","90,000","5,500",S,S,"81,000","4,000"
     S&E-related field,"65,000","1,500","70,000","7,500","72,000","2,000","64,000","3,000","59,000","2,500","70,000","1,500"
          Business/ industry,"70,000",500,"75,000","7,000","76,000","2,500","70,000","5,000","62,000","2,000","70,000","2,500"
          4-year college/ university,"62,000","2,500","54,000","6,500","65,000","6,000","59,000","3,500","72,000","3,000","64,000","4,500"
          Other educational institution,"50,000",500,"49,000","9,000","50,000",500,"48,000","1,500","50,000",500,"52,000","2,000"
          Government,"70,000","2,000","67,000","2,500","72,000","4,500","61,000","6,000","79,000","4,000","69,000","2,500"
          Health,"70,000","1,000","59,000","9,500","75,000","1,000","64,000","3,000","62,000","1,000","70,000","1,000"
               Business/ industry,"72,000","1,500","60,000","12,000","80,000",500,"66,000","6,500","63,000","2,500","74,000","1,500"
               4-year college/ university,"64,000","3,500","55,000","9,500","65,000","7,500","59,000","2,000","78,000","4,500","65,000","6,500"
               Other educational institution,"50,000","1,000","46,000","19,000","52,000","3,500","50,000","1,000","50,000","1,000","51,000","1,500"
               Government,"70,000","2,500","67,000","11,500","68,000","5,000","59,000","1,500","79,000","4,500","69,000","3,500"
          Science/ mathematics teacher education,"48,000","3,000","60,000","10,500","50,000","1,000","45,000","3,500","49,000","2,500","35,000","1,000"
               Business/ industry,"36,000","2,500","79,000","20,500","40,000","3,500","51,000","22,000","40,000","1,000","12,000","3,000"
               4-year college/ university,"45,000","10,500",D,D,"63,000","5,000",S,S,"49,000","5,500","37,000","4,000"
               Other educational institution,"50,000",500,"53,000","15,500","50,000",500,"45,000","3,000","50,000","2,000","55,000","5,000"
               Government,S,S,D,D,"56,000","17,500",S,S,S,S,S,S
          Technology/ technical fields,"73,000","4,500","82,000","6,500","80,000","3,500","88,000","5,000","57,000","6,000","62,000","7,000"
               Business/ industry,"75,000","4,000","85,000","5,000","80,000","1,500","89,000","2,000","84,000","20,000","61,000","5,500"
               4-year college/ university,"55,000","15,500","45,000","16,500","49,000","21,000","42,000","14,000",S,S,D,D
               Other educational institution,S,S,D,D,S,S,"51,000","13,500",S,S,D,D
               Government,"73,000","11,500",D,D,"78,000","4,500","84,000","15,000",D,D,"68,000","9,500"
          Other S&E-related fields,"60,000","3,500","67,000","11,500","69,000","4,500","60,000","3,000","46,000","20,000","60,000","1,000"
               Business/ industry,"60,000","2,000","64,000","16,000","65,000","4,000","60,000","2,500",S,S,"58,000","3,500"
               4-year college/ university,"36,000","10,500",D,D,"67,000","25,000",S,S,"24,000",500,D,D
               Other educational institution,"60,000","7,000",D,D,D,D,S,S,"60,000","3,500",D,D
               Government,"81,000","8,000",S,S,"89,000","4,500","90,000","31,000",D,D,"71,000","10,000"
     Non-S&E field,"65,000",500,"80,000","2,000","75,000","1,000","68,000","2,500","50,000",500,"62,000","1,500"
          Business/ industry,"77,000","2,500","84,000","2,000","90,000","1,500","80,000","3,000","47,000","4,500","65,000","1,500"
          4-year college/ university,"52,000","2,500","71,000","4,500","57,000","4,500","52,000","3,000","52,000","3,000","48,000","3,000"
          Other educational institution,"50,000",500,"56,000","14,500","52,000","2,000","49,000","3,000","50,000","1,000","52,000","2,000"
          Government,"70,000","2,500","60,000","8,500","74,000","2,500","68,000","5,000","45,000","8,500","68,000","3,000"
          Art/ humanities fields,"50,000","2,000","65,000","6,500","50,000","2,000","61,000","3,500","50,000","6,000","40,000","3,000"
               Business/ industry,"52,000","4,500","65,000","6,000","52,000","4,500","64,000","4,000","48,000","6,000","35,000","5,500"
               4-year college/ university,"50,000","5,500","66,000","19,500","62,000","7,000","58,000","6,500","52,000","10,000","37,000","10,500"
               Other educational institution,"47,000","5,000",D,D,"44,000","10,500","56,000","4,500","47,000","5,000","58,000","18,500"
               Government,"63,000","10,500","57,000","11,500","67,000","21,500",S,S,D,D,"48,000","7,500"
"          Education, except science/ math teacher education","50,000",500,"44,000","3,500","52,000","3,000","50,000",500,"50,000",500,"48,000","2,000"
               Business/ industry,"39,000",500,"47,000","7,500","40,000","1,000","53,000","7,500","29,000","6,000","35,000","7,500"
               4-year college/ university,"48,000","2,000",D,D,"49,000","3,500","47,000","11,000","40,000","1,500","47,000",500
               Other educational institution,"52,000","3,500","44,000","2,500","60,000","2,500","50,000","2,500","50,000","2,000","55,000","2,500"
               Government,"46,000","6,500",S,S,"52,000","3,000","65,000","12,500",S,S,"43,000","3,500"
          Management/ administration,"86,000","3,000","87,000","5,000","100,000","2,500","84,000","3,000","48,000","4,000","72,000","2,500"
               Business/ industry,"93,000","2,500","90,000","2,000","101,000","2,500","90,000","3,500","65,000","7,500","75,000","4,500"
               4-year college/ university,"65,000","5,500","74,000","4,000","72,000","10,000","66,000","6,500","64,000","6,000","67,000","11,500"
               Other educational institution,"44,000","11,000","64,000","1,000","55,000","6,000",S,S,"29,000","14,000","49,000",500
               Government,"72,000","3,000","58,000","14,000","82,000","6,000","72,000","2,500","37,000","13,500","70,000","5,500"
          Sales/ marketing,"82,000","8,500","90,000","18,000","90,000","7,000","77,000","16,000",S,S,"64,000","14,000"
               Business/ industry,"90,000","4,000","90,000","19,500","90,000","6,000","89,000","10,000","54,000","15,500","69,000","22,000"
               4-year college/ university,S,S,D,D,S,S,S,S,D,D,D,D
               Other educational institution,S,S,D,D,D,D,D,D,S,S,D,D
               Government,"54,000","10,000",D,D,"58,000","27,500",S,S,D,D,*,*
          Social service/ related,"52,000","1,500","75,000","1,000","57,000","2,500","53,000","5,500","48,000","4,000","50,000","1,000"
               Business/ industry,"50,000",500,"75,000","10,500","54,000","3,000","58,000","8,000","43,000","4,500","48,000","3,000"
               4-year college/ university,"62,000","6,500",D,D,"70,000","7,000","53,000","8,500","65,000","4,000","49,000","8,000"
               Other educational institution,"50,000","4,500",D,D,"52,000","1,000","36,000","4,000","41,000","5,000","50,000","5,500"
               Government,"62,000","3,500",S,S,"63,000","5,500","61,000","8,500","61,000","4,500","59,000","4,500"
          Other non-S&E field,"72,000","2,500","71,000","5,500","84,000","5,000","60,000","1,000","46,000","3,000","85,000","4,000"
               Business/ industry,"82,000","5,500","73,000","9,000","93,000","5,000","69,000","3,000","44,000","4,500","95,000","8,000"
               4-year college/ university,"50,000","1,500","59,000","16,500","51,000","3,000","48,000","5,000","58,000","3,500","50,000","6,000"
               Other educational institution,"42,000","5,500",D,D,"46,000","2,500","41,000","5,500","36,000","4,000","48,000","10,000"
               Government,"71,000","4,000","73,000","16,500","79,000","3,500","58,000","1,500","50,000","4,000","78,000","4,000"
,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,
,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,
,,,,,,,,,,,,
"NOTES: Salaries are for principal job and rounded to the nearest $1,000. Standard errors for salaries are rounded up to the nearest $500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification. Business/industry includes self-employed individuals, nonprofit organizations, and other unspecified types of employers. Four-year college/university includes medical schools and university-affiliated research institutes. Other educational institution includes 2-year colleges, precollege institutions, and other educational institutions. Government includes federal (civilian), military, state, and local employers.",,,,,,,,,,,,
,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,
,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,
,,,,,,,,,,,,
