"Table 15-1. Median annual salaries of employed U.S. scientists and engineers at all degree levels, by occupation, age, and primary or secondary work activity: 2013",,,,,,,,,,,,
,,,,,,,,,,,,
Occupation and age (years)             ,,,Primary or secondary work activity,,,,,,,,,
,Employed scientists and engineers,,Computer applications,,"Management, sales, administration",,Research and development,,Teaching,,Other,
                         < 30,"52,000","6,000","59,000","15,500","49,000","9,500","54,000","5,500",*,*,"55,000","7,000"
                         30–39,"63,000","4,500","62,000","3,500","69,000","6,000","66,000","5,000",D,D,"62,000","1,500"
                         40–49,"79,000","7,000","74,000","10,000","78,000","7,500","75,000","10,000",D,D,"76,000","1,000"
                         50–59,"100,000","4,500","110,000","8,000","100,000","4,000","100,000","4,500",*,*,"84,000","13,000"
                         60–75,"101,000","21,000","93,000","7,000","132,000","50,000","111,000","24,000",D,D,"99,000","46,000"
                    Physicists and astronomers,"85,000","11,000","63,000","15,000","102,000","15,000","85,000","10,500","23,000","4,000","72,000","26,000"
                         < 30,"29,000","2,000","29,000","5,500","44,000","18,000","29,000","2,500",S,S,"26,000","3,500"
                         30–39,"76,000","12,000","57,000","11,500","83,000","36,000","75,000","11,000",*,*,S,S
                         40–49,"110,000","6,500","103,000","32,500","118,000","4,000","110,000","5,500",D,D,"124,000","39,000"
                         50–59,"129,000","10,000","136,000","7,000","140,000","11,000","129,000","10,000",D,D,"104,000","7,000"
                         60–75,"97,000","20,500","128,000","8,000",S,S,"118,000","4,500",D,D,"33,000","9,000"
                    Postsecondary teachers - physical/ related sciences,"57,000","2,500",S,S,"71,000","5,500","65,000","6,000","54,000","5,000","54,000","4,000"
                         < 30,"20,000","1,500",D,D,"17,000","4,500","21,000","1,500","20,000","1,000","15,000","4,500"
                         30–39,"48,000","3,500",D,D,"58,000","7,000","51,000","8,000","45,000","5,500",S,S
                         40–49,"67,000","3,500",*,*,"73,000","4,500","72,000","5,500","65,000","2,500","56,000","2,500"
                         50–59,"80,000","3,000",D,D,"81,000","3,000","88,000","6,500","77,000","5,000","65,000","8,500"
                         60–75,"77,000","15,500",S,S,"109,000","29,500","90,000","17,500","61,000","16,500",S,S
                    Other physical/ related scientists,"60,000","2,000","68,000","6,500","64,000","5,500","63,000","7,000","55,000","11,500","51,000","8,500"
                         < 30,"37,000","3,500",*,*,"42,000","1,000","35,000","9,000",D,D,"42,000","11,000"
                         30–39,"58,000","3,500",*,*,"58,000","2,500","62,000","5,500",D,D,"55,000","8,000"
                         40–49,"65,000","9,500",*,*,"82,000","4,500","71,000","10,500",*,*,S,S
                         50–59,"74,000","8,000",*,*,"70,000","13,500","95,000","14,000",*,*,"55,000","15,000"
                         60–75,"85,000","24,000",D,D,"103,000","24,000","106,000","36,000",D,D,"100,000","43,500"
"               Social science, psychology","57,000","2,500","50,000","2,000","65,000","2,000","55,000","2,500","51,000","2,500","60,000","1,000"
                    < 30,"28,000","4,000","37,000","10,000","44,000","1,500","21,000","2,500","17,000","2,500","41,000","10,500"
                    30–39,"56,000","2,500","44,000","12,000","60,000","4,000","57,000","3,500","45,000","5,000","62,000","4,500"
                    40–49,"62,000","2,500","50,000","8,000","71,000","2,000","63,000","3,000","60,000",500,"62,000","3,500"
                    50–59,"70,000","2,000","80,000","9,500","83,000","10,500","75,000","2,000","64,000","4,000","65,000","6,500"
                    60–75,"60,000","6,500","93,000","44,500","76,000","14,000","75,000","8,000","52,000","6,000","64,000","7,500"
                    Economists,"78,000","12,500","54,000","11,000","91,000","1,000","63,000","6,500",S,S,"78,000","14,000"
                         < 30,"23,000","8,000",S,S,S,S,"24,000","5,000",D,D,"16,000","4,500"
                         30–39,"60,000","8,500","53,000","13,000","82,000","20,000","59,000","7,000",D,D,"68,000","20,500"
                         40–49,"103,000","9,500",*,*,"120,000","11,000","108,000","18,000",D,D,"101,000","5,500"
                         50–59,"91,000","33,000",*,*,S,S,"143,000","14,500",D,D,"129,000","8,500"
                         60–75,"104,000","13,000",*,*,"164,000","18,500","103,000","13,500",*,*,"109,000","30,500"
                    Political scientists,"79,000","20,500",*,*,"86,000","16,000","71,000","22,000",D,D,"108,000","45,000"
                         < 30,"51,000","20,500",D,D,S,S,"50,000","20,500",D,D,S,S
                         30–39,"101,000","19,000",D,D,"83,000","13,500","112,000","23,500",D,D,"130,000","2,000"
                         40–49,"99,000","17,000",D,D,S,S,S,S,D,D,S,S
                         50–59,"88,000","20,000",D,D,*,*,*,*,D,D,"98,000","28,000"
                         60–75,S,S,D,D,S,S,*,*,D,D,D,D
                    Postsecondary teachers - social/ related sciences,"52,000","2,000","18,000","5,000","63,000","7,000","60,000","2,500","52,000","2,000","43,000","12,000"
                         < 30,"16,000","2,000",D,D,"15,000","1,500","16,000","4,000","16,000","2,000","15,000","4,000"
                         30–39,"43,000","7,000",*,*,"25,000","5,000","52,000","5,000","42,000","6,500","50,000","9,000"
                         40–49,"60,000","1,000",D,D,"69,000","5,000","63,000","3,000","60,000",500,S,S
                         50–59,"65,000","5,000",D,D,"83,000","10,000","75,000","2,500","64,000","3,000","62,000","3,000"
                         60–75,"54,000","8,500",D,D,"72,000","15,000","73,000","12,000","52,000","6,500",S,S
                    Psychologists,"55,000","3,000","49,000","10,000","60,000","1,000","40,000","2,500","57,000","9,000","59,000",500
                         < 30,"32,000","7,500",D,D,"45,000","13,000","19,000","2,500","28,000","9,500","49,000","10,500"
                         30–39,"56,000","1,500",*,*,"59,000","3,000","47,000","3,000","63,000","10,000","58,000","3,000"
                         40–49,"61,000","3,000",*,*,"69,000","3,000","50,000","2,500","59,000","20,000","62,000","3,500"
                         50–59,"65,000","6,000",D,D,"72,000","9,000","58,000","16,000","72,000","9,500","64,000","3,000"
                         60–75,"68,000","7,500",*,*,"80,000","7,500","70,000","15,500","45,000","8,500","69,000","6,500"
                    Sociologists and anthropologists,"42,000","2,500",S,S,"55,000","10,000","42,000","3,000",*,*,"43,000","4,000"
                         < 30,"42,000","2,000",D,D,"44,000","6,500","43,000","2,000",D,D,"42,000","4,000"
                         30–39,"39,000",500,S,S,"40,000","2,000","39,000","4,500",D,D,"40,000","2,500"
                         40–49,"55,000","6,500",D,D,"59,000","8,000","55,000","7,500",D,D,"43,000","1,500"
                         50–59,S,S,D,D,"75,000","38,000",S,S,*,*,"99,000","3,500"
                         60–75,"74,000","8,000",D,D,*,*,"77,000","6,000",D,D,*,*
                    Other social and related scientists,"59,000","2,500","47,000","2,000","65,000","4,500","59,000","3,000","45,000","10,500","65,000","2,500"
                         < 30,"42,000","7,000",S,S,"44,000",500,"24,000","8,500",D,D,"41,000","7,000"
                         30–39,"62,000","5,500","43,000","4,000","82,000","14,500","60,000","1,500",S,S,"78,000","28,500"
                         40–49,"63,000","7,500","49,000","2,000","68,000","4,000","56,000","11,500",D,D,"67,000","6,000"
                         50–59,"69,000","10,000",*,*,"75,000","21,000","101,000","21,500",D,D,"65,000","10,500"
                         60–75,S,S,D,D,"64,000","24,000","62,000","11,500",*,*,S,S
          Engineering occupations,"90,000",500,"92,000","3,000","93,000","1,500","89,000","2,000","84,000","4,500","85,000","1,500"
               < 30,"65,000",500,"70,000","4,000","68,000","1,500","65,000","1,000","20,000","5,000","67,000","4,000"
               30–39,"84,000","2,000","86,000","5,500","85,000","1,000","84,000","1,500","67,000","14,500","80,000",500
               40–49,"98,000","2,500","100,000","1,500","99,000","2,500","99,000","2,500","92,000","5,000","95,000","1,500"
               50–59,"105,000","1,500","110,000","7,500","105,000","2,000","108,000","2,500","100,000","3,000","95,000","1,500"
               60–75,"100,000",500,"103,000","4,500","99,000","1,500","103,000","3,500","100,000","9,000","90,000","8,000"
               Aeronautical/ aerospace/ astronautical engineers,"105,000","6,500","90,000","11,000","110,000","4,500","109,000","6,000","90,000","1,500","96,000","6,500"
                    < 30,"68,000","4,500","75,000",500,"58,000","2,500","68,000","5,000",*,*,"69,000","14,500"
                    30–39,"91,000","5,000","80,000","11,500","97,000","10,000","94,000","4,500",D,D,"89,000","4,000"
                    40–49,"113,000","2,500","100,000","9,500","114,000","2,500","115,000","12,000",D,D,"114,000","8,500"
                    50–59,"124,000","6,500","154,000","8,500","120,000","4,500","123,000","6,000",D,D,"126,000","15,500"
                    60–75,"130,000","9,000",S,S,"129,000","25,500","134,000","11,500",D,D,"121,000","16,500"
               Chemical engineers,"95,000","2,500","90,000","10,000","100,000","2,500","95,000","1,000",S,S,"95,000","4,500"
                    < 30,"70,000","3,500",S,S,"75,000","5,000","64,000","8,000",D,D,"87,000","5,000"
                    30–39,"92,000","5,000","87,000","7,000","98,000","5,500","85,000","6,000",D,D,"76,000","4,500"
                    40–49,"111,000","5,500",D,D,"110,000","13,000","105,000","11,000",D,D,"117,000","8,000"
                    50–59,"110,000","4,500","129,000","17,000","116,000","11,500","118,000","10,000",D,D,"104,000","3,000"
                    60–75,"95,000","11,000",*,*,"99,000","8,000","96,000","5,500",D,D,"89,000","9,500"
"               Civil, including architectural/ sanitary engineers","80,000","1,500","73,000","6,000","85,000","1,500","74,000","3,500","65,000","7,500","75,000","3,000"
                    < 30,"58,000","2,000",S,S,"61,000","1,500","57,000","1,500",*,*,"58,000","3,000"
                    30–39,"75,000",500,"94,000","21,000","78,000","1,500","74,000","3,500",S,S,"74,000","5,000"
                    40–49,"90,000","2,000","74,000","3,500","92,000","3,500","86,000","3,500",D,D,"89,000","5,000"
                    50–59,"95,000","3,000","100,000","5,500","96,000","3,000","96,000","4,500",D,D,"86,000","3,000"
                    60–75,"75,000","8,500",S,S,"85,000","7,000","85,000","18,500",D,D,"60,000","11,000"
               Electrical/ computer hardware engineers,"99,000","3,500","96,000","6,000","100,000","1,000","100,000",500,"107,000","10,500","91,000","5,000"
                    < 30,"70,000","3,000","77,000","3,000","70,000","4,500","70,000","1,000",D,D,"73,000","2,000"
                    30–39,"90,000","1,500","85,000","4,000","90,000","3,500","93,000","5,000",D,D,"79,000","2,500"
                    40–49,"108,000","4,500","105,000","2,500","108,000","5,500","114,000","6,500",*,*,"97,000","3,000"
                    50–59,"110,000","1,000","115,000","6,500","114,000","4,000","112,000","6,000",D,D,"96,000","4,000"
                    60–75,"105,000","6,000","107,000","7,500","105,000","9,000","108,000","4,500",*,*,"108,000","13,500"
               Industrial engineers,"79,000","2,000","79,000","4,500","80,000","2,000","75,000","5,000","69,000","11,500","80,000","3,500"
                    < 30,"63,000","4,000","69,000","4,500","61,000","4,500","65,000","5,000",D,D,"58,000","8,000"
                    30–39,"74,000","3,500","70,000","18,000","75,000","3,500","63,000","4,500",D,D,"82,000","9,500"
                    40–49,"85,000","5,000","87,000","16,500","82,000","6,000","81,000","6,000",S,S,"82,000","8,000"
                    50–59,"94,000","11,500",D,D,"94,000","2,500","80,000","6,000",*,*,"92,000","1,500"
                    60–75,"83,000","17,500",*,*,"105,000","35,000","68,000","15,500",D,D,"77,000","10,000"
               Mechanical engineers,"85,000","1,500","76,000","2,000","90,000",500,"85,000",500,"68,000","13,000","80,000","4,000"
                    < 30,"65,000","1,500",S,S,"66,000","2,000","63,000","2,000",S,S,"65,000","6,000"
                    30–39,"80,000","2,500","76,000","6,500","84,000","2,000","80,000","1,000",S,S,"80,000","5,500"
                    40–49,"96,000","2,500","86,000","2,000","99,000","1,500","96,000","2,500",S,S,"93,000","3,500"
                    50–59,"100,000","2,500","105,000","16,000","99,000","3,500","100,000",500,D,D,"83,000","4,000"
                    60–75,"108,000","8,000","75,000","11,500","115,000","14,000","112,000","3,500",S,S,"91,000","12,000"
               Postsecondary teachers - engineering,"76,000","5,000",S,S,"82,000","8,000","88,000","3,500","70,000","5,500","45,000","17,000"
                    < 30,S,S,D,D,D,D,"20,000","9,500",S,S,D,D
                    30–39,"63,000","14,500",S,S,"75,000","19,000","72,000","9,500","50,000","12,500",*,*
                    40–49,"90,000","3,500",D,D,"99,000","8,000","98,000","6,500","84,000","7,000",S,S
                    50–59,"96,000","10,000",D,D,"84,000","15,000","110,000","9,000","88,000","7,500",S,S
                    60–75,"100,000","5,000",*,*,"99,000",500,"116,000","3,500","99,000","2,000",*,*
               Other engineers,"90,000","1,000","100,000","3,500","95,000","1,000","85,000","1,000","97,000","3,000","90,000","1,500"
                    < 30,"65,000","1,500","62,000","9,000","69,000",500,"63,000","2,000",D,D,"70,000","1,500"
                    30–39,"86,000","2,500","101,000","4,500","88,000","4,000","86,000","4,500","96,000","3,000","81,000","8,500"
                    40–49,"95,000","1,500","103,000","20,500","95,000","2,500","90,000","2,000","93,000","4,500","99,000","5,000"
                    50–59,"105,000","4,000","103,000","12,000","104,000","3,500","108,000","4,500","101,000","9,000","100,000","4,000"
                    60–75,"95,000","4,500","91,000","36,000","95,000","3,500","92,000","9,000",S,S,"94,000","7,500"
     S&E-related occupations,"65,000",500,"85,000","3,000","75,000","1,000","63,000","2,500","55,000","1,000","65,000",500
          < 30,"47,000","2,000","54,000","1,000","48,000","2,000","48,000","2,500","42,000","1,500","50,000","2,000"
          30–39,"60,000",500,"82,000","7,000","65,000","2,000","59,000","2,000","52,000","3,000","62,000","3,000"
          40–49,"74,000","2,000","99,000","3,500","85,000","2,000","76,000","4,500","60,000",500,"74,000","3,500"
          50–59,"75,000","3,000","90,000","3,500","89,000","2,500","74,000","4,500","62,000","3,500","74,000","1,500"
          60–75,"74,000","3,500","78,000","8,500","84,000","4,000","79,000","12,500","56,000","4,000","75,000","2,500"
          Health and related,"63,000","1,000","67,000","11,500","64,000","1,000","59,000","2,000","62,000","1,500","65,000","1,500"
               < 30,"49,000","1,500","54,000","3,000","48,000","4,000","50,000","3,000","51,000","2,000","50,000","2,000"
               30–39,"60,000",500,"59,000","9,000","60,000","2,500","56,000","2,500","60,000",500,"60,000","2,500"
               40–49,"69,000","3,000","84,000","6,000","72,000","4,500","76,000","7,000","65,000","3,000","70,000","2,000"
               50–59,"72,000","3,500","67,000","12,000","75,000","2,500","66,000","6,500","73,000","3,000","74,000","2,500"
               60–75,"75,000","4,000","76,000","37,000","80,000","2,500","65,000","13,000","71,000","5,000","80,000","7,000"
          S&E manager,"110,000","2,500","123,000","3,500","110,000","2,500","109,000","3,000","61,000","16,000","110,000","5,000"
               < 30,"71,000","5,500","54,000","16,000","71,000","5,500","72,000","7,500",D,D,"75,000","9,000"
               30–39,"97,000","3,500","110,000","13,000","97,000","3,500","87,000","4,500",S,S,"99,000","11,000"
               40–49,"120,000","2,000","128,000","8,500","120,000","2,000","119,000","11,500",D,D,"110,000","8,000"
               50–59,"121,000","4,000","125,000","4,500","121,000","4,000","124,000","9,500",D,D,"124,000","6,500"
               60–75,"119,000","9,000",D,D,"119,000","9,000","125,000","4,000",S,S,"118,000","20,500"
          S&E precollege teacher,"48,000","1,500","55,000","8,000","49,000","2,000","45,000","2,500","48,000","2,000","54,000","5,000"
               < 30,"37,000","3,000",D,D,"39,000","1,500","38,000","3,000","37,000","2,500","39,000","4,000"
               30–39,"48,000","1,000",D,D,"50,000","2,000","43,000","3,500","48,000","1,000","51,000","7,500"
               40–49,"58,000","2,000","54,000","3,000","57,000","3,500","47,000","4,000","58,000","2,000","55,000","4,000"
               50–59,"50,000","3,000","42,000","14,500","52,000","6,000","50,000","5,000","50,000","3,000","49,000","6,500"
               60–75,"50,000","3,500",S,S,"54,000","17,000","46,000","2,000","50,000","3,500","54,000","2,000"
          S&E technician/ technologist,"70,000","1,000","82,000","3,000","75,000","1,000","70,000","1,000","71,000","2,500","59,000","4,000"
               < 30,"44,000","4,000","50,000","10,500","48,000","5,000","43,000","4,000","50,000","13,500","43,000","3,000"
               30–39,"64,000","3,000","71,000","7,500","68,000","4,000","64,000","5,500",S,S,"45,000","6,500"
               40–49,"80,000",500,"87,000","5,500","83,000","3,500","80,000","6,000","76,000","4,000","74,000","1,500"
               50–59,"73,000","5,000","91,000","6,500","83,000","5,500","75,000","7,500","76,000","12,000","60,000","1,000"
               60–75,"57,000","10,000","72,000","3,500","73,000","10,000","89,000","12,500","51,000","15,000","40,000","3,500"
          Other S&E-related,"70,000","4,500","93,000","16,500","75,000","3,000","66,000","8,500",S,S,"74,000","5,000"
               < 30,"52,000","3,500","66,000","8,000","54,000","5,500","52,000","5,000",D,D,"50,000","10,000"
               30–39,"63,000","2,500",S,S,"65,000","5,000","59,000","2,000",D,D,"65,000","12,000"
               40–49,"70,000","7,500",S,S,"71,000","8,000","75,000","10,500",D,D,"72,000","8,500"
               50–59,"87,000","14,500",D,D,"88,000","8,000","88,000","18,000",D,D,"80,000","12,500"
               60–75,"100,000",500,D,D,"100,000",500,"93,000","9,000",D,D,"97,000","2,500"
     Non-S&E occupations,"55,000",500,"58,000","5,500","62,000","2,000","59,000","2,500","43,000","2,000","50,000",500
          < 30,"35,000",500,"38,000","1,500","36,000","1,500","40,000","4,500","30,000","2,500","35,000",500
          30–39,"55,000",500,"42,000","4,500","60,000",500,"60,000","2,000","45,000","1,500","52,000","3,000"
          40–49,"68,000","2,000","100,000","10,000","75,000",500,"70,000","3,000","48,000","1,000","60,000","1,000"
          50–59,"62,000","2,500","62,000","5,000","70,000","1,500","73,000","7,000","50,000","2,000","57,000","4,500"
          60–75,"50,000",500,"52,000","24,000","60,000",500,"60,000","4,000","35,000","4,500","49,000","4,000"
          Arts/ humanities/ related,"36,000","3,000",S,S,"44,000","7,000","34,000","4,500",S,S,"35,000","3,000"
               < 30,"34,000","2,500",D,D,"36,000","4,000","33,000","5,500",S,S,"35,000","1,000"
               30–39,"41,000","8,500",S,S,"40,000","9,500",S,S,S,S,"41,000","9,500"
               40–49,"44,000","17,000",D,D,"55,000","20,000","25,000","9,500",S,S,S,S
               50–59,"44,000","16,000",D,D,"75,000","30,000","39,000","17,000",S,S,S,S
               60–75,"25,000","7,000",S,S,S,S,S,S,S,S,"26,000","9,000"
          Management-related,"73,000","2,500","85,000","11,000","74,000","2,500","75,000","3,000","65,000","13,500","70,000","3,500"
               < 30,"50,000","1,500","61,000","7,500","50,000","2,000","53,000","2,500","43,000","8,500","58,000","8,500"
               30–39,"73,000","2,000","78,000","22,000","73,000","2,500","78,000","8,000","86,000","23,000","69,000","4,500"
               40–49,"82,000","3,500","115,000","13,000","82,000","3,500","89,000","9,000","70,000","22,500","74,000","5,500"
               50–59,"75,000","4,000","77,000","7,500","75,000","4,000","100,000","5,500","61,000","17,500","75,000","6,500"
               60–75,"66,000","10,500",S,S,"75,000","7,000","76,000","6,500",S,S,"56,000","10,000"
